1800.02.03_TheAberdeenJournal_0001,1800.02.01_TheIpswichJournal_0001
1800.02.04_TheHullPacket_0001,1800.02.01_Jackson'sOxfordJournal_0002
1800.02.04_TheHullPacket_0003,1800.02.01_Jackson'sOxfordJournal_0002
1800.02.04_TheHullPacket_0004,1800.02.01_Jackson'sOxfordJournal_0004
1800.02.06_CaledonianMercury_0002,1800.02.04_TheHullPacket_0003
1800.02.06_CaledonianMercury_0004,1800.02.03_TheAberdeenJournal_0001
1800.02.06_TheDerbyMercury_0002,1800.02.04_TheHullPacket_0004
1800.02.06_TheDerbyMercury_0003,1800.02.01_Jackson'sOxfordJournal_0002
1800.02.06_Trewman'sExeterFlyingPost_0004,1800.02.04_TheHullPacket_0001
1800.02.08_Jackson'sOxfordJournal_0002,1800.02.04_TheHullPacket_0004
1800.02.08_Jackson'sOxfordJournal_0004,1800.02.06_CaledonianMercury_0002
1800.02.08_TheIpswichJournal_0004,1800.02.06_Trewman'sExeterFlyingPost_0004
1800.02.10_CaledonianMercury_0001,1800.02.08_Jackson'sOxfordJournal_0004
1800.02.10_CaledonianMercury_0002,1800.02.08_Jackson'sOxfordJournal_0002
1800.02.10_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0001,1800.02.08_Jackson'sOxfordJournal_0002
1800.02.10_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0004,1800.02.08_TheIpswichJournal_0004
1800.02.10_TheAberdeenJournal_0001,1800.02.01_CaledonianMercury_0003
1800.02.10_TheAberdeenJournal_0002,1800.02.01_CaledonianMercury_0003
1800.02.10_TheAberdeenJournal_0003,1800.02.01_CaledonianMercury_0003
1800.02.10_TheAberdeenJournal_0004,1800.02.04_TheHullPacket_0004
1800.02.11_TheHullPacket_0001,1800.02.06_CaledonianMercury_0002
1800.02.11_TheHullPacket_0002,1800.02.10_TheAberdeenJournal_0003
1800.02.11_TheHullPacket_0003,1800.02.10_CaledonianMercury_0002
1800.02.11_TheHullPacket_0004,1800.02.08_Jackson'sOxfordJournal_0001
1800.02.13_CaledonianMercury_0004,1800.02.10_TheAberdeenJournal_0001
1800.02.13_TheDerbyMercury_0001,1800.02.08_Jackson'sOxfordJournal_0004
1800.02.13_TheDerbyMercury_0002,1800.02.04_TheHullPacket_0001
1800.02.13_Trewman'sExeterFlyingPost_0004,1800.02.08_Jackson'sOxfordJournal_0002
1800.02.15_Jackson'sOxfordJournal_0001,1800.02.11_TheHullPacket_0001
1800.02.15_Jackson'sOxfordJournal_0004,1800.02.01_CaledonianMercury_0004
1800.02.15_TheIpswichJournal_0001,1800.02.04_TheHullPacket_0001
1800.02.15_TheIpswichJournal_0004,1800.02.04_TheHullPacket_0004
1800.02.17_CaledonianMercury_0001,1800.02.15_TheIpswichJournal_0001
1800.02.17_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0002,1800.02.08_TheIpswichJournal_0004
1800.02.17_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0004,1800.02.15_TheIpswichJournal_0002
1800.02.17_TheAberdeenJournal_0001,1800.02.15_Jackson'sOxfordJournal_0004
1800.02.17_TheAberdeenJournal_0002,1800.02.10_CaledonianMercury_0003
1800.02.17_TheAberdeenJournal_0003,1800.02.10_CaledonianMercury_0002
1800.02.17_TheAberdeenJournal_0004,1800.02.10_CaledonianMercury_0002
1800.02.18_TheHullPacket_0001,1800.02.15_Jackson'sOxfordJournal_0001
1800.02.18_TheHullPacket_0002,1800.02.17_CaledonianMercury_0001
1800.02.18_TheHullPacket_0003,1800.02.10_CaledonianMercury_0003
1800.02.18_TheHullPacket_0004,1800.02.15_TheIpswichJournal_0004
1800.02.20_TheDerbyMercury_0002,1800.02.18_TheHullPacket_0001
1800.02.20_Trewman'sExeterFlyingPost_0004,1800.02.18_TheHullPacket_0002
1800.02.22_Jackson'sOxfordJournal_0002,1800.02.18_TheHullPacket_0002
1800.02.22_Jackson'sOxfordJournal_0003,1800.02.20_TheDerbyMercury_0004
1800.02.22_Jackson'sOxfordJournal_0004,1800.02.13_TheDerbyMercury_0004
1800.02.22_TheIpswichJournal_0001,1800.02.13_Trewman'sExeterFlyingPost_0004
1800.02.22_TheIpswichJournal_0004,1800.02.11_TheHullPacket_0004
1800.02.24_CaledonianMercury_0001,1800.02.22_Jackson'sOxfordJournal_0003
1800.02.24_CaledonianMercury_0002,1800.02.22_Jackson'sOxfordJournal_0002
1800.02.24_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0004,1800.02.22_Jackson'sOxfordJournal_0002
1800.02.24_TheAberdeenJournal_0001,1800.02.18_TheHullPacket_0002
1800.02.24_TheAberdeenJournal_0002,1800.02.15_Jackson'sOxfordJournal_0001
1800.02.24_TheAberdeenJournal_0003,1800.02.17_CaledonianMercury_0002
1800.02.24_TheAberdeenJournal_0004,1800.02.20_CaledonianMercury_0002
1800.02.25_TheHullPacket_0001,1800.02.22_Jackson'sOxfordJournal_0002
1800.02.25_TheHullPacket_0004,1800.02.17_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0003
1800.02.27_CaledonianMercury_0004,1800.02.10_TheAberdeenJournal_0001
1800.02.27_TheDerbyMercury_0002,1800.02.22_Jackson'sOxfordJournal_0003
1800.02.27_TheDerbyMercury_0003,1800.02.22_Jackson'sOxfordJournal_0002
1800.02.27_Trewman'sExeterFlyingPost_0004,1800.02.22_Jackson'sOxfordJournal_0002
1800.03.01_Jackson'sOxfordJournal_0001,1800.02.27_TheDerbyMercury_0001
1800.03.01_Jackson'sOxfordJournal_0004,1800.02.27_CaledonianMercury_0002
1800.03.01_TheIpswichJournal_0004,1800.02.27_CaledonianMercury_0002
1800.03.03_CaledonianMercury_0003,1800.02.10_TheAberdeenJournal_0003
1800.03.03_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0002,1800.02.08_TheIpswichJournal_0004
1800.03.03_TheAberdeenJournal_0001,1800.02.03_CaledonianMercury_0004
1800.03.03_TheAberdeenJournal_0002,1800.02.22_Jackson'sOxfordJournal_0002
1800.03.03_TheAberdeenJournal_0003,1800.02.22_CaledonianMercury_0003
1800.03.06_TheDerbyMercury_0002,1800.02.24_CaledonianMercury_0003
1800.03.08_Jackson'sOxfordJournal_0001,1800.02.20_TheDerbyMercury_0002
1800.03.10_TheAberdeenJournal_0002,1800.02.27_CaledonianMercury_0003
1800.03.11_TheHullPacket_0004,1800.02.22_TheIpswichJournal_0004
1800.03.13_TheDerbyMercury_0002,1800.02.15_TheIpswichJournal_0004
1800.03.15_CaledonianMercury_0004,1800.02.27_TheDerbyMercury_0002
1800.03.20_TheDerbyMercury_0003,1800.02.15_Jackson'sOxfordJournal_0004
1800.03.29_TheIpswichJournal_0004,1800.02.15_Jackson'sOxfordJournal_0004
1800.03.31_TheAberdeenJournal_0001,1800.02.15_Jackson'sOxfordJournal_0004
1800.04.03_TheDerbyMercury_0003,1800.02.15_Jackson'sOxfordJournal_0004
1800.04.07_CaledonianMercury_0004,1800.02.22_TheIpswichJournal_0004
1800.04.07_TheAberdeenJournal_0001,1800.02.06_CaledonianMercury_0004
1800.04.08_TheHullPacket_0001,1800.02.10_TheAberdeenJournal_0003
1800.04.08_TheHullPacket_0004,1800.02.15_Jackson'sOxfordJournal_0004
1800.04.10_TheDerbyMercury_0002,1800.02.13_Trewman'sExeterFlyingPost_0001
1800.04.12_Jackson'sOxfordJournal_0004,1800.02.11_TheHullPacket_0004
1800.04.14_TheAberdeenJournal_0002,1800.02.20_TheDerbyMercury_0002
1800.04.17_TheDerbyMercury_0001,1800.02.15_Jackson'sOxfordJournal_0004
1800.04.21_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0001,1800.02.27_TheDerbyMercury_0004
1800.04.21_TheAberdeenJournal_0003,1800.02.15_Jackson'sOxfordJournal_0004
1800.04.22_TheHullPacket_0001,1800.02.10_TheAberdeenJournal_0003
1800.04.24_Trewman'sExeterFlyingPost_0001,1800.02.27_TheDerbyMercury_0001
1800.04.24_Trewman'sExeterFlyingPost_0004,1800.02.15_Jackson'sOxfordJournal_0004
1800.04.26_Jackson'sOxfordJournal_0004,1800.02.04_TheHullPacket_0004
1800.04.26_TheIpswichJournal_0004,1800.02.15_Jackson'sOxfordJournal_0004
1800.04.28_TheAberdeenJournal_0002,1800.02.25_TheHullPacket_0004
1800.05.05_TheAberdeenJournal_0001,1800.02.06_CaledonianMercury_0004
1800.05.08_CaledonianMercury_0004,1800.02.17_TheAberdeenJournal_0001
1800.05.10_Jackson'sOxfordJournal_0004,1800.02.04_TheHullPacket_0004
1800.05.15_TheDerbyMercury_0001,1800.02.11_TheHullPacket_0004
1800.05.15_TheDerbyMercury_0002,1800.02.04_TheHullPacket_0001
1800.05.26_CaledonianMercury_0001,1800.02.15_Jackson'sOxfordJournal_0004
1800.05.26_TheAberdeenJournal_0003,1800.02.20_TheDerbyMercury_0002
1800.06.05_CaledonianMercury_0001,1800.02.04_TheHullPacket_0004
1800.06.05_TheDerbyMercury_0001,1800.02.15_Jackson'sOxfordJournal_0004
1800.06.12_TheDerbyMercury_0002,1800.02.11_TheHullPacket_0004
1800.06.16_TheAberdeenJournal_0003,1800.02.20_TheDerbyMercury_0002
1800.07.03_TheDerbyMercury_0003,1800.02.11_TheHullPacket_0004
1800.07.07_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0004,1800.02.11_TheHullPacket_0004
1800.07.26_TheIpswichJournal_0004,1800.02.11_TheHullPacket_0004
1800.08.04_TheAberdeenJournal_0001,1800.02.15_Jackson'sOxfordJournal_0004
1800.08.14_TheDerbyMercury_0003,1800.02.11_TheHullPacket_0004
1800.08.25_TheAberdeenJournal_0001,1800.02.15_Jackson'sOxfordJournal_0004
1800.08.28_TheDerbyMercury_0003,1800.02.11_TheHullPacket_0004
