1800.10.07_TheHullPacket_0001,1800.10.04_Jackson'sOxfordJournal_0001
1800.10.07_TheHullPacket_0003,1800.10.06_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0003
1800.10.07_TheHullPacket_0004,1800.10.02_CaledonianMercury_0002
1800.10.09_TheDerbyMercury_0003,1800.10.04_Jackson'sOxfordJournal_0002
1800.10.09_Trewman'sExeterFlyingPost_0002,1800.10.07_TheHullPacket_0003
1800.10.11_Jackson'sOxfordJournal_0004,1800.10.09_CaledonianMercury_0002
1800.10.13_TheAberdeenJournal_0002,1800.10.02_CaledonianMercury_0002
1800.10.13_TheAberdeenJournal_0003,1800.10.02_CaledonianMercury_0003
1800.10.14_TheHullPacket_0001,1800.10.11_Jackson'sOxfordJournal_0001
1800.10.14_TheHullPacket_0004,1800.10.09_CaledonianMercury_0004
1800.10.16_CaledonianMercury_0002,1800.10.14_TheHullPacket_0003
1800.10.16_Trewman'sExeterFlyingPost_0004,1800.10.14_TheHullPacket_0004
1800.10.18_Jackson'sOxfordJournal_0004,1800.10.16_CaledonianMercury_0002
1800.10.18_TheIpswichJournal_0004,1800.10.16_Trewman'sExeterFlyingPost_0004
1800.10.20_CaledonianMercury_0003,1800.10.18_Jackson'sOxfordJournal_0002
1800.10.20_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0004,1800.10.18_CaledonianMercury_0002
1800.10.20_TheAberdeenJournal_0002,1800.10.11_CaledonianMercury_0002
1800.10.20_TheAberdeenJournal_0003,1800.10.11_Jackson'sOxfordJournal_0002
1800.10.21_TheHullPacket_0001,1800.10.18_Jackson'sOxfordJournal_0002
1800.10.21_TheHullPacket_0004,1800.10.18_CaledonianMercury_0003
1800.10.23_CaledonianMercury_0002,1800.10.21_TheHullPacket_0003
1800.10.23_Trewman'sExeterFlyingPost_0004,1800.10.18_Jackson'sOxfordJournal_0002
1800.10.25_Jackson'sOxfordJournal_0001,1800.10.16_Trewman'sExeterFlyingPost_0004
1800.10.25_Jackson'sOxfordJournal_0004,1800.10.23_CaledonianMercury_0002
1800.10.25_TheIpswichJournal_0001,1800.10.16_Trewman'sExeterFlyingPost_0004
1800.10.27_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0004,1800.10.25_CaledonianMercury_0003
1800.10.27_TheAberdeenJournal_0001,1800.10.23_CaledonianMercury_0001
1800.10.27_TheAberdeenJournal_0003,1800.10.20_CaledonianMercury_0003
1800.10.28_TheHullPacket_0001,1800.10.25_Jackson'sOxfordJournal_0002
1800.10.28_TheHullPacket_0002,1800.10.25_Jackson'sOxfordJournal_0001
1800.10.28_TheHullPacket_0003,1800.10.25_Jackson'sOxfordJournal_0002
1800.10.28_TheHullPacket_0004,1800.10.20_CaledonianMercury_0004
1800.10.30_CaledonianMercury_0003,1800.10.27_TheAberdeenJournal_0004
1800.10.30_TheDerbyMercury_0003,1800.10.27_CaledonianMercury_0002
1800.10.30_Trewman'sExeterFlyingPost_0004,1800.10.27_CaledonianMercury_0002
1800.11.01_Jackson'sOxfordJournal_0001,1800.10.30_CaledonianMercury_0002
1800.11.01_Jackson'sOxfordJournal_0004,1800.10.30_Trewman'sExeterFlyingPost_0004
1800.11.01_TheIpswichJournal_0001,1800.10.30_Trewman'sExeterFlyingPost_0004
1800.11.03_TheAberdeenJournal_0002,1800.10.25_Jackson'sOxfordJournal_0002
1800.11.03_TheAberdeenJournal_0003,1800.10.30_Trewman'sExeterFlyingPost_0004
1800.11.04_TheHullPacket_0002,1800.10.25_Jackson'sOxfordJournal_0001
1800.11.04_TheHullPacket_0004,1800.10.30_CaledonianMercury_0002
1800.11.06_Trewman'sExeterFlyingPost_0004,1800.10.25_Jackson'sOxfordJournal_0002
1800.11.10_TheAberdeenJournal_0001,1800.10.23_CaledonianMercury_0001
1800.11.10_TheAberdeenJournal_0002,1800.10.30_Trewman'sExeterFlyingPost_0003
1800.11.10_TheAberdeenJournal_0003,1800.10.30_CaledonianMercury_0001
1800.11.13_TheDerbyMercury_0003,1800.10.25_Jackson'sOxfordJournal_0001
1800.11.13_Trewman'sExeterFlyingPost_0004,1800.10.25_Jackson'sOxfordJournal_0002
1800.11.22_Jackson'sOxfordJournal_0003,1800.10.28_TheHullPacket_0004
1800.12.04_Trewman'sExeterFlyingPost_0004,1800.10.30_CaledonianMercury_0001
1800.12.25_TheDerbyMercury_0001,1800.10.28_TheHullPacket_0001
1800.12.25_Trewman'sExeterFlyingPost_0004,1800.10.30_CaledonianMercury_0001
1801.01.10_Jackson'sOxfordJournal_0002,1800.10.30_CaledonianMercury_0001
1801.01.22_Trewman'sExeterFlyingPost_0003,1800.10.30_CaledonianMercury_0001
1801.02.26_TheDerbyMercury_0001,1800.10.21_TheHullPacket_0004
1801.02.28_Jackson'sOxfordJournal_0004,1800.10.16_Trewman'sExeterFlyingPost_0004
1801.03.05_TheDerbyMercury_0003,1800.10.28_TheHullPacket_0004
1801.03.05_Trewman'sExeterFlyingPost_0003,1800.10.30_CaledonianMercury_0001
