1800.12.02_TheHullPacket_0002,1800.12.01_CaledonianMercury_0002
1800.12.02_TheHullPacket_0004,1800.12.01_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0004
1800.12.04_CaledonianMercury_0002,1800.12.01_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0003
1800.12.04_TheDerbyMercury_0002,1800.12.02_TheHullPacket_0004
1800.12.04_Trewman'sExeterFlyingPost_0002,1800.12.01_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0003
1800.12.06_Jackson'sOxfordJournal_0001,1800.12.04_CaledonianMercury_0002
1800.12.06_Jackson'sOxfordJournal_0004,1800.12.01_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0003
1800.12.08_TheAberdeenJournal_0004,1800.12.04_CaledonianMercury_0002
1800.12.09_TheHullPacket_0001,1800.12.04_Trewman'sExeterFlyingPost_0003
1800.12.09_TheHullPacket_0004,1800.12.06_Jackson'sOxfordJournal_0004
1800.12.11_CaledonianMercury_0002,1800.12.08_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0003
1800.12.11_Trewman'sExeterFlyingPost_0002,1800.12.08_CaledonianMercury_0002
1800.12.11_Trewman'sExeterFlyingPost_0003,1800.12.08_TheAberdeenJournal_0003
1800.12.11_Trewman'sExeterFlyingPost_0004,1800.12.06_CaledonianMercury_0003
1800.12.13_Jackson'sOxfordJournal_0004,1800.12.11_CaledonianMercury_0002
1800.12.13_TheIpswichJournal_0001,1800.12.11_CaledonianMercury_0002
1800.12.15_CaledonianMercury_0002,1800.12.13_Jackson'sOxfordJournal_0002
1800.12.15_TheAberdeenJournal_0003,1800.12.08_CaledonianMercury_0003
1800.12.16_TheHullPacket_0001,1800.12.11_CaledonianMercury_0002
1800.12.16_TheHullPacket_0004,1800.12.13_CaledonianMercury_0003
1800.12.18_CaledonianMercury_0002,1800.12.15_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0003
1800.12.18_CaledonianMercury_0004,1800.12.15_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0002
1800.12.18_Trewman'sExeterFlyingPost_0001,1800.12.02_TheHullPacket_0001
1800.12.20_CaledonianMercury_0002,1800.12.18_TheDerbyMercury_0004
1800.12.20_Jackson'sOxfordJournal_0002,1800.12.18_TheDerbyMercury_0004
1800.12.20_Jackson'sOxfordJournal_0004,1800.12.18_Trewman'sExeterFlyingPost_0003
1800.12.22_CaledonianMercury_0003,1800.12.20_Jackson'sOxfordJournal_0004
1800.12.22_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0004,1800.12.20_Jackson'sOxfordJournal_0004
1800.12.22_TheAberdeenJournal_0002,1800.12.18_CaledonianMercury_0002
1800.12.22_TheAberdeenJournal_0003,1800.12.15_CaledonianMercury_0003
1800.12.23_TheHullPacket_0001,1800.12.20_Jackson'sOxfordJournal_0002
1800.12.23_TheHullPacket_0004,1800.12.22_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0004
1800.12.25_CaledonianMercury_0002,1800.12.22_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0003
1800.12.25_TheDerbyMercury_0001,1800.12.23_TheHullPacket_0002
1800.12.25_TheDerbyMercury_0002,1800.12.20_TheIpswichJournal_0001
1800.12.27_CaledonianMercury_0001,1800.12.25_TheDerbyMercury_0004
1800.12.27_Jackson'sOxfordJournal_0001,1800.12.20_TheIpswichJournal_0001
1800.12.27_Jackson'sOxfordJournal_0002,1800.12.25_Trewman'sExeterFlyingPost_0003
1800.12.27_Jackson'sOxfordJournal_0003,1800.12.25_TheDerbyMercury_0004
1800.12.27_Jackson'sOxfordJournal_0004,1800.12.25_CaledonianMercury_0002
1800.12.29_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0002,1800.12.27_Jackson'sOxfordJournal_0003
1800.12.29_TheAberdeenJournal_0002,1800.12.20_CaledonianMercury_0002
1800.12.29_TheAberdeenJournal_0003,1800.12.20_CaledonianMercury_0003
1800.12.29_TheAberdeenJournal_0004,1800.12.25_CaledonianMercury_0003
1801.01.01_CaledonianMercury_0002,1800.12.29_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0003
1801.01.01_TheDerbyMercury_0002,1800.12.27_Jackson'sOxfordJournal_0001
