1801.06.04_CaledonianMercury_0002,1801.06.01_MorningChronicle_0002
1801.06.04_TheDerbyMercury_0002,1801.06.02_MorningChronicle_0002
1801.06.04_TheDerbyMercury_0003,1801.06.01_CaledonianMercury_0002
1801.06.04_TheDerbyMercury_0004,1801.06.01_MorningChronicle_0003
1801.06.04_Trewman'sExeterFlyingPost_0004,1801.06.02_MorningChronicle_0002
1801.06.06_CaledonianMercury_0002,1801.06.04_MorningChronicle_0003
1801.06.06_CaledonianMercury_0003,1801.06.04_Trewman'sExeterFlyingPost_0004
1801.06.06_Jackson'sOxfordJournal_0004,1801.06.04_TheDerbyMercury_0004
1801.06.06_TheIpswichJournal_0004,1801.06.04_Trewman'sExeterFlyingPost_0004
1801.06.08_CaledonianMercury_0002,1801.06.06_MorningChronicle_0003
1801.06.09_TheHullPacket_0001,1801.06.04_CaledonianMercury_0002
1801.06.09_TheHullPacket_0002,1801.06.06_Jackson'sOxfordJournal_0002
1801.06.09_TheHullPacket_0003,1801.06.08_CaledonianMercury_0002
1801.06.09_TheHullPacket_0004,1801.06.06_CaledonianMercury_0002
1801.06.11_CaledonianMercury_0002,1801.06.08_MorningChronicle_0002
1801.06.11_TheDerbyMercury_0004,1801.06.06_CaledonianMercury_0001
1801.06.11_Trewman'sExeterFlyingPost_0002,1801.06.08_CaledonianMercury_0002
1801.06.11_Trewman'sExeterFlyingPost_0003,1801.06.06_CaledonianMercury_0001
1801.06.11_Trewman'sExeterFlyingPost_0004,1801.06.08_MorningChronicle_0002
1801.06.13_CaledonianMercury_0002,1801.06.10_MorningChronicle_0002
1801.06.13_CaledonianMercury_0004,1801.06.09_MorningChronicle_0001
1801.06.13_TheIpswichJournal_0001,1801.06.11_Trewman'sExeterFlyingPost_0002
1801.06.13_TheIpswichJournal_0004,1801.06.11_Trewman'sExeterFlyingPost_0002
1801.06.15_CaledonianMercury_0003,1801.06.13_MorningChronicle_0003
1801.06.15_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0005,1801.06.04_CaledonianMercury_0003
1801.06.15_TheAberdeenJournal_0002,1801.06.08_CaledonianMercury_0002
1801.06.15_TheAberdeenJournal_0003,1801.06.08_CaledonianMercury_0002
1801.06.16_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.06.16_TheHullPacket_0004,1801.06.06_TheIpswichJournal_0004
1801.06.18_CaledonianMercury_0002,1801.06.15_MorningChronicle_0002
1801.06.18_CaledonianMercury_0004,1801.06.13_TheIpswichJournal_0002
1801.06.18_TheDerbyMercury_0001,1801.06.16_TheHullPacket_0004
1801.06.18_TheDerbyMercury_0003,1801.06.15_CaledonianMercury_0002
1801.06.20_CaledonianMercury_0002,1801.06.16_MorningChronicle_0001
1801.06.20_CaledonianMercury_0003,1801.06.17_MorningChronicle_0002
1801.06.20_CaledonianMercury_0004,1801.06.16_MorningChronicle_0001
1801.06.20_Jackson'sOxfordJournal_0004,1801.06.18_CaledonianMercury_0003
1801.06.20_TheIpswichJournal_0002,1801.06.18_MorningChronicle_0003
1801.06.22_CaledonianMercury_0002,1801.06.18_MorningChronicle_0002
1801.06.22_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0006,1801.06.15_MorningChronicle_0002
1801.06.22_TheAberdeenJournal_0002,1801.06.11_CaledonianMercury_0004
1801.06.22_TheAberdeenJournal_0003,1801.06.15_CaledonianMercury_0003
1801.06.23_MorningChronicle_0001,1801.06.11_Trewman'sExeterFlyingPost_0003
1801.06.23_TheHullPacket_0001,1801.06.20_CaledonianMercury_0003
1801.06.23_TheHullPacket_0004,1801.06.06_MorningChronicle_0001
1801.06.25_CaledonianMercury_0002,1801.06.22_MorningChronicle_0002
1801.06.25_CaledonianMercury_0003,1801.06.20_TheIpswichJournal_0004
1801.06.25_MorningChronicle_0001,1801.06.11_CaledonianMercury_0001
1801.06.25_TheDerbyMercury_0002,1801.06.20_MorningChronicle_0003
1801.06.26_MorningChronicle_0002,1801.06.18_TheDerbyMercury_0004
1801.06.27_CaledonianMercury_0002,1801.06.23_MorningChronicle_0002
1801.06.27_CaledonianMercury_0003,1801.06.18_MorningChronicle_0003
1801.06.27_Jackson'sOxfordJournal_0001,1801.06.23_MorningChronicle_0002
1801.06.27_Jackson'sOxfordJournal_0004,1801.06.25_TheDerbyMercury_0003
1801.06.27_TheIpswichJournal_0001,1801.06.19_MorningChronicle_0004
1801.06.27_TheIpswichJournal_0004,1801.06.25_TheDerbyMercury_0001
1801.06.29_TheAberdeenJournal_0001,1801.06.27_CaledonianMercury_0001
1801.06.29_TheAberdeenJournal_0003,1801.06.25_CaledonianMercury_0002
1801.06.30_TheHullPacket_0001,1801.06.27_Jackson'sOxfordJournal_0004
1801.06.30_TheHullPacket_0004,1801.06.29_CaledonianMercury_0003
1801.07.01_MorningChronicle_0001,1801.06.22_CaledonianMercury_0004
1801.07.02_CaledonianMercury_0002,1801.06.29_MorningChronicle_0002
1801.07.02_MorningChronicle_0001,1801.06.11_CaledonianMercury_0001
1801.07.02_TheDerbyMercury_0003,1801.06.29_CaledonianMercury_0002
1801.07.02_Trewman'sExeterFlyingPost_0004,1801.06.30_MorningChronicle_0003
1801.07.04_CaledonianMercury_0002,1801.06.30_MorningChronicle_0002
1801.07.04_CaledonianMercury_0004,1801.06.16_MorningChronicle_0001
1801.07.04_TheIpswichJournal_0004,1801.06.27_Jackson'sOxfordJournal_0004
1801.07.07_MorningChronicle_0001,1801.06.11_CaledonianMercury_0001
1801.07.07_TheHullPacket_0004,1801.06.29_CaledonianMercury_0003
1801.07.08_TheAberdeenJournal_0002,1801.06.27_CaledonianMercury_0002
1801.07.09_CaledonianMercury_0003,1801.06.16_MorningChronicle_0001
1801.07.11_Jackson'sOxfordJournal_0002,1801.06.27_MorningChronicle_0004
1801.07.11_MorningChronicle_0001,1801.06.22_CaledonianMercury_0004
1801.07.13_CaledonianMercury_0001,1801.06.29_TheAberdeenJournal_0001
1801.07.22_TheAberdeenJournal_0001,1801.06.18_CaledonianMercury_0001
1801.07.24_MorningChronicle_0001,1801.06.13_CaledonianMercury_0004
1801.07.25_CaledonianMercury_0004,1801.06.16_MorningChronicle_0001
