1801.09.02_TheAberdeenJournal_0002,1801.09.01_TheHullPacket_0004
1801.09.03_CaledonianMercury_0002,1801.09.01_MorningChronicle_0002
1801.09.03_Trewman'sExeterFlyingPost_0002,1801.09.01_TheHullPacket_0002
1801.09.05_CaledonianMercury_0002,1801.09.02_MorningChronicle_0002
1801.09.05_Jackson'sOxfordJournal_0002,1801.09.01_TheHullPacket_0002
1801.09.05_Jackson'sOxfordJournal_0004,1801.09.03_Trewman'sExeterFlyingPost_0003
1801.09.05_TheIpswichJournal_0001,1801.09.03_Trewman'sExeterFlyingPost_0003
1801.09.05_TheIpswichJournal_0004,1801.09.03_Trewman'sExeterFlyingPost_0002
1801.09.07_CaledonianMercury_0001,1801.09.05_TheIpswichJournal_0004
1801.09.07_CaledonianMercury_0002,1801.09.04_MorningChronicle_0002
1801.09.07_CaledonianMercury_0004,1801.09.05_Jackson'sOxfordJournal_0002
1801.09.07_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0006,1801.09.01_MorningChronicle_0002
1801.09.09_TheAberdeenJournal_0003,1801.09.03_Trewman'sExeterFlyingPost_0004
1801.09.10_CaledonianMercury_0001,1801.09.05_TheIpswichJournal_0004
1801.09.10_CaledonianMercury_0002,1801.09.08_MorningChronicle_0002
1801.09.10_Trewman'sExeterFlyingPost_0002,1801.09.05_Jackson'sOxfordJournal_0002
1801.09.12_CaledonianMercury_0001,1801.09.01_TheHullPacket_0002
1801.09.12_CaledonianMercury_0002,1801.09.08_MorningChronicle_0003
1801.09.12_CaledonianMercury_0003,1801.09.09_MorningChronicle_0002
1801.09.12_Jackson'sOxfordJournal_0001,1801.09.10_TheDerbyMercury_0004
1801.09.12_Jackson'sOxfordJournal_0003,1801.09.05_MorningChronicle_0004
1801.09.12_Jackson'sOxfordJournal_0004,1801.09.10_Trewman'sExeterFlyingPost_0002
1801.09.12_TheIpswichJournal_0004,1801.09.10_Trewman'sExeterFlyingPost_0002
1801.09.14_CaledonianMercury_0001,1801.09.01_TheHullPacket_0002
1801.09.14_CaledonianMercury_0002,1801.09.10_MorningChronicle_0002
1801.09.14_CaledonianMercury_0003,1801.09.10_MorningChronicle_0003
1801.09.14_CaledonianMercury_0004,1801.09.05_MorningChronicle_0002
1801.09.14_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0006,1801.09.08_MorningChronicle_0002
1801.09.15_TheHullPacket_0002,1801.09.12_Jackson'sOxfordJournal_0004
1801.09.16_MorningChronicle_0003,1801.09.10_CaledonianMercury_0003
1801.09.17_CaledonianMercury_0001,1801.09.12_TheIpswichJournal_0004
1801.09.17_CaledonianMercury_0002,1801.09.14_MorningChronicle_0002
1801.09.17_CaledonianMercury_0003,1801.09.15_TheHullPacket_0003
1801.09.17_TheDerbyMercury_0002,1801.09.15_TheHullPacket_0003
1801.09.17_TheDerbyMercury_0003,1801.09.12_Jackson'sOxfordJournal_0004
1801.09.17_Trewman'sExeterFlyingPost_0002,1801.09.12_Jackson'sOxfordJournal_0004
