Target_Year	Target_Month	Target_Day	Target	Target_Page	Source_Year	Source_Month	Source_Day	Source	Source_Page
1803	01	03	HampshireTelegraph&PortsmouthGazette	1	1803	01	01	JacksonsOxfordJournal	4
1803	01	03	HampshireTelegraph&PortsmouthGazette	4	1803	01	01	JacksonsOxfordJournal	4
1803	01	08	JacksonsOxfordJournal	1	1803	01	06	TrewmansExeterFlyingPost	4
1803	01	08	JacksonsOxfordJournal	2	1803	01	06	TrewmansExeterFlyingPost	3
1803	01	08	JacksonsOxfordJournal	4	1803	01	06	TrewmansExeterFlyingPost	2
1803	01	08	TheNewcastleCourantetc	2	1803	01	06	TrewmansExeterFlyingPost	4
1803	01	10	HampshireTelegraph&PortsmouthGazette	1	1803	01	08	JacksonsOxfordJournal	2
1803	01	10	HampshireTelegraph&PortsmouthGazette	4	1803	01	08	JacksonsOxfordJournal	2
1803	01	11	TheHullPacket	1	1803	01	08	JacksonsOxfordJournal	2
1803	01	11	TheHullPacket	4	1803	01	08	JacksonsOxfordJournal	4
1803	01	12	TheAberdeenJournal	3	1803	01	03	TheMorningChronicle	2
1803	01	13	TheDerbyMercury	3	1803	01	08	JacksonsOxfordJournal	4
1803	01	13	TheDerbyMercury	4	1803	01	08	JacksonsOxfordJournal	2
1803	01	13	TrewmansExeterFlyingPost	3	1803	01	08	JacksonsOxfordJournal	2
1803	01	13	TrewmansExeterFlyingPost	4	1803	01	10	HampshireTelegraph&PortsmouthGazette	3
1803	01	15	JacksonsOxfordJournal	1	1803	01	13	TheDerbyMercury	4
1803	01	15	JacksonsOxfordJournal	4	1803	01	13	TheDerbyMercury	2
1803	01	15	TheIpswichJournal	1	1803	01	08	JacksonsOxfordJournal	1
1803	01	15	TheIpswichJournal	4	1803	01	13	TrewmansExeterFlyingPost	4
1803	01	15	TheNewcastleCourantetc	2	1803	01	10	HampshireTelegraph&PortsmouthGazette	2
1803	01	17	HampshireTelegraph&PortsmouthGazette	2	1803	01	15	JacksonsOxfordJournal	1
1803	01	17	HampshireTelegraph&PortsmouthGazette	4	1803	01	15	JacksonsOxfordJournal	2
1803	01	19	TheAberdeenJournal	1	1803	01	17	HampshireTelegraph&PortsmouthGazette	4
1803	01	19	TheAberdeenJournal	3	1803	01	06	TrewmansExeterFlyingPost	4
1803	01	20	TheDerbyMercury	3	1803	01	17	HampshireTelegraph&PortsmouthGazette	4
1803	01	20	TrewmansExeterFlyingPost	2	1803	01	15	JacksonsOxfordJournal	2
1803	01	20	TrewmansExeterFlyingPost	3	1803	01	06	TheDerbyMercury	3
1803	01	22	JacksonsOxfordJournal	1	1803	01	06	TrewmansExeterFlyingPost	3
1803	01	22	JacksonsOxfordJournal	2	1803	01	20	TheDerbyMercury	4
1803	01	22	TheNewcastleCourantetc	2	1803	01	20	TheDerbyMercury	2
1803	01	22	TheNewcastleCourantetc	3	1803	01	20	TheDerbyMercury	3
1803	01	24	HampshireTelegraph&PortsmouthGazette	2	1803	01	22	TheNewcastleCourantetc	2
1803	01	24	HampshireTelegraph&PortsmouthGazette	4	1803	01	22	JacksonsOxfordJournal	2
1803	01	25	TheHullPacket	4	1803	01	15	JacksonsOxfordJournal	4
1803	01	26	TheAberdeenJournal	1	1803	01	24	HampshireTelegraph&PortsmouthGazette	4
1803	01	26	TheAberdeenJournal	2	1803	01	24	HampshireTelegraph&PortsmouthGazette	2
1803	01	27	TheDerbyMercury	3	1803	01	22	JacksonsOxfordJournal	2
1803	01	27	TrewmansExeterFlyingPost	1	1803	01	22	JacksonsOxfordJournal	2
