1806.06.04_TheAberdeenJournal_0002,1806.06.02_CaledonianMercury_0001
1806.06.05_CaledonianMercury_0003,1806.06.03_TheMorningChronicle_0003
1806.06.05_Trewman'sExeterFlyingPost_0003,1806.06.02_CaledonianMercury_0002
1806.06.07_CaledonianMercury_0002,1806.06.05_Trewman'sExeterFlyingPost_0004
1806.06.07_CaledonianMercury_0004,1806.06.04_TheMorningChronicle_0003
1806.06.07_Cobbett'sWeeklyPoliticalRegister_0001,1806.06.04_TheMorningChronicle_0002
1806.06.07_Jackson'sOxfordJournal_0002,1806.06.05_Trewman'sExeterFlyingPost_0004
1806.06.07_Jackson'sOxfordJournal_0004,1806.06.05_CaledonianMercury_0003
1806.06.07_TheNewcastleCourantetc_0002,1806.06.05_Trewman'sExeterFlyingPost_0002
1806.06.07_TheNewcastleCourantetc_0004,1806.06.04_TheMorningChronicle_0003
1806.06.09_CaledonianMercury_0002,1806.06.07_Jackson'sOxfordJournal_0002
1806.06.09_CaledonianMercury_0003,1806.06.06_TheMorningChronicle_0003
1806.06.09_HampshireTelegraphandSussexChronicleetc_0004,1806.06.07_Jackson'sOxfordJournal_0002
1806.06.11_TheAberdeenJournal_0002,1806.06.07_TheNewcastleCourantetc_0004
1806.06.12_CaledonianMercury_0002,1806.06.09_TheMorningChronicle_0003
1806.06.12_Trewman'sExeterFlyingPost_0003,1806.06.07_Cobbett'sWeeklyPoliticalRegister_0001
1806.06.14_CaledonianMercury_0001,1806.06.04_TheAberdeenJournal_0002
1806.06.14_CaledonianMercury_0004,1806.06.11_TheAberdeenJournal_0001
1806.06.14_Cobbett'sWeeklyPoliticalRegister_0003,1806.06.10_TheMorningChronicle_0002
1806.06.14_Jackson'sOxfordJournal_0001,1806.06.12_CaledonianMercury_0003
1806.06.14_Jackson'sOxfordJournal_0004,1806.06.12_CaledonianMercury_0002
1806.06.14_TheIpswichJournal_0001,1806.06.12_CaledonianMercury_0004
1806.06.14_TheNewcastleCourantetc_0002,1806.06.07_TheMorningChronicle_0002
1806.06.16_CaledonianMercury_0004,1806.06.14_Jackson'sOxfordJournal_0003
1806.06.18_TheAberdeenJournal_0002,1806.06.16_CaledonianMercury_0004
1806.06.18_TheAberdeenJournal_0003,1806.06.12_CaledonianMercury_0003
1806.06.19_CaledonianMercury_0004,1806.06.18_TheAberdeenJournal_0002
1806.06.21_CaledonianMercury_0002,1806.06.18_TheMorningChronicle_0001
1806.06.21_CaledonianMercury_0003,1806.06.18_TheMorningChronicle_0001
1806.06.21_CaledonianMercury_0004,1806.06.19_Trewman'sExeterFlyingPost_0001
1806.06.21_Jackson'sOxfordJournal_0002,1806.06.19_CaledonianMercury_0001
1806.06.21_Jackson'sOxfordJournal_0004,1806.06.16_CaledonianMercury_0003
1806.06.21_TheNewcastleCourantetc_0001,1806.06.19_CaledonianMercury_0001
1806.06.21_TheNewcastleCourantetc_0002,1806.06.19_CaledonianMercury_0002
1806.06.21_TheNewcastleCourantetc_0004,1806.06.18_TheMorningChronicle_0001
1806.06.23_CaledonianMercury_0001,1806.06.19_Trewman'sExeterFlyingPost_0001
1806.06.23_CaledonianMercury_0002,1806.06.19_TheMorningChronicle_0003
1806.06.23_CaledonianMercury_0004,1806.06.17_TheMorningChronicle_0003
1806.06.23_HampshireTelegraphandSussexChronicleetc_0004,1806.06.21_CaledonianMercury_0003
1806.06.25_TheAberdeenJournal_0002,1806.06.19_CaledonianMercury_0002
1806.06.25_TheAberdeenJournal_0003,1806.06.19_CaledonianMercury_0003
1806.06.26_TheDerbyMercury_0004,1806.06.19_Trewman'sExeterFlyingPost_0001
1806.06.28_CaledonianMercury_0002,1806.06.24_TheMorningChronicle_0002
1806.06.28_Cobbett'sWeeklyPoliticalRegister_0013,1806.06.16_CaledonianMercury_0004
1806.06.28_Cobbett'sWeeklyPoliticalRegister_0019,1806.06.21_CaledonianMercury_0003
1806.06.28_Jackson'sOxfordJournal_0001,1806.06.19_CaledonianMercury_0001
1806.06.28_Jackson'sOxfordJournal_0002,1806.06.19_Trewman'sExeterFlyingPost_0002
