1808.02.03_TheAberdeenJournal_0002,1808.02.02_CaledonianMercury_0001
1808.02.04_CaledonianMercury_0002,1808.02.01_TheMorningChronicle_0003
1808.02.06_CaledonianMercury_0002,1808.02.02_TheMorningChronicle_0002
1808.02.06_Jackson'sOxfordJournal_0001,1808.02.04_CaledonianMercury_0002
1808.02.06_Jackson'sOxfordJournal_0004,1808.02.01_TheMorningChronicle_0003
1808.02.06_TheIpswichJournal_0004,1808.02.01_TheMorningChronicle_0003
1808.02.06_TheLeedsMercury_0001,1808.02.02_CaledonianMercury_0003
1808.02.06_TheLeedsMercury_0004,1808.02.02_CaledonianMercury_0002
1808.02.07_TheExaminer_0003,1808.02.04_TheMorningChronicle_0001
1808.02.07_TheExaminer_0015,1808.02.06_Jackson'sOxfordJournal_0004
1808.02.08_HampshireTelegraphandSussexChronicleetc_0001,1808.02.06_Jackson'sOxfordJournal_0001
1808.02.08_HampshireTelegraphandSussexChronicleetc_0004,1808.02.03_TheAberdeenJournal_0002
