1809.06.05_CaledonianMercury_0002,1809.06.04_TheExaminer_0009
1809.06.05_CaledonianMercury_0003,1809.06.03_TheMorningChronicle_0001
1809.06.05_HampshireTelegraphandSussexChronicleetc_0003,1809.06.04_TheExaminer_0011
1809.06.07_TheAberdeenJournal_0003,1809.06.01_CaledonianMercury_0003
1809.06.08_CaledonianMercury_0001,1809.06.07_TheAberdeenJournal_0002
1809.06.08_CaledonianMercury_0002,1809.06.04_TheExaminer_0011
1809.06.08_TheDerbyMercury_0002,1809.06.04_TheExaminer_0011
1809.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1809.06.04_TheExaminer_0011
1809.06.10_CaledonianMercury_0003,1809.06.08_TheMorningChronicle_0002
1809.06.10_Jackson'sOxfordJournal_0001,1809.06.03_TheMorningChronicle_0004
1809.06.10_Jackson'sOxfordJournal_0004,1809.06.08_CaledonianMercury_0002
1809.06.11_TheExaminer_0006,1809.06.07_TheMorningChronicle_0002
1809.06.11_TheExaminer_0016,1809.06.10_TheIpswichJournal_0004
1809.06.12_CaledonianMercury_0002,1809.06.11_TheExaminer_0008
1809.06.12_CaledonianMercury_0003,1809.06.11_TheExaminer_0004
