1813.12.03_LiverpoolMercuryetc_0003,1813.12.02_TheDerbyMercury_0001
1813.12.04_TheLeedsMercury_0002,1813.12.02_CaledonianMercury_0003
1813.12.04_TheLeedsMercury_0004,1813.12.02_CaledonianMercury_0002
1813.12.09_CaledonianMercury_0003,1813.12.07_TheMorningChronicle_0002
1813.12.09_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1813.12.06_CaledonianMercury_0002
1813.12.11_CaledonianMercury_0002,1813.12.07_TheMorningChronicle_0002
1813.12.11_TheIpswichJournal_0001,1813.12.04_TheLeedsMercury_0001
1813.12.11_TheLeedsMercury_0002,1813.12.09_CaledonianMercury_0003
1813.12.12_TheExaminer_0004,1813.12.11_CaledonianMercury_0002
1813.12.13_CaledonianMercury_0003,1813.12.11_TheMorningChronicle_0002
1813.12.13_CaledonianMercury_0004,1813.12.06_TheMorningChronicle_0003
1813.12.13_HampshireTelegraphandSussexChronicleetc_0002,1813.12.11_CaledonianMercury_0002
