1816.08.03_CaledonianMercury_0002,1816.08.02_LiverpoolMercuryetc_0002
1816.08.03_TheIpswichJournal_0002,1816.08.01_TheMorningChronicle_0003
1816.08.05_CaledonianMercury_0002,1816.08.02_TheMorningChronicle_0002
1816.08.07_TheAberdeenJournal_0004,1816.08.03_CaledonianMercury_0004
1816.08.08_CaledonianMercury_0002,1816.08.05_TheMorningChronicle_0002
1816.08.08_CaledonianMercury_0004,1816.08.03_TheMorningChronicle_0003
1816.08.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.08.02_TheMorningChronicle_0002
1816.08.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.08.01_TheMorningChronicle_0003
1816.08.09_LiverpoolMercuryetc_0003,1816.08.02_TheMorningChronicle_0003
1816.08.10_CaledonianMercury_0002,1816.08.07_TheMorningChronicle_0002
1816.08.10_Jackson'sOxfordJournal_0001,1816.08.06_TheMorningChronicle_0003
1816.08.10_Jackson'sOxfordJournal_0002,1816.08.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.08.10_TheLeedsMercury_0002,1816.08.08_TheMorningChronicle_0002
1816.08.10_TheLeedsMercury_0004,1816.08.09_LiverpoolMercuryetc_0003
1816.08.12_CaledonianMercury_0002,1816.08.09_TheMorningChronicle_0002
1816.08.15_CaledonianMercury_0002,1816.08.12_TheMorningChronicle_0002
1816.08.15_CaledonianMercury_0004,1816.08.08_TheMorningChronicle_0002
1816.08.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.08.12_CaledonianMercury_0002
1816.08.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.08.10_TheMorningChronicle_0003
1816.08.16_LiverpoolMercuryetc_0002,1816.08.10_TheMorningChronicle_0002
1816.08.16_LiverpoolMercuryetc_0006,1816.08.03_CaledonianMercury_0004
1816.08.17_CaledonianMercury_0002,1816.08.13_TheMorningChronicle_0002
1816.08.17_TheLeedsMercury_0001,1816.08.02_LiverpoolMercuryetc_0005
1816.08.17_TheLeedsMercury_0002,1816.08.13_TheMorningChronicle_0002
1816.08.17_TheLeedsMercury_0003,1816.08.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.08.17_TheLeedsMercury_0004,1816.08.02_LiverpoolMercuryetc_0005
1816.08.18_TheExaminer_0001,1816.08.17_TheMorningChronicle_0002
1816.08.18_TheExaminer_0008,1816.08.08_TheMorningChronicle_0003
1816.08.18_TheExaminer_0015,1816.08.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.08.19_CaledonianMercury_0002,1816.08.18_TheExaminer_0001
1816.08.19_CaledonianMercury_0004,1816.08.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.08.21_TheAberdeenJournal_0004,1816.08.03_CaledonianMercury_0002
1816.08.21_TheMorningChronicle_0003,1816.08.17_CaledonianMercury_0003
1816.08.22_CaledonianMercury_0004,1816.08.20_TheMorningChronicle_0002
1816.08.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.08.15_CaledonianMercury_0004
1816.08.23_LiverpoolMercuryetc_0002,1816.08.19_TheMorningChronicle_0002
1816.08.23_LiverpoolMercuryetc_0006,1816.08.18_TheExaminer_0001
1816.08.23_LiverpoolMercuryetc_0008,1816.08.15_CaledonianMercury_0003
1816.08.24_CaledonianMercury_0002,1816.08.21_TheMorningChronicle_0002
1816.08.24_CaledonianMercury_0004,1816.08.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.08.24_Jackson'sOxfordJournal_0004,1816.08.22_CaledonianMercury_0003
1816.08.25_TheExaminer_0013,1816.08.24_TheIpswichJournal_0004
1816.08.26_CaledonianMercury_0002,1816.08.21_TheMorningChronicle_0002
1816.08.26_CaledonianMercury_0004,1816.08.09_LiverpoolMercuryetc_0003
1816.08.29_CaledonianMercury_0002,1816.08.27_TheMorningChronicle_0003
1816.08.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.08.19_TheMorningChronicle_0003
1816.08.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.08.21_TheMorningChronicle_0003
1816.08.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1816.08.27_TheMorningChronicle_0003
1816.08.30_LiverpoolMercuryetc_0002,1816.08.29_CaledonianMercury_0002
1816.08.30_LiverpoolMercuryetc_0003,1816.08.22_TheMorningChronicle_0002
1816.08.30_LiverpoolMercuryetc_0005,1816.08.17_TheLeedsMercury_0001
1816.08.30_LiverpoolMercuryetc_0006,1816.08.20_TheMorningChronicle_0002
1816.08.30_TheMorningChronicle_0004,1816.08.11_TheExaminer_0009
1816.08.31_CaledonianMercury_0002,1816.08.28_TheMorningChronicle_0002
1816.08.31_Jackson'sOxfordJournal_0002,1816.08.28_TheMorningChronicle_0002
1816.08.31_TheLeedsMercury_0004,1816.08.29_CaledonianMercury_0002
1816.09.02_CaledonianMercury_0002,1816.08.30_TheMorningChronicle_0002
1816.09.04_TheMorningChronicle_0004,1816.08.31_TheLeedsMercury_0003
1816.09.05_CaledonianMercury_0002,1816.08.31_TheMorningChronicle_0002
1816.09.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.08.27_TheMorningChronicle_0002
1816.09.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.08.08_CaledonianMercury_0001
1816.09.06_LiverpoolMercuryetc_0006,1816.08.05_TheMorningChronicle_0003
1816.09.06_LiverpoolMercuryetc_0007,1816.08.29_CaledonianMercury_0004
1816.09.07_CaledonianMercury_0004,1816.08.31_TheMorningChronicle_0003
1816.09.07_Jackson'sOxfordJournal_0004,1816.08.17_TheLeedsMercury_0004
1816.09.08_TheExaminer_0002,1816.08.26_CaledonianMercury_0002
1816.09.08_TheExaminer_0003,1816.08.21_TheMorningChronicle_0002
1816.09.08_TheExaminer_0007,1816.08.26_TheMorningChronicle_0002
1816.09.11_TheAberdeenJournal_0004,1816.08.10_CaledonianMercury_0004
1816.09.13_LiverpoolMercuryetc_0005,1816.08.31_TheLeedsMercury_0004
1816.09.13_LiverpoolMercuryetc_0006,1816.08.31_TheMorningChronicle_0003
1816.09.14_Jackson'sOxfordJournal_0004,1816.08.17_TheLeedsMercury_0001
1816.09.15_TheExaminer_0005,1816.08.31_CaledonianMercury_0004
1816.09.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.08.24_Jackson'sOxfordJournal_0004
1816.09.21_Jackson'sOxfordJournal_0002,1816.08.17_TheLeedsMercury_0004
1816.09.27_LiverpoolMercuryetc_0008,1816.08.17_TheLeedsMercury_0001
1816.10.04_LiverpoolMercuryetc_0008,1816.08.31_TheLeedsMercury_0004
1816.10.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.08.24_Jackson'sOxfordJournal_0004
1816.10.25_LiverpoolMercuryetc_0005,1816.08.31_TheLeedsMercury_0004
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.08.31_TheLeedsMercury_0004
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.08.31_Jackson'sOxfordJournal_0004
1816.11.08_LiverpoolMercuryetc_0005,1816.08.31_TheLeedsMercury_0004
1816.11.12_TheMorningChronicle_0002,1816.08.08_CaledonianMercury_0002
1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.08.23_LiverpoolMercuryetc_0001
1816.11.22_LiverpoolMercuryetc_0005,1816.08.31_TheLeedsMercury_0004
1816.11.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.08.24_Jackson'sOxfordJournal_0004
1816.11.29_LiverpoolMercuryetc_0005,1816.08.31_TheLeedsMercury_0004
1816.12.14_TheLeedsMercury_0004,1816.08.02_LiverpoolMercuryetc_0005
1816.12.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.08.31_TheLeedsMercury_0004
