RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1816	10	05	Jackson'sOxfordJournal	0004	1816	10	03	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0002
1816	10	07	CaledonianMercury	0002	1816	10	01	TheMorningChronicle	0003
1816	10	10	CaledonianMercury	0004	1816	10	08	TheMorningChronicle	0004
1816	10	10	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001	1816	10	07	TheMorningChronicle	0003
1816	10	10	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0002	1816	10	07	CaledonianMercury	0002
1816	10	11	LiverpoolMercuryetc	0002	1816	10	10	CaledonianMercury	0002
1816	10	12	CaledonianMercury	0002	1816	10	09	TheMorningChronicle	0002
1816	10	12	CaledonianMercury	0004	1816	10	10	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0002
1816	10	13	TheExaminer	0004	1816	10	04	LiverpoolMercuryetc	0006
1816	10	14	CaledonianMercury	0002	1816	10	11	TheMorningChronicle	0002
