1816.11.03_TheExaminer_0016,1816.11.01_LiverpoolMercuryetc_0008
1816.11.04_CaledonianMercury_0002,1816.11.02_TheMorningChronicle_0002
1816.11.05_TheMorningChronicle_0001,1816.11.01_LiverpoolMercuryetc_0004
1816.11.07_CaledonianMercury_0002,1816.11.04_TheMorningChronicle_0002
1816.11.07_TheDerbyMercury_0001,1816.11.02_TheMorningChronicle_0003
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.11.01_LiverpoolMercuryetc_0005
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.11.01_TheMorningChronicle_0004
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.11.01_TheMorningChronicle_0003
1816.11.08_LiverpoolMercuryetc_0004,1816.11.05_TheMorningChronicle_0001
1816.11.08_LiverpoolMercuryetc_0005,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.11.08_LiverpoolMercuryetc_0006,1816.11.05_TheMorningChronicle_0003
1816.11.09_CaledonianMercury_0002,1816.11.07_TheMorningChronicle_0002
1816.11.09_CaledonianMercury_0004,1816.11.06_TheMorningChronicle_0003
1816.11.10_TheExaminer_0004,1816.11.09_CaledonianMercury_0004
1816.11.10_TheExaminer_0005,1816.11.08_TheMorningChronicle_0002
1816.11.11_CaledonianMercury_0002,1816.11.08_TheMorningChronicle_0002
1816.11.11_CaledonianMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.11.12_TheMorningChronicle_0003,1816.11.08_LiverpoolMercuryetc_0002
1816.11.14_CaledonianMercury_0002,1816.11.12_TheMorningChronicle_0002
1816.11.14_CaledonianMercury_0004,1816.11.05_TheMorningChronicle_0002
1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.11.11_CaledonianMercury_0002
1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.11.09_TheMorningChronicle_0003
1816.11.15_LiverpoolMercuryetc_0002,1816.11.08_TheMorningChronicle_0002
1816.11.16_CaledonianMercury_0002,1816.11.12_TheMorningChronicle_0002
1816.11.16_CaledonianMercury_0004,1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.11.16_TheLeedsMercury_0001,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.11.16_TheLeedsMercury_0002,1816.11.12_TheMorningChronicle_0002
1816.11.16_TheLeedsMercury_0004,1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.11.18_CaledonianMercury_0002,1816.11.16_TheMorningChronicle_0002
1816.11.18_CaledonianMercury_0004,1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.11.18_TheMorningChronicle_0002,1816.11.08_LiverpoolMercuryetc_0007
1816.11.21_CaledonianMercury_0002,1816.11.19_TheMorningChronicle_0002
1816.11.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.11.14_TheMorningChronicle_0003
1816.11.22_LiverpoolMercuryetc_0002,1816.11.16_TheMorningChronicle_0002
1816.11.22_LiverpoolMercuryetc_0003,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.11.22_LiverpoolMercuryetc_0004,1816.11.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.11.22_LiverpoolMercuryetc_0005,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.11.23_CaledonianMercury_0004,1816.11.19_TheMorningChronicle_0003
1816.11.23_TheIpswichJournal_0001,1816.11.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.11.23_TheLeedsMercury_0002,1816.11.20_TheMorningChronicle_0002
1816.11.25_CaledonianMercury_0002,1816.11.22_TheMorningChronicle_0002
1816.11.25_CaledonianMercury_0004,1816.11.15_LiverpoolMercuryetc_0006
1816.11.28_CaledonianMercury_0002,1816.11.25_TheMorningChronicle_0002
1816.11.28_CaledonianMercury_0003,1816.11.19_TheMorningChronicle_0003
1816.11.28_CaledonianMercury_0004,1816.11.22_TheMorningChronicle_0003
1816.11.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.11.16_TheLeedsMercury_0004
1816.11.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.11.23_TheMorningChronicle_0003
1816.11.29_LiverpoolMercuryetc_0005,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.11.30_Jackson'sOxfordJournal_0001,1816.11.28_CaledonianMercury_0002
1816.11.30_Jackson'sOxfordJournal_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.11.30_TheIpswichJournal_0001,1816.11.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.11.30_TheLeedsMercury_0004,1816.11.16_TheMorningChronicle_0004
1816.12.03_TheMorningChronicle_0001,1816.11.23_CaledonianMercury_0002
1816.12.05_CaledonianMercury_0004,1816.11.29_TheMorningChronicle_0002
1816.12.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.11.26_TheMorningChronicle_0003
1816.12.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.11.27_TheMorningChronicle_0003
1816.12.06_LiverpoolMercuryetc_0007,1816.11.27_TheMorningChronicle_0003
1816.12.14_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.12.16_CaledonianMercury_0004,1816.11.28_TheMorningChronicle_0003
1816.12.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.11.29_LiverpoolMercuryetc_0005
1816.12.21_TheLeedsMercury_0002,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.12.21_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.12.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.11.29_LiverpoolMercuryetc_0005
1816.12.27_LiverpoolMercuryetc_0005,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.12.27_LiverpoolMercuryetc_0006,1816.11.23_TheLeedsMercury_0004
1816.12.28_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.01.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.11.30_Jackson'sOxfordJournal_0004
1817.01.03_LiverpoolMercuryetc_0005,1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.01.03_LiverpoolMercuryetc_0006,1816.11.14_TheMorningChronicle_0004
1817.01.09_TheMorningChronicle_0004,1816.11.02_TheLeedsMercury_0004
1817.01.10_LiverpoolMercuryetc_0008,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.01.11_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.01.17_LiverpoolMercuryetc_0008,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.01.18_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.01.25_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.01.30_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.11.30_Jackson'sOxfordJournal_0004
1817.02.01_TheLeedsMercury_0002,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.02.01_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.02.07_LiverpoolMercuryetc_0001,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.02.08_TheLeedsMercury_0002,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.02.08_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.11.29_LiverpoolMercuryetc_0005
1817.02.14_LiverpoolMercuryetc_0008,1816.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.02.15_TheLeedsMercury_0002,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
