1817.01.03_LiverpoolMercuryetc_0002,1817.01.02_CaledonianMercury_0002
1817.01.03_LiverpoolMercuryetc_0007,1817.01.02_TheMorningChronicle_0002
1817.01.04_CaledonianMercury_0002,1817.01.03_LiverpoolMercuryetc_0007
1817.01.04_CaledonianMercury_0003,1817.01.02_TheMorningChronicle_0002
1817.01.04_CaledonianMercury_0004,1817.01.01_TheMorningChronicle_0002
1817.01.04_Jackson'sOxfordJournal_0002,1817.01.01_TheMorningChronicle_0003
1817.01.04_Jackson'sOxfordJournal_0004,1817.01.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1817.01.04_TheLeedsMercury_0002,1817.01.03_LiverpoolMercuryetc_0007
1817.01.06_CaledonianMercury_0002,1817.01.03_TheMorningChronicle_0004
1817.01.06_CaledonianMercury_0003,1817.01.03_TheMorningChronicle_0003
1817.01.09_CaledonianMercury_0002,1817.01.07_TheMorningChronicle_0003
1817.01.09_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1817.01.04_CaledonianMercury_0002
1817.01.09_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1817.01.01_TheMorningChronicle_0003
1817.01.10_LiverpoolMercuryetc_0002,1817.01.04_TheMorningChronicle_0002
1817.01.11_CaledonianMercury_0004,1817.01.01_TheMorningChronicle_0003
1817.01.11_Jackson'sOxfordJournal_0001,1817.01.07_TheMorningChronicle_0003
1817.01.11_Jackson'sOxfordJournal_0004,1817.01.09_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.01.11_TheLeedsMercury_0002,1817.01.08_TheMorningChronicle_0002
1817.01.11_TheLeedsMercury_0003,1817.01.09_TheMorningChronicle_0002
1817.01.11_TheLeedsMercury_0004,1817.01.10_LiverpoolMercuryetc_0008
1817.01.13_CaledonianMercury_0002,1817.01.11_Jackson'sOxfordJournal_0002
1817.01.13_CaledonianMercury_0004,1817.01.09_TheMorningChronicle_0002
1817.01.16_CaledonianMercury_0002,1817.01.13_TheMorningChronicle_0003
1817.01.16_CaledonianMercury_0004,1817.01.06_TheMorningChronicle_0003
1817.01.16_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1817.01.13_CaledonianMercury_0002
1817.01.16_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1817.01.11_Jackson'sOxfordJournal_0001
