1820.09.04_GlasgowHerald_0001,1820.09.02_CaledonianMercury_0003
1820.09.04_GlasgowHerald_0004,1820.09.03_TheExaminer_0012
1820.09.04_TheBristolMercury_0001,1820.09.02_Jackson'sOxfordJournal_0004
1820.09.06_TheDerbyMercury_0004,1820.09.04_TheBristolMercury_0004
1820.09.07_CaledonianMercury_0002,1820.09.04_TheBristolMercury_0002
1820.09.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1820.09.04_TheBristolMercury_0002
1820.09.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1820.09.04_TheBristolMercury_0001
1820.09.08_GlasgowHerald_0001,1820.09.07_CaledonianMercury_0002
1820.09.09_TheIpswichJournal_0004,1820.09.07_CaledonianMercury_0002
1820.09.09_TheNewcastleCourantetc_0002,1820.09.07_CaledonianMercury_0002
1820.09.09_TheNewcastleCourantetc_0003,1820.09.02_Jackson'sOxfordJournal_0004
1820.09.11_GlasgowHerald_0001,1820.09.09_CaledonianMercury_0003
1820.09.11_GlasgowHerald_0002,1820.09.09_Jackson'sOxfordJournal_0002
1820.09.11_TheBristolMercury_0002,1820.09.09_TheIpswichJournal_0004
1820.09.11_TheBristolMercury_0004,1820.09.09_Jackson'sOxfordJournal_0002
1820.09.13_TheAberdeenJournal_0002,1820.09.07_CaledonianMercury_0003
1820.09.13_TheAberdeenJournal_0004,1820.09.09_TheNewcastleCourantetc_0002
1820.09.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1820.09.09_Jackson'sOxfordJournal_0004
1820.09.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1820.09.09_Jackson'sOxfordJournal_0002
1820.09.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1820.09.11_GlasgowHerald_0001
1820.09.15_GlasgowHerald_0001,1820.09.14_CaledonianMercury_0002
1820.09.15_GlasgowHerald_0004,1820.09.14_CaledonianMercury_0003
1820.09.16_CaledonianMercury_0004,1820.09.08_LiverpoolMercuryetc_0007
1820.09.16_Jackson'sOxfordJournal_0001,1820.09.13_TheDerbyMercury_0004
1820.09.16_Jackson'sOxfordJournal_0002,1820.09.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1820.09.16_Jackson'sOxfordJournal_0004,1820.09.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1820.09.16_TheIpswichJournal_0004,1820.09.11_GlasgowHerald_0001
1820.09.16_TheNewcastleCourantetc_0002,1820.09.11_GlasgowHerald_0002
1820.09.16_TheNewcastleCourantetc_0004,1820.09.14_CaledonianMercury_0002
1820.09.17_TheExaminer_0014,1820.09.16_Freeman'sJournalandDailyCommercialAdvertiser_0002
1820.09.18_CaledonianMercury_0002,1820.09.17_TheExaminer_0004
