RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1822	10	03	CaledonianMercury	0002	1822	10	01	TheMorningChronicle	0001
1822	10	04	GlasgowHerald	0001	1822	10	03	CaledonianMercury	0002
1822	10	05	CaledonianMercury	0001	1822	10	04	GlasgowHerald	0003
1822	10	05	CaledonianMercury	0002	1822	10	02	TheMorningChronicle	0003
1822	10	05	CaledonianMercury	0004	1822	10	04	TheMorningChronicle	0004
1822	10	05	Jackson'sOxfordJournal	0001	1822	10	02	TheDerbyMercury	0001
1822	10	05	Jackson'sOxfordJournal	0002	1822	10	04	TheMorningChronicle	0001
1822	10	05	Jackson'sOxfordJournal	0004	1822	10	01	TheMorningChronicle	0004
1822	10	05	TheLeedsMercury	0002	1822	10	03	TheMorningChronicle	0002
1822	10	05	TheLeedsMercury	0004	1822	10	03	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003
1822	10	05	TheMorningChronicle	0004	1822	10	04	GlasgowHerald	0004
1822	10	05	TheNewcastleCourantetc	0001	1822	10	04	LiverpoolMercuryetc	0005
1822	10	06	TheExaminer	0005	1822	10	04	TheMorningChronicle	0002
1822	10	06	TheExaminer	0006	1822	10	05	TheMorningChronicle	0002
1822	10	06	TheExaminer	0008	1822	10	03	TheMorningChronicle	0002
1822	10	06	TheExaminer	0009	1822	10	02	TheMorningChronicle	0003
1822	10	06	TheExaminer	0014	1822	10	02	TheMorningChronicle	0003
1822	10	06	TheExaminer	0015	1822	10	04	TheMorningChronicle	0003
1822	10	07	CaledonianMercury	0002	1822	10	04	TheMorningChronicle	0002
1822	10	07	CaledonianMercury	0004	1822	10	01	TheMorningChronicle	0002
1822	10	07	GlasgowHerald	0001	1822	10	02	TheMorningChronicle	0002
1822	10	07	GlasgowHerald	0004	1822	10	06	TheExaminer	0009
1822	10	07	TheBristolMercury	0001	1822	10	01	TheMorningChronicle	0002
1822	10	07	TheBristolMercury	0002	1822	10	04	TheMorningChronicle	0002
1822	10	07	TheBristolMercury	0004	1822	10	02	TheMorningChronicle	0004
1822	10	07	TheMorningChronicle	0001	1822	10	06	TheExaminer	0016
1822	10	09	TheMorningChronicle	0001	1822	10	06	TheExaminer	0016
1822	10	10	CaledonianMercury	0002	1822	10	07	TheMorningChronicle	0001
1822	10	10	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001	1822	10	07	TheMorningChronicle	0003
1822	10	10	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0002	1822	10	04	TheMorningChronicle	0001
1822	10	10	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003	1822	10	04	TheMorningChronicle	0002
1822	10	10	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0004	1822	10	09	TheMorningChronicle	0004
1822	10	11	GlasgowHerald	0001	1822	10	10	CaledonianMercury	0002
1822	10	11	GlasgowHerald	0004	1822	10	07	TheMorningChronicle	0003
1822	10	11	LiverpoolMercuryetc	0002	1822	10	04	TheMorningChronicle	0004
1822	10	11	LiverpoolMercuryetc	0007	1822	10	01	TheMorningChronicle	0002
1822	10	11	TheMorningChronicle	0004	1822	10	07	CaledonianMercury	0003
1822	10	12	CaledonianMercury	0002	1822	10	11	TheMorningChronicle	0004
1822	10	12	CaledonianMercury	0004	1822	10	07	TheMorningChronicle	0003
1822	10	12	Jackson'sOxfordJournal	0004	1822	10	04	LiverpoolMercuryetc	0005
1822	10	12	TheLeedsMercury	0002	1822	10	10	CaledonianMercury	0002
1822	10	12	TheLeedsMercury	0004	1822	10	09	TheMorningChronicle	0004
1822	10	13	TheExaminer	0007	1822	10	10	TheMorningChronicle	0003
1822	10	13	TheExaminer	0013	1822	10	11	TheMorningChronicle	0003
1822	10	13	TheExaminer	0015	1822	10	09	TheMorningChronicle	0003
1822	10	14	CaledonianMercury	0002	1822	10	09	TheMorningChronicle	0004
1822	10	14	GlasgowHerald	0001	1822	10	09	TheMorningChronicle	0004
1822	10	14	GlasgowHerald	0004	1822	10	05	TheMorningChronicle	0003
1822	10	14	TheBristolMercury	0001	1822	10	09	TheMorningChronicle	0004
1822	10	14	TheBristolMercury	0002	1822	10	12	TheMorningChronicle	0002
1822	10	14	TheBristolMercury	0003	1822	10	12	TheMorningChronicle	0004
1822	10	14	TheBristolMercury	0004	1822	10	10	TheMorningChronicle	0003
1822	10	14	TheMorningChronicle	0003	1822	10	13	TheExaminer	0011
