1822.11.02_CaledonianMercury_0002,1822.11.01_GlasgowHerald_0002
1822.11.03_TheExaminer_0008,1822.11.01_LiverpoolMercuryetc_0007
1822.11.04_CaledonianMercury_0002,1822.11.01_TheMorningChronicle_0001
1822.11.04_CaledonianMercury_0004,1822.11.01_GlasgowHerald_0004
1822.11.04_GlasgowHerald_0004,1822.11.02_Jackson'sOxfordJournal_0004
1822.11.04_TheBristolMercury_0002,1822.11.01_TheMorningChronicle_0002
1822.11.04_TheBristolMercury_0004,1822.11.02_Jackson'sOxfordJournal_0004
1822.11.04_TheMorningChronicle_0003,1822.11.03_TheExaminer_0010
1822.11.07_CaledonianMercury_0002,1822.11.04_TheMorningChronicle_0001
1822.11.08_GlasgowHerald_0001,1822.11.04_TheMorningChronicle_0003
1822.11.08_GlasgowHerald_0002,1822.11.06_TheMorningChronicle_0004
1822.11.09_CaledonianMercury_0002,1822.11.07_TheMorningChronicle_0002
1822.11.09_CaledonianMercury_0004,1822.11.05_TheMorningChronicle_0003
1822.11.09_Jackson'sOxfordJournal_0001,1822.11.06_TheMorningChronicle_0001
1822.11.09_Jackson'sOxfordJournal_0002,1822.11.06_TheMorningChronicle_0002
1822.11.09_Jackson'sOxfordJournal_0004,1822.11.04_TheMorningChronicle_0003
1822.11.09_TheLeedsMercury_0002,1822.11.06_TheMorningChronicle_0002
1822.11.09_TheLeedsMercury_0004,1822.11.02_Jackson'sOxfordJournal_0004
1822.11.09_TheMorningChronicle_0001,1822.11.02_TheIpswichJournal_0001
1822.11.10_TheExaminer_0006,1822.11.06_TheMorningChronicle_0003
1822.11.10_TheExaminer_0008,1822.11.06_TheMorningChronicle_0002
1822.11.10_TheExaminer_0010,1822.11.08_TheMorningChronicle_0002
1822.11.11_CaledonianMercury_0002,1822.11.09_TheMorningChronicle_0004
1822.11.11_CaledonianMercury_0004,1822.11.04_TheMorningChronicle_0003
1822.11.11_GlasgowHerald_0001,1822.11.06_TheMorningChronicle_0001
1822.11.11_GlasgowHerald_0002,1822.11.09_TheMorningChronicle_0004
1822.11.11_GlasgowHerald_0004,1822.11.07_CaledonianMercury_0003
1822.11.11_TheBristolMercury_0001,1822.11.04_TheMorningChronicle_0002
1822.11.11_TheBristolMercury_0004,1822.11.04_TheMorningChronicle_0003
1822.11.12_TheMorningChronicle_0003,1822.11.08_GlasgowHerald_0004
1822.11.13_TheDerbyMercury_0001,1822.11.02_Jackson'sOxfordJournal_0004
1822.11.14_CaledonianMercury_0002,1822.11.11_TheMorningChronicle_0002
1822.11.14_CaledonianMercury_0004,1822.11.09_TheMorningChronicle_0002
1822.11.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1822.11.12_TheMorningChronicle_0003
1822.11.15_GlasgowHerald_0001,1822.11.11_TheMorningChronicle_0003
1822.11.15_GlasgowHerald_0002,1822.11.13_TheMorningChronicle_0001
1822.11.15_LiverpoolMercuryetc_0002,1822.11.10_TheExaminer_0008
1822.11.16_CaledonianMercury_0002,1822.11.12_TheMorningChronicle_0001
1822.11.16_Jackson'sOxfordJournal_0001,1822.11.13_TheMorningChronicle_0001
1822.11.16_Jackson'sOxfordJournal_0002,1822.11.14_TheMorningChronicle_0003
1822.11.16_Jackson'sOxfordJournal_0004,1822.11.02_TheIpswichJournal_0001
1822.11.16_TheLeedsMercury_0002,1822.11.13_TheMorningChronicle_0003
1822.11.16_TheLeedsMercury_0004,1822.11.02_Jackson'sOxfordJournal_0004
1822.11.17_TheExaminer_0004,1822.11.14_TheMorningChronicle_0002
1822.11.17_TheExaminer_0015,1822.11.15_TheMorningChronicle_0004
1822.11.18_CaledonianMercury_0002,1822.11.16_TheMorningChronicle_0002
1822.11.18_GlasgowHerald_0001,1822.11.14_TheMorningChronicle_0002
1822.11.18_GlasgowHerald_0002,1822.11.16_TheMorningChronicle_0002
1822.11.18_GlasgowHerald_0004,1822.11.11_CaledonianMercury_0004
1822.11.18_TheBristolMercury_0001,1822.11.13_TheMorningChronicle_0002
1822.11.18_TheBristolMercury_0002,1822.11.16_TheMorningChronicle_0003
1822.11.18_TheBristolMercury_0004,1822.11.08_GlasgowHerald_0004
1822.11.18_TheMorningChronicle_0003,1822.11.17_TheExaminer_0002
1822.11.20_TheDerbyMercury_0001,1822.11.18_TheBristolMercury_0001
1822.11.20_TheMorningChronicle_0001,1822.11.17_TheExaminer_0016
1822.11.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1822.11.20_TheMorningChronicle_0004
1822.11.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1822.11.18_TheBristolMercury_0002
1822.11.22_GlasgowHerald_0001,1822.11.21_CaledonianMercury_0004
1822.11.22_GlasgowHerald_0002,1822.11.20_TheMorningChronicle_0001
1822.11.22_GlasgowHerald_0004,1822.11.19_TheMorningChronicle_0002
1822.11.22_LiverpoolMercuryetc_0002,1822.11.18_TheBristolMercury_0002
1822.11.22_LiverpoolMercuryetc_0006,1822.11.18_TheBristolMercury_0004
1822.11.23_CaledonianMercury_0002,1822.11.20_TheMorningChronicle_0001
1822.11.23_CaledonianMercury_0004,1822.11.20_TheMorningChronicle_0004
1822.11.23_Jackson'sOxfordJournal_0001,1822.11.20_TheMorningChronicle_0004
1822.11.23_Jackson'sOxfordJournal_0002,1822.11.20_TheMorningChronicle_0004
1822.11.23_Jackson'sOxfordJournal_0004,1822.11.16_TheLeedsMercury_0004
1822.11.23_TheIpswichJournal_0001,1822.11.16_Jackson'sOxfordJournal_0004
1822.11.23_TheIpswichJournal_0004,1822.11.12_TheMorningChronicle_0004
1822.11.23_TheLeedsMercury_0001,1822.11.16_Jackson'sOxfordJournal_0004
1822.11.23_TheLeedsMercury_0002,1822.11.21_TheMorningChronicle_0003
1822.11.23_TheLeedsMercury_0003,1822.11.19_TheMorningChronicle_0002
1822.11.23_TheLeedsMercury_0004,1822.11.20_TheMorningChronicle_0001
1822.11.24_TheExaminer_0015,1822.11.22_TheMorningChronicle_0001
1822.11.25_CaledonianMercury_0004,1822.11.19_TheMorningChronicle_0001
1822.11.25_GlasgowHerald_0002,1822.11.21_TheMorningChronicle_0002
1822.11.25_GlasgowHerald_0004,1822.11.18_TheBristolMercury_0002
1822.11.25_TheBristolMercury_0001,1822.11.20_TheMorningChronicle_0002
1822.11.25_TheBristolMercury_0002,1822.11.22_TheMorningChronicle_0004
1822.11.25_TheBristolMercury_0004,1822.11.19_TheMorningChronicle_0003
1822.11.25_TheMorningChronicle_0001,1822.11.24_TheExaminer_0015
1822.11.25_TheMorningChronicle_0003,1822.11.24_TheExaminer_0010
1822.11.26_TheMorningChronicle_0001,1822.11.25_CaledonianMercury_0002
1822.11.27_TheMorningChronicle_0001,1822.11.24_TheExaminer_0015
1822.11.29_GlasgowHerald_0001,1822.11.25_TheMorningChronicle_0002
1822.11.29_GlasgowHerald_0002,1822.11.27_TheMorningChronicle_0004
1822.11.29_GlasgowHerald_0003,1822.11.02_Jackson'sOxfordJournal_0004
1822.11.29_LiverpoolMercuryetc_0002,1822.11.24_TheExaminer_0014
1822.11.29_LiverpoolMercuryetc_0003,1822.11.21_TheMorningChronicle_0003
1822.11.29_TheMorningChronicle_0001,1822.11.24_TheExaminer_0015
1822.11.29_TheMorningChronicle_0004,1822.11.21_CaledonianMercury_0004
1822.11.30_CaledonianMercury_0002,1822.11.27_TheMorningChronicle_0002
1822.11.30_CaledonianMercury_0004,1822.11.27_TheMorningChronicle_0004
1822.11.30_Jackson'sOxfordJournal_0002,1822.11.27_TheMorningChronicle_0001
1822.11.30_Jackson'sOxfordJournal_0004,1822.11.25_TheMorningChronicle_0004
1822.11.30_TheIpswichJournal_0001,1822.11.21_TheMorningChronicle_0004
1822.11.30_TheIpswichJournal_0004,1822.11.25_GlasgowHerald_0002
1822.11.30_TheLeedsMercury_0002,1822.11.28_TheMorningChronicle_0003
1822.11.30_TheLeedsMercury_0003,1822.11.25_GlasgowHerald_0002
1822.11.30_TheLeedsMercury_0004,1822.11.24_TheExaminer_0003
1822.11.30_TheMorningChronicle_0003,1822.11.21_CaledonianMercury_0003
1822.12.01_TheExaminer_0003,1822.11.27_TheMorningChronicle_0003
1822.12.01_TheExaminer_0007,1822.11.26_TheMorningChronicle_0003
1822.12.01_TheExaminer_0008,1822.11.27_TheMorningChronicle_0003
1822.12.01_TheExaminer_0015,1822.11.30_TheLeedsMercury_0003
1822.12.02_TheBristolMercury_0001,1822.11.28_TheMorningChronicle_0002
1822.12.02_TheBristolMercury_0002,1822.11.29_TheMorningChronicle_0002
1822.12.02_TheBristolMercury_0004,1822.11.28_TheMorningChronicle_0003
1822.12.03_TheMorningChronicle_0001,1822.11.30_Jackson'sOxfordJournal_0002
1822.12.04_TheDerbyMercury_0001,1822.11.02_Jackson'sOxfordJournal_0004
1822.12.05_CaledonianMercury_0002,1822.11.30_TheMorningChronicle_0003
1822.12.05_TheMorningChronicle_0001,1822.11.23_Jackson'sOxfordJournal_0004
1822.12.05_TheMorningChronicle_0004,1822.11.18_GlasgowHerald_0001
1822.12.06_GlasgowHerald_0001,1822.11.30_TheMorningChronicle_0002
1822.12.06_GlasgowHerald_0004,1822.11.29_TheMorningChronicle_0004
1822.12.06_LiverpoolMercuryetc_0002,1822.11.27_TheMorningChronicle_0004
1822.12.06_LiverpoolMercuryetc_0003,1822.11.30_TheMorningChronicle_0003
1822.12.06_LiverpoolMercuryetc_0005,1822.11.27_TheMorningChronicle_0001
1822.12.06_TheMorningChronicle_0001,1822.11.30_Jackson'sOxfordJournal_0004
1822.12.07_Jackson'sOxfordJournal_0004,1822.11.30_TheLeedsMercury_0004
1822.12.07_TheIpswichJournal_0001,1822.11.16_Jackson'sOxfordJournal_0004
1822.12.09_CaledonianMercury_0004,1822.11.30_TheMorningChronicle_0004
1822.12.09_GlasgowHerald_0004,1822.11.29_TheMorningChronicle_0003
1822.12.09_TheBristolMercury_0004,1822.11.29_TheMorningChronicle_0004
1822.12.14_CaledonianMercury_0003,1822.11.30_Jackson'sOxfordJournal_0004
1822.12.14_Jackson'sOxfordJournal_0002,1822.11.02_TheIpswichJournal_0001
1822.12.14_Jackson'sOxfordJournal_0004,1822.11.23_TheIpswichJournal_0001
1822.12.14_TheIpswichJournal_0001,1822.11.23_Jackson'sOxfordJournal_0004
1822.12.16_GlasgowHerald_0001,1822.11.29_LiverpoolMercuryetc_0002
1822.12.16_GlasgowHerald_0003,1822.11.29_TheMorningChronicle_0001
1822.12.18_TheAberdeenJournal_0001,1822.11.30_Jackson'sOxfordJournal_0004
1822.12.21_CaledonianMercury_0001,1822.11.29_TheMorningChronicle_0001
1822.12.21_Jackson'sOxfordJournal_0004,1822.11.30_TheIpswichJournal_0001
1822.12.21_TheLeedsMercury_0001,1822.11.25_TheMorningChronicle_0001
1822.12.28_TheLeedsMercury_0002,1822.11.02_Jackson'sOxfordJournal_0004
1822.12.30_GlasgowHerald_0004,1822.11.02_Jackson'sOxfordJournal_0004
1823.01.01_TheAberdeenJournal_0003,1822.11.30_Jackson'sOxfordJournal_0004
1823.01.01_TheDerbyMercury_0001,1822.11.02_Jackson'sOxfordJournal_0004
1823.01.02_CaledonianMercury_0003,1822.11.29_TheMorningChronicle_0004
1823.01.03_LiverpoolMercuryetc_0003,1822.11.04_TheBristolMercury_0001
1823.01.18_TheLeedsMercury_0004,1822.11.23_Jackson'sOxfordJournal_0004
1823.01.20_TheBristolMercury_0001,1822.11.23_Jackson'sOxfordJournal_0004
1823.02.01_TheLeedsMercury_0001,1822.11.30_Jackson'sOxfordJournal_0004
1823.02.08_TheLeedsMercury_0001,1822.11.09_Jackson'sOxfordJournal_0004
1823.02.15_TheIpswichJournal_0001,1822.11.23_Jackson'sOxfordJournal_0004
1823.02.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1822.11.23_Jackson'sOxfordJournal_0004
1823.02.22_TheIpswichJournal_0001,1822.11.16_Jackson'sOxfordJournal_0004
1823.03.03_TheBristolMercury_0001,1822.11.23_Jackson'sOxfordJournal_0004
1823.03.05_TheDerbyMercury_0001,1822.11.16_Jackson'sOxfordJournal_0004
1823.03.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1822.11.02_TheIpswichJournal_0001
1823.03.08_TheIpswichJournal_0001,1822.11.23_Jackson'sOxfordJournal_0004
1823.03.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1822.11.23_Jackson'sOxfordJournal_0004
1823.03.22_TheLeedsMercury_0004,1822.11.16_Jackson'sOxfordJournal_0004
1823.03.29_TheIpswichJournal_0004,1822.11.23_Jackson'sOxfordJournal_0004
1823.04.02_TheDerbyMercury_0001,1822.11.02_Jackson'sOxfordJournal_0004
1823.04.09_TheDerbyMercury_0001,1822.11.09_Jackson'sOxfordJournal_0004
1823.05.03_TheLeedsMercury_0004,1822.11.02_Jackson'sOxfordJournal_0004
1823.05.28_TheDerbyMercury_0001,1822.11.09_Jackson'sOxfordJournal_0004
1823.05.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1822.11.13_TheMorningChronicle_0001
1823.05.31_TheLeedsMercury_0004,1822.11.23_Jackson'sOxfordJournal_0004
