RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE	OPAGE
1824	03	03	TheDerbyMercury	0002	1824	03	01	TheBristolMercury	0002
1824	03	04	CaledonianMercury	0002	1824	03	03	TheDerbyMercury	0004
1824	03	04	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001	1824	03	03	TheDerbyMercury	0002
1824	03	04	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0002	1824	03	01	TheBristolMercury	0002
1824	03	04	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003	1824	03	01	HampshireTelegraphandSussexChronicleetc	0003
1824	03	06	CaledonianMercury	0004	1824	03	02	TheMorningChronicle	0002
1824	03	06	TheIpswichJournal	0002	1824	03	02	TheMorningChronicle	0001
1824	03	06	TheNewcastleCourantetc	0002	1824	03	01	TheBristolMercury	0002
1824	03	07	TheExaminer	0007	1824	03	05	TheMorningChronicle	0003
1824	03	08	CaledonianMercury	0004	1824	03	06	TheNewcastleCourantetc	0002
1824	03	08	TheBristolMercury	0001	1824	03	02	TheMorningChronicle	0002
1824	03	08	TheBristolMercury	0004	1824	03	04	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003
1824	03	08	TheMorningChronicle	0001	1824	03	04	CaledonianMercury	0001
1824	03	10	TheAberdeenJournal	0004	1824	03	04	CaledonianMercury	0004
1824	03	10	TheDerbyMercury	0001	1824	03	08	TheBristolMercury	0002
1824	03	11	CaledonianMercury	0002	1824	03	06	TheMorningChronicle	0003
1824	03	11	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001	1824	03	10	TheDerbyMercury	0001
1824	03	11	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0002	1824	03	10	TheDerbyMercury	0004
1824	03	11	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003	1824	03	10	TheDerbyMercury	0002
1824	03	13	TheIpswichJournal	0001	1824	03	10	TheDerbyMercury	0001
1824	03	13	TheIpswichJournal	0002	1824	03	12	TheMorningChronicle	0002
1824	03	13	TheNewcastleCourantetc	0002	1824	03	05	TheMorningChronicle	0002
1824	03	13	TheNewcastleCourantetc	0003	1824	03	10	TheDerbyMercury	0001
1824	03	14	TheExaminer	0007	1824	03	10	TheMorningChronicle	0004
1824	03	14	TheExaminer	0013	1824	03	10	TheMorningChronicle	0001
1824	03	15	CaledonianMercury	0004	1824	03	13	TheMorningChronicle	0004
1824	03	15	TheBristolMercury	0001	1824	03	09	TheMorningChronicle	0003
1824	03	15	TheBristolMercury	0004	1824	03	09	TheMorningChronicle	0001
1824	03	15	TheMorningChronicle	S0003	1824	03	14	TheExaminer	0014
1824	03	15	TheMorningChronicle	S0004	1824	03	13	TheIpswichJournal	0001
1824	03	17	TheAberdeenJournal	0004	1824	03	13	TheNewcastleCourantetc	0002
1824	03	17	TheDerbyMercury	0002	1824	03	11	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001
1824	03	17	TheDerbyMercury	0004	1824	03	11	TheMorningChronicle	0002
1824	03	18	CaledonianMercury	0003	1824	03	17	TheDerbyMercury	0001
1824	03	18	CaledonianMercury	0004	1824	03	11	TheMorningChronicle	0003
1824	03	18	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001	1824	03	17	TheDerbyMercury	0001
1824	03	18	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003	1824	03	17	TheDerbyMercury	0002
1824	03	19	LiverpoolMercuryetc	0006	1824	03	10	TheMorningChronicle	0002
1824	03	20	TheIpswichJournal	0001	1824	03	18	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001
1824	03	20	TheNewcastleCourantetc	0002	1824	03	12	TheMorningChronicle	0001
1824	03	20	TheNewcastleCourantetc	0003	1824	03	17	TheDerbyMercury	0002
1824	03	21	TheExaminer	0011	1824	03	13	TheMorningChronicle	0002
1824	03	21	TheExaminer	0016	1824	03	18	CaledonianMercury	0003
1824	03	22	CaledonianMercury	0001	1824	03	20	TheNewcastleCourantetc	0003
1824	03	22	HampshireTelegraphandSussexChronicleetc	0001	1824	03	18	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001
1824	03	22	HampshireTelegraphandSussexChronicleetc	0002	1824	03	17	TheMorningChronicle	0002
1824	03	22	HampshireTelegraphandSussexChronicleetc	0003	1824	03	19	TheMorningChronicle	0002
1824	03	22	TheBristolMercury	0001	1824	03	17	TheMorningChronicle	0002
1824	03	22	TheBristolMercury	0002	1824	03	18	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001
1824	03	22	TheBristolMercury	0004	1824	03	09	TheMorningChronicle	0004
1824	03	23	TheMorningChronicle	0001	1824	03	21	TheExaminer	0016
1824	03	24	TheAberdeenJournal	0004	1824	03	11	CaledonianMercury	0004
1824	03	24	TheDerbyMercury	0001	1824	03	20	TheIpswichJournal	0001
1824	03	24	TheDerbyMercury	0004	1824	03	23	TheMorningChronicle	0001
1824	03	25	CaledonianMercury	0001	1824	03	24	TheDerbyMercury	0004
1824	03	25	CaledonianMercury	0002	1824	03	24	TheDerbyMercury	0004
1824	03	25	CaledonianMercury	0004	1824	03	10	TheMorningChronicle	0002
1824	03	25	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0002	1824	03	24	TheDerbyMercury	0004
1824	03	25	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003	1824	03	24	TheDerbyMercury	0004
1824	03	27	CaledonianMercury	0002	1824	03	24	TheMorningChronicle	0003
1824	03	27	Cobbett'sWeeklyPoliticalRegister	0019	1824	03	24	TheMorningChronicle	0004
1824	03	27	TheIpswichJournal	0001	1824	03	18	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001
1824	03	27	TheIpswichJournal	0002	1824	03	26	TheMorningChronicle	0002
1824	03	27	TheIpswichJournal	0004	1824	03	23	TheMorningChronicle	0004
1824	03	27	TheLeedsMercury	0002	1824	03	21	TheExaminer	0009
1824	03	27	TheNewcastleCourantetc	0002	1824	03	22	TheBristolMercury	0002
1824	03	27	TheNewcastleCourantetc	0003	1824	03	24	TheDerbyMercury	0004
1824	03	28	TheExaminer	0002	1824	03	26	TheMorningChronicle	0002
1824	03	28	TheExaminer	0010	1824	03	22	TheMorningChronicle	0003
1824	03	28	TheExaminer	0011	1824	03	23	TheMorningChronicle	0004
1824	03	28	TheExaminer	0012	1824	03	26	TheMorningChronicle	0004
1824	03	29	CaledonianMercury	0002	1824	03	26	TheMorningChronicle	0002
1824	03	29	CaledonianMercury	0004	1824	03	27	TheIpswichJournal	0004
1824	03	29	HampshireTelegraphandSussexChronicleetc	0001	1824	03	27	TheIpswichJournal	0001
1824	03	29	HampshireTelegraphandSussexChronicleetc	0002	1824	03	27	TheIpswichJournal	0004
1824	03	29	HampshireTelegraphandSussexChronicleetc	0003	1824	03	26	TheMorningChronicle	0002
