1824.07.03_TheIpswichJournal_0002,1824.07.02_MorningChronicle_0003
1824.07.03_TheIpswichJournal_0004,1824.07.02_LiverpoolMercuryetc_0002
1824.07.04_TheExaminer_0008,1824.07.03_MorningChronicle_0003
1824.07.04_TheExaminer_0009,1824.07.02_MorningChronicle_0002
1824.07.04_TheExaminer_0013,1824.07.03_MorningChronicle_0003
1824.07.05_CaledonianMercury_0002,1824.07.02_MorningChronicle_0002
1824.07.05_HampshireTelegraphandSussexChronicleetc_0003,1824.07.02_MorningChronicle_0002
1824.07.05_TheBristolMercury_0004,1824.07.03_TheIpswichJournal_0004
1824.07.06_MorningChronicle_0004,1824.07.04_TheExaminer_0005
1824.07.07_TheDerbyMercury_0001,1824.07.03_TheLeedsMercury_0004
1824.07.07_TheDerbyMercury_0002,1824.07.05_TheBristolMercury_0001
1824.07.09_LiverpoolMercuryetc_0002,1824.07.06_MorningChronicle_0002
1824.07.09_LiverpoolMercuryetc_0003,1824.07.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1824.07.10_CaledonianMercury_0002,1824.07.07_MorningChronicle_0002
1824.07.10_TheIpswichJournal_0004,1824.07.05_MorningChronicle_0003
1824.07.10_TheLeedsMercury_0002,1824.07.03_MorningChronicle_0002
1824.07.10_TheLeedsMercury_0003,1824.07.03_MorningChronicle_0003
1824.07.10_TheNewcastleCourantetc_0002,1824.07.03_TheIpswichJournal_0004
1824.07.10_TheNewcastleCourantetc_0003,1824.07.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1824.07.11_TheExaminer_0005,1824.07.10_MorningChronicle_0003
1824.07.11_TheExaminer_0013,1824.07.07_MorningChronicle_0003
1824.07.11_TheExaminer_0016,1824.07.09_MorningChronicle_0001
1824.07.12_CaledonianMercury_0002,1824.07.11_TheExaminer_0005
1824.07.12_TheBristolMercury_0001,1824.07.08_MorningChronicle_0002
1824.07.12_TheBristolMercury_0004,1824.07.04_TheExaminer_0008
1824.07.13_MorningChronicle_0001,1824.07.11_TheExaminer_0016
1824.07.14_TheAberdeenJournal_0002,1824.07.10_CaledonianMercury_0002
1824.07.14_TheAberdeenJournal_0004,1824.07.10_TheNewcastleCourantetc_0002
1824.07.14_TheDerbyMercury_0001,1824.07.03_TheNewcastleCourantetc_0003
1824.07.14_TheDerbyMercury_0002,1824.07.13_MorningChronicle_0003
1824.07.15_CaledonianMercury_0001,1824.07.10_TheIpswichJournal_0001
1824.07.15_CaledonianMercury_0002,1824.07.14_TheDerbyMercury_0002
1824.07.15_MorningChronicle_0003,1824.07.12_CaledonianMercury_0004
1824.07.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.07.14_TheDerbyMercury_0001
1824.07.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.07.10_TheNewcastleCourantetc_0003
1824.07.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.07.10_MorningChronicle_0003
1824.07.16_LiverpoolMercuryetc_0003,1824.07.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1824.07.16_LiverpoolMercuryetc_0006,1824.07.11_TheExaminer_0005
1824.07.17_CaledonianMercury_0002,1824.07.14_MorningChronicle_0003
1824.07.17_Cobbett'sWeeklyPoliticalRegister_0009,1824.07.12_MorningChronicle_0003
1824.07.17_Cobbett'sWeeklyPoliticalRegister_0010,1824.07.12_MorningChronicle_0003
1824.07.17_Cobbett'sWeeklyPoliticalRegister_0011,1824.07.12_MorningChronicle_0003
1824.07.17_Cobbett'sWeeklyPoliticalRegister_0012,1824.07.12_MorningChronicle_0003
1824.07.17_TheIpswichJournal_0001,1824.07.15_CaledonianMercury_0001
1824.07.17_TheIpswichJournal_0002,1824.07.16_MorningChronicle_0002
1824.07.17_TheIpswichJournal_0004,1824.07.12_MorningChronicle_0003
1824.07.17_TheLeedsMercury_0002,1824.07.15_MorningChronicle_0002
1824.07.17_TheLeedsMercury_0003,1824.07.09_MorningChronicle_0003
1824.07.17_TheNewcastleCourantetc_0002,1824.07.09_MorningChronicle_0003
1824.07.17_TheNewcastleCourantetc_0003,1824.07.10_TheIpswichJournal_0001
1824.07.18_TheExaminer_0005,1824.07.14_TheDerbyMercury_0002
1824.07.18_TheExaminer_0006,1824.07.17_CaledonianMercury_0002
1824.07.18_TheExaminer_0012,1824.07.12_MorningChronicle_0003
1824.07.18_TheExaminer_0015,1824.07.13_MorningChronicle_0001
