1826.02.02_CaledonianMercury_0002,1826.02.01_TheDerbyMercury_0004
1826.02.03_GlasgowHerald_0004,1826.02.02_CaledonianMercury_0004
1826.02.04_TheIpswichJournal_0001,1826.02.01_TheDerbyMercury_0001
1826.02.04_TheNewcastleCourantetc_0002,1826.02.01_TheDerbyMercury_0001
1826.02.05_TheExaminer_0006,1826.02.02_TheMorningChronicle_0002
1826.02.06_CaledonianMercury_0001,1826.02.04_TheNewcastleCourantetc_0001
1826.02.06_CaledonianMercury_0002,1826.02.04_TheIpswichJournal_0002
1826.02.06_CaledonianMercury_0003,1826.02.02_TheMorningChronicle_0002
1826.02.06_CaledonianMercury_0004,1826.02.03_LiverpoolMercuryetc_0007
1826.02.06_GlasgowHerald_0001,1826.02.02_CaledonianMercury_0003
1826.02.06_GlasgowHerald_0002,1826.02.05_TheExaminer_0006
1826.02.06_GlasgowHerald_0003,1826.02.02_CaledonianMercury_0003
1826.02.06_HampshireTelegraphandSussexChronicleetc_0003,1826.02.05_TheExaminer_0006
1826.02.06_TheBristolMercury_0001,1826.02.04_TheLeedsMercury_0002
1826.02.06_TheMorningChronicle_0002,1826.02.04_TheLeedsMercury_0004
