1827.03.03_CaledonianMercury_0004,1827.03.02_TheMorningChronicle_0003
1827.03.03_TheIpswichJournal_0002,1827.03.02_TheMorningChronicle_0001
1827.03.04_TheExaminer_0003,1827.03.02_LiverpoolMercuryetc_0008
1827.03.04_TheExaminer_0004,1827.03.01_CaledonianMercury_0004
1827.03.04_TheExaminer_0008,1827.03.02_TheMorningChronicle_0001
1827.03.05_CaledonianMercury_0002,1827.03.03_TheIpswichJournal_0002
1827.03.05_CaledonianMercury_0003,1827.03.02_TheMorningChronicle_0001
1827.03.05_HampshireTelegraphandSussexChronicleetc_0002,1827.03.03_CaledonianMercury_0002
1827.03.05_HampshireTelegraphandSussexChronicleetc_0003,1827.03.04_TheExaminer_0008
1827.03.05_TheBristolMercury_0001,1827.03.04_TheExaminer_0005
1827.03.05_TheBristolMercury_0002,1827.03.04_TheExaminer_0008
1827.03.05_TheBristolMercury_0004,1827.03.04_TheExaminer_0003
