1827.06.04_TheBristolMercury_0001,1827.06.01_LiverpoolMercuryetc_0002
1827.06.06_TheAberdeenJournal_0004,1827.06.01_LiverpoolMercuryetc_0008
1827.06.06_TheDerbyMercury_0001,1827.06.02_TheIpswichJournal_0002
1827.06.06_TheDerbyMercury_0002,1827.06.02_TheMorningChronicle_0003
1827.06.06_TheDerbyMercury_0004,1827.06.02_TheIpswichJournal_0002
1827.06.07_CaledonianMercury_0001,1827.06.06_TheDerbyMercury_0001
1827.06.07_CaledonianMercury_0002,1827.06.02_TheMorningChronicle_0002
1827.06.08_LiverpoolMercuryetc_0002,1827.06.03_TheExaminer_0008
1827.06.08_LiverpoolMercuryetc_0003,1827.06.06_TheDerbyMercury_0002
1827.06.08_LiverpoolMercuryetc_0007,1827.06.06_TheDerbyMercury_0004
1827.06.09_CaledonianMercury_0002,1827.06.06_TheMorningChronicle_0004
1827.06.09_Cobbett'sWeeklyPoliticalRegister_0007,1827.06.02_TheMorningChronicle_0002
1827.06.09_Cobbett'sWeeklyPoliticalRegister_0028,1827.06.08_LiverpoolMercuryetc_0007
1827.06.09_Cobbett'sWeeklyPoliticalRegister_0029,1827.06.06_TheDerbyMercury_0004
1827.06.09_TheIpswichJournal_0001,1827.06.06_TheDerbyMercury_0004
1827.06.09_TheIpswichJournal_0004,1827.06.04_TheMorningChronicle_0003
1827.06.09_TheNewcastleCourantetc_0002,1827.06.04_HampshireTelegraphandSussexChronicleetc_0003
1827.06.10_TheExaminer_0003,1827.06.09_TheIpswichJournal_0002
1827.06.10_TheExaminer_0010,1827.06.05_TheMorningChronicle_0004
1827.06.10_TheExaminer_0012,1827.06.04_TheMorningChronicle_0003
1827.06.11_CaledonianMercury_0002,1827.06.09_TheIpswichJournal_0002
