1828.06.02_CaledonianMercury_0002,1828.06.01_TheExaminer_0002
1828.06.03_TheBelfastNews-Letter_0002,1828.06.02_CaledonianMercury_0002
1828.06.04_TheAberdeenJournal_0004,1828.06.01_TheExaminer_0013
1828.06.04_TheDerbyMercury_0001,1828.06.01_TheExaminer_0003
1828.06.04_TheDerbyMercury_0004,1828.06.03_TheHullPacketandHumberMercury_0001
1828.06.05_CaledonianMercury_0002,1828.06.04_TheDerbyMercury_0004
1828.06.05_NorthWalesChronicle_0001,1828.06.03_TheHullPacketandHumberMercury_0004
1828.06.06_TheBelfastNews-Letter_0002,1828.06.04_TheDerbyMercury_0002
1828.06.07_CaledonianMercury_0002,1828.06.03_TheMorningChronicle_0001
1828.06.07_CaledonianMercury_0004,1828.06.04_TheDerbyMercury_0002
1828.06.07_Cobbett'sWeeklyPoliticalRegister_0003,1828.06.03_TheMorningChronicle_0001
1828.06.07_Cobbett'sWeeklyPoliticalRegister_0004,1828.06.03_TheMorningChronicle_0001
1828.06.07_Cobbett'sWeeklyPoliticalRegister_0005,1828.06.03_TheMorningChronicle_0001
1828.06.07_Cobbett'sWeeklyPoliticalRegister_0006,1828.06.03_TheMorningChronicle_0001
1828.06.07_Cobbett'sWeeklyPoliticalRegister_0007,1828.06.03_TheMorningChronicle_0002
1828.06.07_Cobbett'sWeeklyPoliticalRegister_0008,1828.06.03_TheMorningChronicle_0002
1828.06.07_Cobbett'sWeeklyPoliticalRegister_0009,1828.06.03_TheMorningChronicle_0002
1828.06.07_Cobbett'sWeeklyPoliticalRegister_0010,1828.06.03_TheMorningChronicle_0002
1828.06.07_TheIpswichJournal_0001,1828.06.04_TheDerbyMercury_0002
1828.06.07_TheIpswichJournal_0004,1828.06.03_TheMorningChronicle_0001
1828.06.07_TheLeedsMercury_0002,1828.06.03_TheMorningChronicle_0002
1828.06.07_TheNewcastleCourantetc_0002,1828.06.05_CaledonianMercury_0002
1828.06.07_TheNewcastleCourantetc_0003,1828.06.03_TheHullPacketandHumberMercury_0001
1828.06.07_TheNewcastleCourantetc_0004,1828.06.03_TheMorningChronicle_0002
1828.06.08_TheExaminer_0002,1828.06.03_TheMorningChronicle_0003
1828.06.08_TheExaminer_0003,1828.06.04_TheMorningChronicle_0004
1828.06.08_TheExaminer_0005,1828.06.03_TheMorningChronicle_0001
1828.06.08_TheExaminer_0006,1828.06.03_TheMorningChronicle_0002
1828.06.08_TheExaminer_0007,1828.06.03_TheMorningChronicle_0003
1828.06.08_TheExaminer_0013,1828.06.04_TheMorningChronicle_0004
1828.06.08_TheExaminer_0014,1828.06.05_TheMorningChronicle_0003
1828.06.10_TheBelfastNews-Letter_0004,1828.06.09_CaledonianMercury_0002
1828.06.10_TheBristolMercury_0001,1828.06.07_TheNewcastleCourantetc_0004
1828.06.10_TheBristolMercury_0002,1828.06.09_HampshireTelegraphandSussexChronicleetc_0001
1828.06.10_TheBristolMercury_0004,1828.06.03_TheMorningChronicle_0002
1828.06.10_TheHullPacketandHumberMercury_0001,1828.06.07_TheNewcastleCourantetc_0004
1828.06.10_TheHullPacketandHumberMercury_0002,1828.06.07_TheNewcastleCourantetc_0002
1828.06.11_TheAberdeenJournal_0004,1828.06.07_TheNewcastleCourantetc_0004
1828.06.11_TheDerbyMercury_0002,1828.06.10_TheHullPacketandHumberMercury_0004
1828.06.11_TheDerbyMercury_0004,1828.06.07_TheMorningChronicle_0004
1828.06.12_NorthWalesChronicle_0003,1828.06.06_TheMorningChronicle_0004
1828.06.12_TheMorningChronicle_0002,1828.06.03_TheBelfastNews-Letter_0001
1828.06.13_TheBelfastNews-Letter_S0001,1828.06.10_TheMorningChronicle_0001
1828.06.14_CaledonianMercury_0002,1828.06.10_TheMorningChronicle_0001
1828.06.14_TheLeedsMercury_0002,1828.06.10_TheHullPacketandHumberMercury_0004
1828.06.14_TheLeedsMercury_0003,1828.06.13_LiverpoolMercuryetc_0006
1828.06.14_TheNewcastleCourantetc_0002,1828.06.02_TheMorningChronicle_0003
1828.06.14_TheNewcastleCourantetc_0003,1828.06.07_TheMorningChronicle_0002
1828.06.15_TheExaminer_0005,1828.06.10_TheMorningChronicle_0001
1828.06.15_TheExaminer_0006,1828.06.11_TheMorningChronicle_0002
1828.06.15_TheExaminer_0013,1828.06.12_TheMorningChronicle_0003
1828.06.16_CaledonianMercury_0004,1828.06.12_TheMorningChronicle_0002
1828.06.17_TheBelfastNews-Letter_0002,1828.06.14_CaledonianMercury_0004
1828.06.17_TheBelfastNews-Letter_S0001,1828.06.11_TheMorningChronicle_0002
1828.06.17_TheBelfastNews-Letter_S0002,1828.06.11_TheMorningChronicle_0003
1828.06.17_TheBristolMercury_0001,1828.06.10_TheMorningChronicle_0001
1828.06.17_TheBristolMercury_0002,1828.06.13_TheBelfastNews-Letter_0002
1828.06.17_TheBristolMercury_0003,1828.06.14_TheNewcastleCourantetc_0004
1828.06.17_TheBristolMercury_0004,1828.06.11_TheMorningChronicle_0002
1828.06.17_TheHullPacketandHumberMercury_0001,1828.06.11_TheMorningChronicle_0002
1828.06.17_TheHullPacketandHumberMercury_0002,1828.06.13_TheMorningChronicle_0003
1828.06.17_TheHullPacketandHumberMercury_0004,1828.06.10_TheMorningChronicle_0003
1828.06.18_TheAberdeenJournal_0004,1828.06.17_TheBelfastNews-Letter_0002
1828.06.18_TheDerbyMercury_0001,1828.06.13_TheBelfastNews-Letter_S0002
1828.06.18_TheDerbyMercury_0002,1828.06.14_TheMorningChronicle_0004
1828.06.18_TheDerbyMercury_0004,1828.06.17_TheHullPacketandHumberMercury_0004
1828.06.19_NorthWalesChronicle_0001,1828.06.17_TheHullPacketandHumberMercury_0004
1828.06.19_NorthWalesChronicle_0004,1828.06.11_TheMorningChronicle_0003
1828.06.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1828.06.17_TheBelfastNews-Letter_S0002
1828.06.20_LiverpoolMercuryetc_0003,1828.06.14_TheNewcastleCourantetc_0003
1828.06.20_LiverpoolMercuryetc_0007,1828.06.14_CaledonianMercury_0004
1828.06.20_TheBelfastNews-Letter_0002,1828.06.18_TheDerbyMercury_0002
1828.06.20_TheBelfastNews-Letter_0004,1828.06.14_CaledonianMercury_0004
1828.06.21_Cobbett'sWeeklyPoliticalRegister_0015,1828.06.03_TheMorningChronicle_0002
1828.06.21_Cobbett'sWeeklyPoliticalRegister_0016,1828.06.03_TheMorningChronicle_0002
1828.06.21_TheIpswichJournal_0002,1828.06.20_TheMorningChronicle_0003
1828.06.21_TheLeedsMercury_0002,1828.06.15_TheExaminer_0007
1828.06.21_TheNewcastleCourantetc_0002,1828.06.12_TheMorningChronicle_0002
1828.06.21_TheNewcastleCourantetc_0003,1828.06.14_TheMorningChronicle_0002
1828.06.21_TheNewcastleCourantetc_0004,1828.06.17_TheMorningChronicle_0003
1828.06.22_TheExaminer_0001,1828.06.17_TheMorningChronicle_0003
1828.06.22_TheExaminer_0008,1828.06.18_TheMorningChronicle_0002
1828.06.22_TheExaminer_0009,1828.06.21_TheMorningChronicle_0003
1828.06.24_TheBelfastNews-Letter_0001,1828.06.20_TheMorningChronicle_0004
1828.06.24_TheBristolMercury_0001,1828.06.18_TheMorningChronicle_0003
1828.06.24_TheBristolMercury_0004,1828.06.19_TheMorningChronicle_0002
1828.06.24_TheHullPacketandHumberMercury_0001,1828.06.18_TheMorningChronicle_0002
1828.06.24_TheHullPacketandHumberMercury_0002,1828.06.16_TheMorningChronicle_0003
1828.06.24_TheHullPacketandHumberMercury_0004,1828.06.20_TheMorningChronicle_0002
1828.06.25_TheAberdeenJournal_0001,1828.06.14_TheNewcastleCourantetc_0004
1828.06.25_TheDerbyMercury_0001,1828.06.24_TheHullPacketandHumberMercury_0002
1828.06.25_TheDerbyMercury_0004,1828.06.24_TheHullPacketandHumberMercury_0004
1828.06.26_NorthWalesChronicle_0001,1828.06.21_TheNewcastleCourantetc_0003
1828.06.26_NorthWalesChronicle_0004,1828.06.21_TheLeedsMercury_0002
1828.06.27_LiverpoolMercuryetc_0003,1828.06.22_TheExaminer_0011
1828.06.27_LiverpoolMercuryetc_0006,1828.06.05_TheMorningChronicle_0003
1828.06.27_LiverpoolMercuryetc_0008,1828.06.10_TheBristolMercury_0002
1828.06.27_TheBelfastNews-Letter_0004,1828.06.26_NorthWalesChronicle_0003
1828.06.28_Cobbett'sWeeklyPoliticalRegister_0011,1828.06.13_TheMorningChronicle_0001
1828.06.28_Cobbett'sWeeklyPoliticalRegister_0012,1828.06.13_TheMorningChronicle_0001
1828.06.28_Cobbett'sWeeklyPoliticalRegister_0016,1828.06.03_TheMorningChronicle_0002
1828.06.28_TheIpswichJournal_0002,1828.06.27_TheBelfastNews-Letter_0004
1828.06.28_TheIpswichJournal_0004,1828.06.25_TheDerbyMercury_0001
1828.06.28_TheLeedsMercury_0003,1828.06.12_TheMorningChronicle_0002
1828.06.28_TheNewcastleCourantetc_0001,1828.06.24_TheHullPacketandHumberMercury_0001
1828.06.28_TheNewcastleCourantetc_0002,1828.06.18_TheMorningChronicle_0002
1828.06.28_TheNewcastleCourantetc_0003,1828.06.25_TheDerbyMercury_0001
1828.06.28_TheNewcastleCourantetc_0004,1828.06.24_TheBelfastNews-Letter_0002
1828.06.29_TheExaminer_0001,1828.06.25_TheMorningChronicle_0003
1828.06.29_TheExaminer_0006,1828.06.24_TheMorningChronicle_0003
1828.06.29_TheExaminer_0008,1828.06.28_TheMorningChronicle_0002
1828.06.29_TheExaminer_0009,1828.06.28_TheMorningChronicle_0002
1828.06.29_TheExaminer_0011,1828.06.26_TheMorningChronicle_0003
1828.06.29_TheExaminer_0016,1828.06.28_TheMorningChronicle_0001
1828.06.30_CaledonianMercury_0002,1828.06.26_TheMorningChronicle_0002
1828.06.30_CaledonianMercury_0003,1828.06.28_TheMorningChronicle_0004
