1829.05.02_TheManchesterTimes_0007,1829.05.01_TheBelfastNews-Letter_0002
1829.05.04_CaledonianMercury_0002,1829.05.02_TheNewcastleCourantetc_0002
1829.05.04_HampshireTelegraphandSussexChronicleetc_0002,1829.05.02_TheManchesterTimes_0007
1829.05.05_TheBelfastNews-Letter_0001,1829.05.02_TheNewcastleCourantetc_0002
1829.05.05_TheBelfastNews-Letter_0004,1829.05.02_TheNewcastleCourantetc_0004
1829.05.05_TheBristolMercury_0001,1829.05.02_TheManchesterTimes_0007
1829.05.05_TheHullPacketandHumberMercury_0001,1829.05.02_TheNewcastleCourantetc_0003
1829.05.06_TheAberdeenJournal_0004,1829.05.02_TheManchesterTimes_0007
1829.05.06_TheDerbyMercury_0001,1829.05.02_TheNewcastleCourantetc_0003
1829.05.06_TheDerbyMercury_0004,1829.05.01_TheMorningChronicle_0003
1829.05.07_NorthWalesChronicle_0001,1829.05.05_TheBelfastNews-Letter_0001
1829.05.08_TheBelfastNews-Letter_0004,1829.05.06_TheDerbyMercury_0004
1829.05.09_CaledonianMercury_0002,1829.05.05_TheMorningChronicle_0002
1829.05.09_CaledonianMercury_0004,1829.05.08_LiverpoolMercuryetc_0008
1829.05.09_TheManchesterTimes_0003,1829.05.05_TheMorningChronicle_0004
1829.05.09_TheManchesterTimes_0005,1829.05.06_TheMorningChronicle_0003
1829.05.09_TheManchesterTimes_0007,1829.05.04_TheMorningChronicle_0002
1829.05.09_TheNewcastleCourantetc_0002,1829.05.05_TheBelfastNews-Letter_0001
1829.05.09_TheNewcastleCourantetc_0003,1829.05.02_TheMorningChronicle_0001
1829.05.11_HampshireTelegraphandSussexChronicleetc_0001,1829.05.06_TheDerbyMercury_0002
1829.05.11_HampshireTelegraphandSussexChronicleetc_0002,1829.05.09_TheNewcastleCourantetc_0004
1829.05.11_TheMorningChronicle_0002,1829.05.09_TheNewcastleCourantetc_0003
1829.05.12_TheBelfastNews-Letter_0003,1829.05.09_TheNewcastleCourantetc_0003
1829.05.12_TheBelfastNews-Letter_S0001,1829.05.05_TheMorningChronicle_0002
1829.05.12_TheBelfastNews-Letter_S0002,1829.05.05_TheMorningChronicle_0003
1829.05.12_TheBristolMercury_0001,1829.05.11_HampshireTelegraphandSussexChronicleetc_0002
1829.05.12_TheHullPacketandHumberMercury_0001,1829.05.02_TheNewcastleCourantetc_0003
1829.05.12_TheHullPacketandHumberMercury_0002,1829.05.08_LiverpoolMercuryetc_0008
1829.05.12_TheHullPacketandHumberMercury_0004,1829.05.01_TheMorningChronicle_0004
1829.05.13_TheAberdeenJournal_0002,1829.05.12_TheHullPacketandHumberMercury_0002
1829.05.13_TheAberdeenJournal_0004,1829.05.12_TheHullPacketandHumberMercury_0001
1829.05.13_TheDerbyMercury_0001,1829.05.12_TheHullPacketandHumberMercury_0001
1829.05.13_TheDerbyMercury_0002,1829.05.12_TheMorningChronicle_0003
1829.05.13_TheDerbyMercury_0004,1829.05.11_CaledonianMercury_0004
1829.05.14_CaledonianMercury_0002,1829.05.12_TheMorningChronicle_0003
1829.05.14_NorthWalesChronicle_0003,1829.05.13_TheDerbyMercury_0001
1829.05.14_NorthWalesChronicle_0004,1829.05.12_TheHullPacketandHumberMercury_0004
1829.05.15_LiverpoolMercuryetc_0003,1829.05.13_TheDerbyMercury_0004
1829.05.15_LiverpoolMercuryetc_0005,1829.05.13_TheDerbyMercury_0001
1829.05.15_TheBelfastNews-Letter_0004,1829.05.12_TheMorningChronicle_0003
1829.05.16_TheLeedsMercury_0004,1829.05.13_TheDerbyMercury_0004
1829.05.16_TheManchesterTimes_0002,1829.05.12_TheMorningChronicle_0004
1829.05.16_TheManchesterTimes_0003,1829.05.12_TheMorningChronicle_0001
1829.05.16_TheNewcastleCourantetc_0002,1829.05.13_TheDerbyMercury_0004
1829.05.16_TheNewcastleCourantetc_0003,1829.05.13_TheDerbyMercury_0001
1829.05.19_TheHullPacketandHumberMercury_0001,1829.05.02_TheNewcastleCourantetc_0003
1829.05.19_TheHullPacketandHumberMercury_0002,1829.05.12_TheMorningChronicle_0003
1829.05.19_TheHullPacketandHumberMercury_0003,1829.05.16_TheNewcastleCourantetc_0002
1829.05.19_TheHullPacketandHumberMercury_0004,1829.05.12_TheMorningChronicle_0004
1829.05.20_TheAberdeenJournal_0001,1829.05.16_TheNewcastleCourantetc_0003
1829.05.20_TheAberdeenJournal_0002,1829.05.16_TheNewcastleCourantetc_0004
1829.05.20_TheAberdeenJournal_0004,1829.05.13_TheDerbyMercury_0001
1829.05.20_TheDerbyMercury_0001,1829.05.19_TheHullPacketandHumberMercury_0002
1829.05.20_TheDerbyMercury_0002,1829.05.18_TheMorningChronicle_0002
1829.05.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1829.05.12_TheHullPacketandHumberMercury_0001
1829.05.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1829.05.19_TheHullPacketandHumberMercury_0002
1829.05.22_TheBelfastNews-Letter_0002,1829.05.21_CaledonianMercury_0003
1829.05.23_CaledonianMercury_0002,1829.05.19_TheMorningChronicle_0003
1829.05.23_TheManchesterTimes_0002,1829.05.13_TheMorningChronicle_0002
1829.05.23_TheManchesterTimes_0007,1829.05.20_TheMorningChronicle_0001
1829.05.23_TheNewcastleCourantetc_0001,1829.05.19_TheHullPacketandHumberMercury_0001
1829.05.23_TheNewcastleCourantetc_0002,1829.05.18_TheMorningChronicle_0002
1829.05.23_TheNewcastleCourantetc_0004,1829.05.19_TheMorningChronicle_0003
1829.05.26_TheBelfastNews-Letter_0003,1829.05.12_TheHullPacketandHumberMercury_0001
1829.05.26_TheBristolMercury_0001,1829.05.19_TheMorningChronicle_0003
1829.05.26_TheBristolMercury_0004,1829.05.21_TheMorningChronicle_0002
1829.05.26_TheHullPacketandHumberMercury_0001,1829.05.23_TheNewcastleCourantetc_0001
1829.05.26_TheHullPacketandHumberMercury_0002,1829.05.23_CaledonianMercury_0002
1829.05.27_TheAberdeenJournal_0002,1829.05.25_CaledonianMercury_0001
1829.05.27_TheAberdeenJournal_0004,1829.05.25_HampshireTelegraphandSussexChronicleetc_0003
1829.05.27_TheDerbyMercury_0001,1829.05.16_TheNewcastleCourantetc_0003
1829.05.27_TheDerbyMercury_0002,1829.05.25_TheMorningChronicle_0002
1829.05.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1829.05.18_TheMorningChronicle_0002
1829.05.29_LiverpoolMercuryetc_0002,1829.05.27_TheMorningChronicle_0002
1829.05.29_LiverpoolMercuryetc_0008,1829.05.27_TheMorningChronicle_0002
1829.05.29_TheBelfastNews-Letter_0001,1829.05.25_TheMorningChronicle_0003
1829.05.29_TheBelfastNews-Letter_0002,1829.05.27_TheDerbyMercury_0002
1829.05.30_CaledonianMercury_0004,1829.05.25_TheMorningChronicle_0002
1829.05.30_TheManchesterTimesandGazette_0001,1829.05.16_TheManchesterTimes_0001
1829.05.30_TheManchesterTimesandGazette_0007,1829.05.25_TheMorningChronicle_0004
1829.05.30_TheNewcastleCourantetc_0002,1829.05.27_TheDerbyMercury_0002
1829.05.30_TheNewcastleCourantetc_0003,1829.05.26_TheHullPacketandHumberMercury_0001
1829.05.30_TheNewcastleCourantetc_0004,1829.05.26_TheMorningChronicle_0002
1829.06.02_TheBristolMercury_0001,1829.05.27_TheMorningChronicle_0002
1829.06.02_TheHullPacketandHumberMercury_0001,1829.05.20_TheDerbyMercury_0001
1829.06.03_TheAberdeenJournal_0001,1829.05.12_TheHullPacketandHumberMercury_0001
1829.06.03_TheDerbyMercury_0001,1829.05.30_TheMorningChronicle_0003
1829.06.03_TheDerbyMercury_0004,1829.05.27_TheMorningChronicle_0002
1829.06.04_NorthWalesChronicle_0001,1829.05.29_TheBelfastNews-Letter_0001
1829.06.05_LiverpoolMercuryetc_0003,1829.05.30_TheMorningChronicle_0003
1829.06.05_LiverpoolMercuryetc_0005,1829.05.26_TheHullPacketandHumberMercury_0001
1829.06.06_Cobbett'sWeeklyPoliticalRegister_0004,1829.05.27_TheMorningChronicle_0002
1829.06.06_Cobbett'sWeeklyPoliticalRegister_0005,1829.05.27_TheMorningChronicle_0002
