1831.11.02_TheDerbyMercury_0001,1831.11.01_TheBristolMercury_0002
1831.11.02_TheDerbyMercury_0004,1831.11.01_TheBelfastNews-Letter_0004
1831.11.03_CaledonianMercury_0002,1831.11.02_TheDerbyMercury_0002
1831.11.03_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.11.02_TheDerbyMercury_0002
1831.11.04_LiverpoolMercuryetc_0002,1831.11.03_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.11.04_LiverpoolMercuryetc_0003,1831.11.02_TheDerbyMercury_0002
1831.11.04_LiverpoolMercuryetc_0005,1831.11.01_NorthWalesChronicle_0002
1831.11.04_TheBelfastNews-Letter_0001,1831.11.02_TheDerbyMercury_0002
1831.11.05_CaledonianMercury_0002,1831.11.01_TheBristolMercury_0003
1831.11.05_PrestonChronicle_0001,1831.11.04_LiverpoolMercuryetc_0002
1831.11.05_PrestonChronicle_0002,1831.11.02_TheDerbyMercury_0002
1831.11.05_PrestonChronicle_0003,1831.11.04_LiverpoolMercuryetc_0007
1831.11.05_TheNewcastleCourantetc_0002,1831.11.02_TheDerbyMercury_0002
1831.11.05_TheNewcastleCourantetc_0003,1831.11.02_TheDerbyMercury_0004
1831.11.05_TheNewcastleCourantetc_0004,1831.11.04_LiverpoolMercuryetc_0002
1831.11.06_TheExaminer_0006,1831.11.01_TheBristolMercury_0003
1831.11.06_TheExaminer_0007,1831.11.01_TheBristolMercury_0003
1831.11.06_TheExaminer_0009,1831.11.05_TheNewcastleCourantetc_0004
1831.11.07_Freeman'sJournalandDailyCommercialAdvertiser_0002,1831.11.06_TheExaminer_0009
1831.11.07_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.11.06_TheExaminer_0012
1831.11.07_HampshireTelegraphandSussexChronicleetc_0001,1831.11.05_PrestonChronicle_0004
1831.11.07_HampshireTelegraphandSussexChronicleetc_0002,1831.11.01_TheBristolMercury_0003
1831.11.07_HampshireTelegraphandSussexChronicleetc_0003,1831.11.06_TheExaminer_0009
1831.11.08_NorthWalesChronicle_0001,1831.11.02_TheDerbyMercury_0001
1831.11.08_NorthWalesChronicle_0002,1831.11.04_LiverpoolMercuryetc_0002
1831.11.08_NorthWalesChronicle_0004,1831.11.01_TheHullPacketandHumberMercury_0004
1831.11.08_TheBelfastNews-Letter_0001,1831.11.04_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.11.08_TheBelfastNews-Letter_0003,1831.11.05_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.11.08_TheBelfastNews-Letter_0004,1831.11.05_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.11.08_TheBristolMercury_0004,1831.11.07_HampshireTelegraphandSussexChronicleetc_0001
1831.11.08_TheHullPacketandHumberMercury_0001,1831.11.07_HampshireTelegraphandSussexChronicleetc_0002
1831.11.08_TheHullPacketandHumberMercury_0002,1831.11.02_TheDerbyMercury_0002
1831.11.08_TheHullPacketandHumberMercury_0004,1831.11.05_PrestonChronicle_0004
1831.11.09_TheAberdeenJournal_0004,1831.11.05_TheNewcastleCourantetc_0002
1831.11.09_TheDerbyMercury_0001,1831.11.01_NorthWalesChronicle_0002
1831.11.09_TheDerbyMercury_0004,1831.11.08_NorthWalesChronicle_0001
1831.11.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1831.11.09_TheDerbyMercury_0002
1831.11.11_Freeman'sJournalandDailyCommercialAdvertiser_0002,1831.11.09_TheDerbyMercury_0003
1831.11.11_LiverpoolMercuryetc_0002,1831.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.11.11_LiverpoolMercuryetc_0005,1831.11.09_TheDerbyMercury_0001
1831.11.11_LiverpoolMercuryetc_0006,1831.11.09_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.11.11_TheBelfastNews-Letter_0001,1831.11.09_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.11.11_TheBelfastNews-Letter_0004,1831.11.08_TheHullPacketandHumberMercury_0004
1831.11.12_CaledonianMercury_0004,1831.11.09_TheDerbyMercury_0002
1831.11.12_Cobbett'sWeeklyPoliticalRegister_0024,1831.11.05_PrestonChronicle_0003
1831.11.12_PrestonChronicle_0002,1831.11.11_LiverpoolMercuryetc_0006
1831.11.12_PrestonChronicle_0004,1831.11.09_TheDerbyMercury_0002
1831.11.12_TheManchesterTimesandGazette_0003,1831.11.06_TheExaminer_0010
1831.11.12_TheManchesterTimesandGazette_0004,1831.11.11_LiverpoolMercuryetc_0008
1831.11.12_TheManchesterTimesandGazette_0005,1831.11.06_TheExaminer_0002
1831.11.12_TheManchesterTimesandGazette_0006,1831.11.09_TheDerbyMercury_0002
1831.11.12_TheManchesterTimesandGazette_0008,1831.11.11_LiverpoolMercuryetc_0008
1831.11.12_TheNewcastleCourantetc_0002,1831.11.08_TheHullPacketandHumberMercury_0001
1831.11.12_TheNewcastleCourantetc_0003,1831.11.02_TheDerbyMercury_0001
1831.11.12_TheNewcastleCourantetc_0004,1831.11.11_LiverpoolMercuryetc_0005
1831.11.12_ThePoorMan'sGuardian_0006,1831.11.06_TheExaminer_0008
1831.11.13_TheExaminer_0012,1831.11.05_TheManchesterTimesandGazette_0004
1831.11.13_TheExaminer_0014,1831.11.09_TheDerbyMercury_0001
1831.11.14_CaledonianMercury_0004,1831.11.07_HampshireTelegraphandSussexChronicleetc_0001
