1831.12.02_TheBelfastNews-Letter_0001,1831.12.01_CaledonianMercury_0003
1831.12.02_TheBelfastNews-Letter_0002,1831.12.01_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.03_CaledonianMercury_0002,1831.12.02_LiverpoolMercuryetc_0005
1831.12.03_CaledonianMercury_0003,1831.12.02_TheBelfastNews-Letter_0004
1831.12.03_Cobbett'sWeeklyPoliticalRegister_0023,1831.12.01_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.03_Cobbett'sWeeklyPoliticalRegister_0027,1831.12.01_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.03_PrestonChronicle_0001,1831.12.02_LiverpoolMercuryetc_0002
1831.12.03_PrestonChronicle_0002,1831.12.02_Freeman'sJournalandDailyCommercialAdvertiser_0002
1831.12.03_PrestonChronicle_0003,1831.12.02_LiverpoolMercuryetc_0008
1831.12.03_TheManchesterTimesandGazette_0008,1831.12.02_LiverpoolMercuryetc_0002
1831.12.03_TheNewcastleCourantetc_0002,1831.12.01_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.03_TheNewcastleCourantetc_0004,1831.12.02_LiverpoolMercuryetc_0002
1831.12.05_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.12.02_LiverpoolMercuryetc_0005
1831.12.05_HampshireTelegraphandSussexChronicleetc_0002,1831.12.03_PrestonChronicle_0002
1831.12.06_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.12.04_TheExaminer_0012
1831.12.06_TheBelfastNews-Letter_0001,1831.12.02_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.06_TheBelfastNews-Letter_0004,1831.12.02_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.12.06_TheHullPacketandHumberMercury_0002,1831.12.03_CaledonianMercury_0002
1831.12.07_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.12.02_LiverpoolMercuryetc_0006
1831.12.07_TheDerbyMercury_0001,1831.12.06_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.12.07_TheDerbyMercury_0002,1831.12.03_PrestonChronicle_0002
1831.12.07_TheDerbyMercury_0004,1831.12.06_TheBelfastNews-Letter_0001
1831.12.08_CaledonianMercury_0004,1831.12.07_TheDerbyMercury_0002
1831.12.08_Freeman'sJournalandDailyCommercialAdvertiser_0004,1831.12.07_TheDerbyMercury_0002
1831.12.09_Freeman'sJournalandDailyCommercialAdvertiser_0003,1831.12.07_TheDerbyMercury_0003
1831.12.09_LiverpoolMercuryetc_0002,1831.12.07_TheDerbyMercury_0003
1831.12.09_LiverpoolMercuryetc_0007,1831.12.03_TheNewcastleCourantetc_0003
