1880.05.02_Lloyd'sWeeklyNewspaper_0002,1880.05.01_TheLeedsMercury_S0002
1880.05.02_Lloyd'sWeeklyNewspaper_0003,1880.05.01_Jackson'sOxfordJournal_0007
1880.05.02_Lloyd'sWeeklyNewspaper_0004,1880.05.01_TheLeedsMercury_S0003
1880.05.02_Lloyd'sWeeklyNewspaper_0007,1880.05.01_ThePallMallGazette_0009
1880.05.02_Reynolds'sNewspaper_0001,1880.05.01_BirminghamDailyPost_0005
1880.05.02_Reynolds'sNewspaper_0002,1880.05.01_TheBristolMercuryandDailyPost_S0003
1880.05.02_Reynolds'sNewspaper_0003,1880.05.01_TheBristolMercuryandDailyPost_S0001
1880.05.02_Reynolds'sNewspaper_0004,1880.05.01_Jackson'sOxfordJournal_0007
1880.05.02_Reynolds'sNewspaper_0005,1880.05.01_AberdeenWeeklyJournal_0005
1880.05.02_Reynolds'sNewspaper_0006,1880.05.01_TheBristolMercuryandDailyPost_0006
1880.05.03_AberdeenWeeklyJournal_0003,1880.05.01_TheBristolMercuryandDailyPost_0006
1880.05.03_AberdeenWeeklyJournal_0005,1880.05.02_Reynolds'sNewspaper_0001
1880.05.03_AberdeenWeeklyJournal_0006,1880.05.02_Reynolds'sNewspaper_0005
1880.05.03_BirminghamDailyPost_0005,1880.05.01_ThePallMallGazette_0008
1880.05.03_BirminghamDailyPost_0008,1880.05.02_Lloyd'sWeeklyNewspaper_0001
1880.05.03_DailyNews_0002,1880.05.02_Reynolds'sNewspaper_0008
1880.05.03_DailyNews_0005,1880.05.02_Reynolds'sNewspaper_0001
1880.05.03_Freeman'sJournalandDailyCommercialAdvertiser_0006,1880.05.02_Lloyd'sWeeklyNewspaper_0001
1880.05.03_GlasgowHerald_0001,1880.05.01_AberdeenWeeklyJournal_0001
1880.05.03_GlasgowHerald_0007,1880.05.02_Reynolds'sNewspaper_0001
1880.05.03_GlasgowHerald_0008,1880.05.01_ThePallMallGazette_0007
1880.05.03_HampshireTelegraphandSussexChronicleetc_0001,1880.05.02_TheEra_0002
1880.05.03_HampshireTelegraphandSussexChronicleetc_0002,1880.05.01_ThePallMallGazette_0011
1880.05.03_HampshireTelegraphandSussexChronicleetc_S0003,1880.05.01_TheBristolMercuryandDailyPost_0007
1880.05.03_HampshireTelegraphandSussexChronicleetc_S0004,1880.05.01_ThePallMallGazette_0008
1880.05.03_LiverpoolMercuryetc_0007,1880.05.02_Reynolds'sNewspaper_0001
1880.05.03_NorthernEcho_0003,1880.05.02_Reynolds'sNewspaper_0001
1880.05.03_TheBristolMercuryandDailyPost_0007,1880.05.01_Jackson'sOxfordJournal_0002
1880.05.03_TheHullPacketandEastRidingTimes_0002,1880.05.01_Jackson'sOxfordJournal_0002
1880.05.03_TheHullPacketandEastRidingTimes_0004,1880.05.01_ThePallMallGazette_0008
1880.05.03_TheLeedsMercury_0002,1880.05.02_Reynolds'sNewspaper_0007
1880.05.03_TheLeedsMercury_0003,1880.05.01_LiverpoolMercuryetc_0006
1880.05.03_TheLeedsMercury_0005,1880.05.02_Lloyd'sWeeklyNewspaper_0001
1880.05.03_TheLeedsMercury_0007,1880.05.01_ThePallMallGazette_0009
1880.05.03_TheLeedsMercury_0008,1880.05.02_Reynolds'sNewspaper_0005
1880.05.04_AberdeenWeeklyJournal_0002,1880.05.01_TheGraphic_0016
1880.05.04_AberdeenWeeklyJournal_0006,1880.05.03_ThePallMallGazette_0006
1880.05.04_BirminghamDailyPost_0006,1880.05.03_ThePallMallGazette_0007
1880.05.04_BirminghamDailyPost_0008,1880.05.03_TheLeedsMercury_0005
1880.05.04_DailyNews_0005,1880.05.03_HampshireTelegraphandSussexChronicleetc_0002
1880.05.04_DailyNews_0006,1880.05.03_HampshireTelegraphandSussexChronicleetc_0002
1880.05.04_DailyNews_0007,1880.05.03_ThePallMallGazette_0008
1880.05.04_GlasgowHerald_0005,1880.05.03_TheLeedsMercury_0008
1880.05.04_GlasgowHerald_0006,1880.05.03_HampshireTelegraphandSussexChronicleetc_S0004
1880.05.04_GlasgowHerald_0007,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.04_LiverpoolMercuryetc_0007,1880.05.03_TheLeedsMercury_0005
1880.05.04_TheBristolMercuryandDailyPost_0006,1880.05.03_TheLeedsMercury_0005
1880.05.04_TheBristolMercuryandDailyPost_0007,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.04_TheBristolMercuryandDailyPost_0008,1880.05.01_ThePallMallGazette_0010
1880.05.04_TheHullPacketandEastRidingTimes_0002,1880.05.03_TheBristolMercuryandDailyPost_0007
1880.05.04_TheHullPacketandEastRidingTimes_0003,1880.05.03_DailyNews_0003
1880.05.04_TheHullPacketandEastRidingTimes_0004,1880.05.03_AberdeenWeeklyJournal_0005
1880.05.04_TheIpswichJournal_0001,1880.05.03_DailyNews_0006
1880.05.04_TheIpswichJournal_0003,1880.05.01_Jackson'sOxfordJournal_0005
1880.05.04_TheIpswichJournal_0004,1880.05.03_TheLeedsMercury_0005
1880.05.04_TheLeedsMercury_0005,1880.05.03_ThePallMallGazette_0010
1880.05.04_TheLeedsMercury_0006,1880.05.03_ThePallMallGazette_0007
1880.05.04_TheLeedsMercury_0007,1880.05.03_HampshireTelegraphandSussexChronicleetc_S0004
1880.05.04_ThePallMallGazette_0013,1880.05.01_TheLeedsMercury_0006
1880.05.05_AberdeenWeeklyJournal_0001,1880.05.03_TheHullPacketandEastRidingTimes_0001
1880.05.05_AberdeenWeeklyJournal_0002,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.05_AberdeenWeeklyJournal_0004,1880.05.03_HampshireTelegraphandSussexChronicleetc_0004
1880.05.05_AberdeenWeeklyJournal_0005,1880.05.04_ThePallMallGazette_0006
1880.05.05_AberdeenWeeklyJournal_0007,1880.05.04_GlasgowHerald_0007
1880.05.05_BirminghamDailyPost_0004,1880.05.04_ThePallMallGazette_0006
