1882.02.02_BirminghamDailyPost_0005,1882.02.01_ThePallMallGazette_0007
1882.02.02_BirminghamDailyPost_0006,1882.02.01_LiverpoolMercuryetc_0008
1882.02.02_BirminghamDailyPost_0008,1882.02.01_TheLeedsMercury_0005
1882.02.02_GlasgowHerald_0007,1882.02.01_BirminghamDailyPost_0006
1882.02.02_LiverpoolMercuryetc_0003,1882.02.01_DailyNews_0006
1882.02.02_LiverpoolMercuryetc_0005,1882.02.01_TheLeedsMercury_0005
1882.02.02_LiverpoolMercuryetc_0006,1882.02.01_ThePallMallGazette_0008
1882.02.02_LiverpoolMercuryetc_0008,1882.02.01_BirminghamDailyPost_0006
1882.02.02_TheBelfastNews-Letter_0006,1882.02.01_TheLeedsMercury_0006
1882.02.02_TheBristolMercuryandDailyPost_0006,1882.02.01_DailyNews_0006
1882.02.02_TheBristolMercuryandDailyPost_0007,1882.02.01_LiverpoolMercuryetc_0008
1882.02.02_TheBristolMercuryandDailyPost_0008,1882.02.01_DailyNews_0006
1882.02.02_TheLeedsMercury_0005,1882.02.01_ThePallMallGazette_0008
1882.02.02_TheLeedsMercury_0007,1882.02.01_DailyNews_0006
1882.02.02_WesternMail_0004,1882.02.01_LiverpoolMercuryetc_0008
1882.02.03_BirminghamDailyPost_0006,1882.02.02_LiverpoolMercuryetc_0008
1882.02.03_BirminghamDailyPost_0008,1882.02.02_ThePallMallGazette_0008
1882.02.03_DailyNews_0001,1882.02.02_ThePallMallGazette_0014
1882.02.03_Freeman'sJournalandDailyCommercialAdvertiser_0005,1882.02.02_ThePallMallGazette_0003
1882.02.03_Freeman'sJournalandDailyCommercialAdvertiser_0007,1882.02.02_ThePallMallGazette_0008
1882.02.03_LiverpoolMercuryetc_0006,1882.02.02_ThePallMallGazette_0008
1882.02.03_LiverpoolMercuryetc_0008,1882.02.01_BirminghamDailyPost_0006
1882.02.03_NorthernEcho_0003,1882.02.02_ThePallMallGazette_0008
1882.02.03_TheBelfastNews-Letter_0001,1882.02.02_Freeman'sJournalandDailyCommercialAdvertiser_0008
1882.02.03_TheBelfastNews-Letter_0003,1882.02.02_Freeman'sJournalandDailyCommercialAdvertiser_0003
1882.02.03_TheBelfastNews-Letter_0006,1882.02.01_TheLeedsMercury_0006
1882.02.03_TheBristolMercuryandDailyPost_0007,1882.02.02_WesternMail_0004
1882.02.03_TheBristolMercuryandDailyPost_0008,1882.02.02_DailyNews_0005
1882.02.03_TheHullPacketandEastRidingTimes_0001,1882.02.01_TheDerbyMercury_0007
1882.02.03_TheHullPacketandEastRidingTimes_0002,1882.02.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1882.02.03_TheHullPacketandEastRidingTimes_0005,1882.02.02_LiverpoolMercuryetc_0006
1882.02.03_TheHullPacketandEastRidingTimes_0006,1882.02.02_TheBristolMercuryandDailyPost_0006
1882.02.03_TheHullPacketandEastRidingTimes_0008,1882.02.02_TheLeedsMercury_0006
1882.02.03_TheLeedsMercury_0005,1882.02.02_ThePallMallGazette_0008
1882.02.03_WesternMail_0004,1882.02.02_BirminghamDailyPost_0004
1882.02.04_BirminghamDailyPost_0005,1882.02.03_DailyNews_0005
1882.02.04_BirminghamDailyPost_0006,1882.02.02_LiverpoolMercuryetc_0008
1882.02.04_DailyNews_0006,1882.02.03_ThePallMallGazette_0008
1882.02.04_Freeman'sJournalandDailyCommercialAdvertiser_0005,1882.02.03_ThePallMallGazette_0002
1882.02.04_Freeman'sJournalandDailyCommercialAdvertiser_0007,1882.02.03_ThePallMallGazette_0008
1882.02.04_GlasgowHerald_0003,1882.02.03_BirminghamDailyPost_0006
1882.02.04_GlasgowHerald_0006,1882.02.03_ThePallMallGazette_0007
1882.02.04_HampshireTelegraphandSussexChronicleetc_0002,1882.02.03_TheHullPacketandEastRidingTimes_0006
1882.02.04_HampshireTelegraphandSussexChronicleetc_0003,1882.02.02_DailyNews_0002
1882.02.04_HampshireTelegraphandSussexChronicleetc_0005,1882.02.03_TheBristolMercuryandDailyPost_0006
1882.02.04_HampshireTelegraphandSussexChronicleetc_0007,1882.02.03_DailyNews_0005
1882.02.04_HampshireTelegraphandSussexChronicleetc_0008,1882.02.03_ThePallMallGazette_0011
1882.02.04_Jackson'sOxfordJournal_0002,1882.02.03_TheHullPacketandEastRidingTimes_0002
1882.02.04_Jackson'sOxfordJournal_0005,1882.02.03_DailyNews_0001
1882.02.04_Jackson'sOxfordJournal_0007,1882.02.01_BirminghamDailyPost_0004
1882.02.04_LiverpoolMercuryetc_0005,1882.02.03_ThePallMallGazette_0008
1882.02.04_LiverpoolMercuryetc_0008,1882.02.01_BirminghamDailyPost_0006
1882.02.04_TheBelfastNews-Letter_0006,1882.02.01_TheLeedsMercury_0006
1882.02.04_TheBristolMercuryandDailyPost_0003,1882.02.03_TheHullPacketandEastRidingTimes_0002
1882.02.04_TheBristolMercuryandDailyPost_S0001,1882.02.03_LiverpoolMercuryetc_0006
1882.02.04_TheBristolMercuryandDailyPost_S0002,1882.02.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0007
1882.02.04_TheBristolMercuryandDailyPost_S0003,1882.02.03_TheBelfastNews-Letter_0005
1882.02.04_TheBristolMercuryandDailyPost_S0004,1882.02.02_WesternMail_0004
1882.02.04_TheBristolMercuryandDailyPost_S0006,1882.02.03_TheHullPacketandEastRidingTimes_0006
1882.02.04_TheBristolMercuryandDailyPost_S0007,1882.02.03_WesternMail_0003
1882.02.04_TheEra_0003,1882.02.01_TheDerbyMercury_0007
1882.02.04_TheEra_0005,1882.02.01_LiverpoolMercuryetc_0003
1882.02.04_TheEra_0008,1882.02.01_TheBelfastNews-Letter_0007
1882.02.04_TheIpswichJournal_0002,1882.02.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1882.02.04_TheIpswichJournal_0006,1882.02.01_TheDerbyMercury_0007
1882.02.04_TheIpswichJournal_0007,1882.02.01_TheLeedsMercury_0008
1882.02.04_TheIpswichJournal_0008,1882.02.02_DailyNews_0005
1882.02.04_TheLeedsMercury_0007,1882.02.03_ThePallMallGazette_0008
1882.02.04_TheLeedsMercury_0010,1882.02.03_ThePallMallGazette_0008
1882.02.04_TheLeedsMercury_0011,1882.02.03_ThePallMallGazette_0007
1882.02.04_TheLeedsMercury_S0002,1882.02.01_BirminghamDailyPost_0008
1882.02.04_TheLeedsMercury_S0003,1882.02.02_ThePallMallGazette_0011
1882.02.04_YGoleuad_0005,1882.02.01_BaneracAmserauCymru_0012
1882.02.04_YGoleuad_0014,1882.02.01_BaneracAmserauCymru_0007
1882.02.04_YGoleuad_0016,1882.02.01_BaneracAmserauCymru_0016
1882.02.05_Lloyd'sWeeklyNewspaper_0002,1882.02.04_TheLeedsMercury_0007
1882.02.05_Lloyd'sWeeklyNewspaper_0003,1882.02.01_DailyNews_0006
1882.02.05_Lloyd'sWeeklyNewspaper_0004,1882.02.01_DailyNews_0002
1882.02.05_Lloyd'sWeeklyNewspaper_0007,1882.02.02_DailyNews_0002
1882.02.05_Lloyd'sWeeklyNewspaper_0008,1882.02.03_TheLeedsMercury_0007
1882.02.05_Reynolds'sNewspaper_0001,1882.02.01_DailyNews_0006
1882.02.05_Reynolds'sNewspaper_0002,1882.02.04_Freeman'sJournalandDailyCommercialAdvertiser_0007
1882.02.05_Reynolds'sNewspaper_0003,1882.02.01_BirminghamDailyPost_0005
1882.02.05_Reynolds'sNewspaper_0004,1882.02.04_TheEra_0012
1882.02.05_Reynolds'sNewspaper_0005,1882.02.02_DailyNews_0002
1882.02.05_Reynolds'sNewspaper_0006,1882.02.03_DailyNews_0003
1882.02.05_Reynolds'sNewspaper_0008,1882.02.04_ThePallMallGazette_0010
1882.02.06_BirminghamDailyPost_0006,1882.02.02_LiverpoolMercuryetc_0008
1882.02.06_BirminghamDailyPost_0007,1882.02.04_Jackson'sOxfordJournal_0002
1882.02.06_BirminghamDailyPost_0008,1882.02.05_Reynolds'sNewspaper_0001
1882.02.06_Freeman'sJournalandDailyCommercialAdvertiser_0006,1882.02.05_Reynolds'sNewspaper_0001
1882.02.06_Freeman'sJournalandDailyCommercialAdvertiser_0008,1882.02.02_TheBelfastNews-Letter_0001
1882.02.06_GlasgowHerald_0007,1882.02.05_Reynolds'sNewspaper_0001
1882.02.06_LiverpoolMercuryetc_0005,1882.02.05_Reynolds'sNewspaper_0001
1882.02.06_LiverpoolMercuryetc_0006,1882.02.04_TheBelfastNews-Letter_0005
1882.02.06_LiverpoolMercuryetc_0007,1882.02.05_Reynolds'sNewspaper_0008
1882.02.06_LiverpoolMercuryetc_0008,1882.02.04_BirminghamDailyPost_0006
1882.02.06_TheBelfastNews-Letter_0001,1882.02.02_Freeman'sJournalandDailyCommercialAdvertiser_0008
1882.02.06_TheBelfastNews-Letter_0006,1882.02.04_LiverpoolMercuryetc_0008
1882.02.06_TheBelfastNews-Letter_0008,1882.02.05_Reynolds'sNewspaper_0008
1882.02.06_TheBristolMercuryandDailyPost_0006,1882.02.01_TheBelfastNews-Letter_0008
1882.02.06_TheBristolMercuryandDailyPost_0007,1882.02.02_WesternMail_0004
1882.02.06_TheBristolMercuryandDailyPost_0008,1882.02.04_ThePallMallGazette_0007
1882.02.06_TheLeedsMercury_0003,1882.02.04_TheBristolMercuryandDailyPost_0006
1882.02.06_TheLeedsMercury_0004,1882.02.05_Reynolds'sNewspaper_0001
1882.02.06_TheLeedsMercury_0006,1882.02.04_LiverpoolMercuryetc_0008
1882.02.06_TheLeedsMercury_0008,1882.02.05_Reynolds'sNewspaper_0001
