1884.11.02_Lloyd'sWeeklyNewspaper_0002,1884.11.01_TheLeedsMercury_0007
1884.11.02_Lloyd'sWeeklyNewspaper_0004,1884.11.01_TheLeedsMercury_S0002
1884.11.02_Lloyd'sWeeklyNewspaper_0006,1884.11.01_TheLeedsMercury_S0002
1884.11.02_Lloyd'sWeeklyNewspaper_0008,1884.11.01_TheIllustratedPoliceNewsetc_0004
1884.11.02_Reynolds'sNewspaper_0001,1884.11.01_ThePallMallGazette_0008
1884.11.02_Reynolds'sNewspaper_0003,1884.11.01_Freeman'sJournalandDailyCommercialAdvertiser_0006
1884.11.02_Reynolds'sNewspaper_0004,1884.11.01_TheEra_0016
1884.11.02_Reynolds'sNewspaper_0005,1884.11.01_DailyNews_0006
1884.11.02_Reynolds'sNewspaper_0006,1884.11.01_TheLeedsMercury_S0002
1884.11.02_Reynolds'sNewspaper_0007,1884.11.01_NorthWalesChronicle_0002
1884.11.03_AberdeenWeeklyJournal_0001,1884.11.01_TheBelfastNews-Letter_0001
1884.11.03_AberdeenWeeklyJournal_0002,1884.11.02_Reynolds'sNewspaper_0001
1884.11.03_AberdeenWeeklyJournal_0006,1884.11.01_TheLeedsMercury_S0002
1884.11.03_BirminghamDailyPost_0008,1884.11.02_Reynolds'sNewspaper_0001
1884.11.03_DailyNews_0007,1884.11.02_Lloyd'sWeeklyNewspaper_0012
1884.11.03_Freeman'sJournalandDailyCommercialAdvertiser_0005,1884.11.02_Reynolds'sNewspaper_0001
1884.11.03_Freeman'sJournalandDailyCommercialAdvertiser_0007,1884.11.01_ThePallMallGazette_0007
1884.11.03_GlasgowHerald_0007,1884.11.02_Reynolds'sNewspaper_0001
1884.11.03_TheBelfastNews-Letter_0005,1884.11.01_ThePallMallGazette_0008
1884.11.03_TheBristolMercuryandDailyPost_0008,1884.11.02_Reynolds'sNewspaper_0001
1884.11.03_TheLeedsMercury_0001,1884.11.01_TheBelfastNews-Letter_0001
1884.11.03_TheLeedsMercury_0002,1884.11.01_NorthWalesChronicle_0002
1884.11.03_TheLeedsMercury_0005,1884.11.02_Reynolds'sNewspaper_0001
1884.11.03_ThePallMallGazette_0013,1884.11.01_TheEra_0016
1884.11.04_AberdeenWeeklyJournal_0003,1884.11.01_DailyNews_0002
1884.11.04_BirminghamDailyPost_0001,1884.11.01_TheBelfastNews-Letter_0001
1884.11.04_BirminghamDailyPost_0006,1884.11.01_TheLeedsMercury_0011
1884.11.04_DailyNews_0002,1884.11.01_BirminghamDailyPost_0006
1884.11.04_Freeman'sJournalandDailyCommercialAdvertiser_0003,1884.11.01_GlasgowHerald_0003
1884.11.04_Freeman'sJournalandDailyCommercialAdvertiser_0007,1884.11.03_DailyNews_0005
1884.11.04_GlasgowHerald_0007,1884.11.01_TheLeedsMercury_0011
1884.11.04_TheBelfastNews-Letter_0001,1884.11.03_TheLeedsMercury_0001
1884.11.04_TheBelfastNews-Letter_0002,1884.11.01_NorthWalesChronicle_0002
1884.11.04_TheBelfastNews-Letter_0003,1884.11.01_NorthWalesChronicle_0002
1884.11.04_TheBelfastNews-Letter_0006,1884.11.01_BirminghamDailyPost_0006
1884.11.04_TheBristolMercuryandDailyPost_0004,1884.11.01_TheBelfastNews-Letter_0001
1884.11.04_TheBristolMercuryandDailyPost_0008,1884.11.03_ThePallMallGazette_0008
1884.11.04_TheLeedsMercury_0005,1884.11.03_ThePallMallGazette_0008
1884.11.04_TheLeedsMercury_0006,1884.11.01_BirminghamDailyPost_0006
1884.11.04_WesternMail_0003,1884.11.03_ThePallMallGazette_0006
1884.11.05_AberdeenWeeklyJournal_0003,1884.11.04_GlasgowHerald_0007
1884.11.05_BaneracAmserauCymru_0007,1884.11.01_YGoleuad_0007
1884.11.05_BaneracAmserauCymru_0015,1884.11.01_YGoleuad_0016
1884.11.05_BirminghamDailyPost_0001,1884.11.03_TheLeedsMercury_0001
1884.11.05_BirminghamDailyPost_0003,1884.11.04_ThePallMallGazette_0007
1884.11.05_BirminghamDailyPost_0004,1884.11.01_TheLeedsMercury_S0004
1884.11.05_BirminghamDailyPost_0005,1884.11.04_TheBelfastNews-Letter_0008
1884.11.05_BirminghamDailyPost_0006,1884.11.04_GlasgowHerald_0007
1884.11.05_DailyNews_0002,1884.11.04_ThePallMallGazette_0008
1884.11.05_DailyNews_0005,1884.11.04_ThePallMallGazette_0008
1884.11.05_DailyNews_0007,1884.11.04_BirminghamDailyPost_0006
1884.11.05_Freeman'sJournalandDailyCommercialAdvertiser_0003,1884.11.04_GlasgowHerald_0007
1884.11.05_Freeman'sJournalandDailyCommercialAdvertiser_0005,1884.11.04_ThePallMallGazette_0008
1884.11.05_GlasgowHerald_0004,1884.11.01_TheBelfastNews-Letter_0001
1884.11.05_GlasgowHerald_0005,1884.11.01_BirminghamDailyPost_0006
1884.11.05_GlasgowHerald_0007,1884.11.04_ThePallMallGazette_0008
1884.11.05_TheBelfastNews-Letter_0001,1884.11.03_TheLeedsMercury_0001
1884.11.05_TheBelfastNews-Letter_0005,1884.11.04_Freeman'sJournalandDailyCommercialAdvertiser_0002
1884.11.05_TheBristolMercuryandDailyPost_0008,1884.11.04_ThePallMallGazette_0008
1884.11.05_TheDerbyMercury_0001,1884.11.01_TheIpswichJournal_0002
1884.11.05_TheDerbyMercury_0004,1884.11.01_TheLeedsMercury_S0004
1884.11.05_TheDerbyMercury_0007,1884.11.01_TheLeedsMercury_S0002
1884.11.05_TheLeedsMercury_0001,1884.11.01_TheBelfastNews-Letter_0001
1884.11.05_TheLeedsMercury_0002,1884.11.04_BirminghamDailyPost_0006
1884.11.05_TheLeedsMercury_0003,1884.11.04_ThePallMallGazette_0008
1884.11.05_TheLeedsMercury_0005,1884.11.04_ThePallMallGazette_0008
1884.11.05_TheLeedsMercury_0006,1884.11.04_ThePallMallGazette_0008
1884.11.05_TheLeedsMercury_0007,1884.11.04_ThePallMallGazette_0007
1884.11.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1884.11.04_TheBelfastNews-Letter_0002
1884.11.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1884.11.02_Lloyd'sWeeklyNewspaper_0002
1884.11.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0006,1884.11.01_TheLeedsMercury_S0002
1884.11.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0008,1884.11.03_TheLeedsMercury_0005
1884.11.05_WesternMail_0001,1884.11.01_NorthWalesChronicle_0002
1884.11.05_WesternMail_0004,1884.11.01_TheLeedsMercury_S0004
1884.11.06_AberdeenWeeklyJournal_0003,1884.11.05_Freeman'sJournalandDailyCommercialAdvertiser_0003
1884.11.06_BirminghamDailyPost_0006,1884.11.05_DailyNews_0007
1884.11.06_BirminghamDailyPost_0008,1884.11.05_ThePallMallGazette_0008
1884.11.06_DailyNews_0005,1884.11.05_ThePallMallGazette_0008
1884.11.06_DailyNews_0007,1884.11.04_BirminghamDailyPost_0006
1884.11.06_Freeman'sJournalandDailyCommercialAdvertiser_0002,1884.11.01_TheBelfastNews-Letter_0001
1884.11.06_Freeman'sJournalandDailyCommercialAdvertiser_0007,1884.11.05_TheBelfastNews-Letter_0003
