1885.02.02_AberdeenWeeklyJournal_0002,1885.02.01_Reynolds'sNewspaper_0006
1885.02.02_BirminghamDailyPost_0005,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_BirminghamDailyPost_0007,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_DailyNews_0003,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_DailyNews_0006,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_Freeman'sJournalandDailyCommercialAdvertiser_0005,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_Freeman'sJournalandDailyCommercialAdvertiser_0007,1885.02.01_Reynolds'sNewspaper_0005
1885.02.02_GlasgowHerald_0007,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_LiverpoolMercuryetc_0005,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_LiverpoolMercuryetc_0007,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_NorthernEcho_0003,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_TheBelfastNews-Letter_0002,1885.02.01_Reynolds'sNewspaper_0007
1885.02.02_TheBelfastNews-Letter_0008,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_TheBristolMercuryandDailyPost_0004,1885.02.01_Reynolds'sNewspaper_0007
1885.02.02_TheBristolMercuryandDailyPost_0008,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_TheLeedsMercury_0001,1885.02.01_Reynolds'sNewspaper_0007
1885.02.02_TheLeedsMercury_0005,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_TheLeedsMercury_0007,1885.02.01_Reynolds'sNewspaper_0001
1885.02.02_WesternMail_0003,1885.02.01_Reynolds'sNewspaper_0005
1885.02.03_AberdeenWeeklyJournal_0003,1885.02.02_GlasgowHerald_0005
1885.02.03_AberdeenWeeklyJournal_0005,1885.02.02_GlasgowHerald_0007
1885.02.03_AberdeenWeeklyJournal_0006,1885.02.02_TheBristolMercuryandDailyPost_0007
1885.02.03_BirminghamDailyPost_0006,1885.02.02_GlasgowHerald_0005
1885.02.03_BirminghamDailyPost_0008,1885.02.02_ThePallMallGazette_0008
1885.02.03_DailyNews_0006,1885.02.02_GlasgowHerald_0005
1885.02.03_Freeman'sJournalandDailyCommercialAdvertiser_0003,1885.02.02_GlasgowHerald_0005
1885.02.03_Freeman'sJournalandDailyCommercialAdvertiser_0007,1885.02.02_DailyNews_0006
1885.02.03_GlasgowHerald_0002,1885.02.01_Reynolds'sNewspaper_0007
1885.02.03_GlasgowHerald_0007,1885.02.02_LiverpoolMercuryetc_0008
1885.02.03_LiverpoolMercuryetc_0003,1885.02.02_TheBelfastNews-Letter_0007
1885.02.03_LiverpoolMercuryetc_0005,1885.02.02_TheLeedsMercury_0008
1885.02.03_LiverpoolMercuryetc_0006,1885.02.02_GlasgowHerald_0005
1885.02.03_LiverpoolMercuryetc_0008,1885.02.02_GlasgowHerald_0005
1885.02.03_NorthernEcho_0002,1885.02.02_GlasgowHerald_0005
1885.02.03_TheBelfastNews-Letter_0002,1885.02.01_Reynolds'sNewspaper_0007
1885.02.03_TheBelfastNews-Letter_0006,1885.02.02_GlasgowHerald_0005
1885.02.03_TheBristolMercuryandDailyPost_0007,1885.02.02_DailyNews_0006
1885.02.03_TheIpswichJournal_0001,1885.02.02_GlasgowHerald_0011
1885.02.03_TheIpswichJournal_0004,1885.02.02_GlasgowHerald_0007
1885.02.03_TheLeedsMercury_0001,1885.02.02_ThePallMallGazette_0016
1885.02.03_TheLeedsMercury_0004,1885.02.02_TheBristolMercuryandDailyPost_0007
1885.02.03_TheLeedsMercury_0006,1885.02.02_GlasgowHerald_0005
1885.02.03_TheLeedsMercury_0007,1885.02.02_ThePallMallGazette_0002
1885.02.03_WesternMail_0003,1885.02.02_TheLeedsMercury_0008
1885.02.04_AberdeenWeeklyJournal_0002,1885.02.03_GlasgowHerald_0002
1885.02.04_AberdeenWeeklyJournal_0005,1885.02.03_TheBelfastNews-Letter_0005
1885.02.04_AberdeenWeeklyJournal_0006,1885.02.03_TheLeedsMercury_0004
1885.02.04_BirminghamDailyPost_0003,1885.02.03_LiverpoolMercuryetc_0003
1885.02.04_BirminghamDailyPost_0005,1885.02.03_DailyNews_0005
1885.02.04_BirminghamDailyPost_0006,1885.02.02_GlasgowHerald_0005
1885.02.04_BirminghamDailyPost_0008,1885.02.03_LiverpoolMercuryetc_0005
1885.02.04_DailyNews_0005,1885.02.03_ThePallMallGazette_0008
1885.02.04_Freeman'sJournalandDailyCommercialAdvertiser_0003,1885.02.02_GlasgowHerald_0005
1885.02.04_Freeman'sJournalandDailyCommercialAdvertiser_0005,1885.02.03_ThePallMallGazette_0003
1885.02.04_Freeman'sJournalandDailyCommercialAdvertiser_0007,1885.02.03_TheBelfastNews-Letter_0005
1885.02.04_Freeman'sJournalandDailyCommercialAdvertiser_0008,1885.02.02_GlasgowHerald_0011
1885.02.04_GlasgowHerald_0005,1885.02.03_LiverpoolMercuryetc_0008
1885.02.04_GlasgowHerald_0007,1885.02.03_ThePallMallGazette_0008
1885.02.04_GlasgowHerald_0010,1885.02.03_ThePallMallGazette_0009
1885.02.04_LiverpoolMercuryetc_0005,1885.02.03_TheBelfastNews-Letter_0005
1885.02.04_LiverpoolMercuryetc_0006,1885.02.02_GlasgowHerald_0005
1885.02.04_LiverpoolMercuryetc_0007,1885.02.03_AberdeenWeeklyJournal_0005
1885.02.04_LiverpoolMercuryetc_0008,1885.02.02_GlasgowHerald_0005
1885.02.04_NorthernEcho_0002,1885.02.02_GlasgowHerald_0005
1885.02.04_TheBristolMercuryandDailyPost_0002,1885.02.03_GlasgowHerald_0002
