YEAR	MONTH	DAY	TITLE	PAGE
1832	09	01	TheBristolMercury	0002
1832	09	01	CaledonianMercury	0002
1832	09	01	TheBristolMercury	0001
1832	09	01	TheBristolMercury	0004
1832	09	01	TheLeedsMercury	0004
1832	09	02	TheExaminer	0015
1832	09	01	TheMorningChronicle	0003
1832	09	01	PrestonChronicle	0002
1832	09	01	PrestonChronicle	0004
1832	09	01	TheMorningChronicle	0004
1832	09	01	TheManchesterTimesandGazette	0004
1832	09	01	PrestonChronicle	0001
1832	09	01	CaledonianMercury	0003
1832	09	02	TheExaminer	0003
1832	09	02	TheExaminer	0004
1832	09	01	TheMorningChronicle	0002
1832	09	04	TheMorningChronicle	0003
1832	09	04	TheMorningChronicle	0004
1832	09	04	TheHullPacketandHumberMercury	0001
1832	09	04	TheMorningChronicle	0001
1832	09	05	TheDerbyMercury	0002
1832	09	05	TheMorningChronicle	0003
1832	09	04	TheMorningChronicle	0002
1832	09	06	TheMorningChronicle	0002
1832	09	03	TheMorningChronicle	0004
1832	09	01	TheLeedsMercury	0003
1832	09	03	TheMorningChronicle	0001
1832	09	05	TheMorningChronicle	0001
1832	09	07	Freeman'sJournalandDailyCommercialAdvertiser	0004
1832	09	04	NorthWalesChronicle	0001
1832	09	05	TheAberdeenJournal	0004
1832	09	06	TheMorningChronicle	0003
1832	09	09	TheExaminer	0013
1832	09	06	TheMorningChronicle	0004
1832	09	08	TheMorningChronicle	0002
1832	09	10	HampshireTelegraphandSussexChronicleetc	0002
1832	09	08	Freeman'sJournalandDailyCommercialAdvertiser	0003
1832	09	10	TheMorningChronicle	0004
1832	09	10	Freeman'sJournalandDailyCommercialAdvertiser	0004
1832	09	09	TheExaminer	0001
1832	09	09	TheExaminer	0002
1832	09	01	PrestonChronicle	0003
1832	09	14	LiverpoolMercuryetc	0008
1832	09	12	TheMorningChronicle	0003
1832	09	12	TheDerbyMercury	0002
1832	09	11	TheMorningChronicle	0003
1832	09	13	TheMorningChronicle	0001
1832	09	13	Freeman'sJournalandDailyCommercialAdvertiser	0004
1832	09	10	TheMorningChronicle	0002
1832	09	15	TheMorningChronicle	0004
1832	09	14	TheMorningChronicle	0002
1832	09	14	TheMorningChronicle	0003
1832	09	11	TheMorningChronicle	0002
1832	09	15	CaledonianMercury	0001
1832	09	15	TheMorningChronicle	0003
1832	09	09	TheExaminer	0003
1832	09	13	TheMorningChronicle	0002
1832	09	13	CaledonianMercury	0004
1832	09	12	Freeman'sJournalandDailyCommercialAdvertiser	0003
1832	09	13	Freeman'sJournalandDailyCommercialAdvertiser	0002
1832	09	15	TheMorningChronicle	0002
1832	09	03	CaledonianMercury	0004
1832	09	18	TheBelfastNews-Letter	0003
1832	09	18	Freeman'sJournalandDailyCommercialAdvertiser	0003
1832	09	17	CaledonianMercury	0003
1832	09	18	TheMorningChronicle	0002
1832	09	17	TheMorningChronicle	0004
1832	09	16	TheExaminer	0015
1832	09	18	TheMorningChronicle	0003
1832	09	19	TheMorningChronicle	0002
1832	09	15	Cobbett'sWeeklyPoliticalRegister	0010
1832	09	15	Cobbett'sWeeklyPoliticalRegister	0011
1832	09	15	Cobbett'sWeeklyPoliticalRegister	0012
1832	09	15	Cobbett'sWeeklyPoliticalRegister	0013
1832	09	15	Cobbett'sWeeklyPoliticalRegister	0014
1832	09	15	TheLeedsMercury	0007
1832	09	18	NorthWalesChronicle	0004
1832	09	20	TheMorningChronicle	0003
1832	09	21	TheMorningChronicle	0001
1832	09	18	TheMorningChronicle	0004
1832	09	20	TheMorningChronicle	0004
1832	09	21	TheMorningChronicle	0004
1832	09	20	TheMorningChronicle	0002
1832	09	23	TheExaminer	0013
1832	09	21	TheMorningChronicle	0003
1832	09	20	CaledonianMercury	0003
1832	09	22	TheLeedsMercury	0005
1832	09	04	Freeman'sJournalandDailyCommercialAdvertiser	0003
1832	09	22	TheMorningChronicle	0002
1832	09	19	TheDerbyMercury	0002
1832	09	21	Freeman'sJournalandDailyCommercialAdvertiser	0002
1832	09	17	TheMorningChronicle	0002
1832	09	25	TheMorningChronicle	0003
1832	09	24	Freeman'sJournalandDailyCommercialAdvertiser	0002
1832	09	24	TheMorningChronicle	0003
1832	09	24	CaledonianMercury	0003
1832	09	24	Freeman'sJournalandDailyCommercialAdvertiser	0003
1832	09	27	TheMorningChronicle	0002
1832	09	26	TheMorningChronicle	0004
1832	09	23	TheExaminer	0001
1832	09	23	TheExaminer	0004
1832	09	26	TheMorningChronicle	0002
1832	09	01	TheLeedsMercury	0007
1832	09	28	TheMorningChronicle	0002
1832	09	28	TheMorningChronicle	0001
1832	09	18	TheMorningChronicle	0001
1832	09	25	TheMorningChronicle	0002
1832	09	28	TheMorningChronicle	0003
1832	09	27	TheMorningChronicle	0003
1832	09	29	TheMorningChronicle	0003
1832	09	29	Freeman'sJournalandDailyCommercialAdvertiser	0003
1832	09	29	CaledonianMercury	0003
1832	09	30	TheExaminer	0001
1832	09	29	TheMorningChronicle	0002
1832	09	30	TheExaminer	0003
1832	09	22	TheLeedsMercury	0006
1832	09	22	TheLeedsMercury	0007
1832	09	24	Freeman'sJournalandDailyCommercialAdvertiser	0004
1832	09	02	TheExaminer	0010
1832	09	02	TheExaminer	0011
1832	09	21	LiverpoolMercuryetc	0003
1832	09	28	LiverpoolMercuryetc	0001
1832	09	01	TheBristolMercury	0003
1832	09	15	Cobbett'sWeeklyPoliticalRegister	0024
1832	09	15	Cobbett'sWeeklyPoliticalRegister	0027
1832	09	01	TheManchesterTimesandGazette	0001
1832	09	15	Cobbett'sWeeklyPoliticalRegister	0029
1832	09	27	CaledonianMercury	0001
1832	09	01	TheMorningChronicle	0001
1832	09	07	LiverpoolMercuryetc	0005
1832	09	08	PrestonChronicle	0003
1832	09	15	TheBristolMercury	0003
1832	09	28	LiverpoolMercuryetc	0005
