1802.06.03_CaledonianMercury_0001,1802.06.02_TheAberdeenJournal_0001
1802.06.05_CaledonianMercury_0003,1802.06.02_TheMorningChronicle_0003
1802.06.05_Jackson'sOxfordJournal_0001,1802.06.03_CaledonianMercury_0002
1802.06.05_Jackson'sOxfordJournal_0004,1802.06.03_CaledonianMercury_0002
1802.06.05_Jackson'sOxfordJournal_0004,1802.06.03_CaledonianMercury_0003
1802.06.05_Jackson'sOxfordJournal_0004,1802.06.05_CaledonianMercury_0003
1802.06.07_CaledonianMercury_0004,1802.06.02_TheMorningChronicle_0002
1802.06.09_TheAberdeenJournal_0001,1802.06.07_CaledonianMercury_0001
1802.06.09_TheAberdeenJournal_0002,1802.06.05_CaledonianMercury_0002
1802.06.09_TheAberdeenJournal_0002,1802.06.05_CaledonianMercury_0004
1802.06.09_TheAberdeenJournal_0003,1802.06.03_CaledonianMercury_0003
1802.06.09_TheAberdeenJournal_0003,1802.06.05_Jackson'sOxfordJournal_0004
1802.06.10_CaledonianMercury_0002,1802.06.07_TheMorningChronicle_0002
1802.06.10_CaledonianMercury_0003,1802.06.09_TheAberdeenJournal_0004
1802.06.10_TheDerbyMercury_0003,1802.06.02_TheAberdeenJournal_0004
1802.06.12_CaledonianMercury_0002,1802.06.08_TheMorningChronicle_0003
1802.06.12_Jackson'sOxfordJournal_0002,1802.06.09_TheMorningChronicle_0003
1802.06.12_Jackson'sOxfordJournal_0004,1802.06.10_CaledonianMercury_0002
1802.06.12_Jackson'sOxfordJournal_0004,1802.06.10_TheDerbyMercury_0002
1802.06.12_Jackson'sOxfordJournal_0004,1802.06.12_CaledonianMercury_0002
1802.06.14_CaledonianMercury_0003,1802.06.10_TheMorningChronicle_0003
