1803.08.04_Trewman'sExeterFlyingPost_0002,1803.08.02_TheHullPacket_0001
1803.08.06_Jackson'sOxfordJournal_0002,1803.08.02_TheHullPacket_0002
1803.08.06_Jackson'sOxfordJournal_0002,1803.08.06_Cobbett'sAnnualRegister_0006
1803.08.06_TheIpswichJournal_0004,1803.08.04_Trewman'sExeterFlyingPost_0001
1803.08.06_TheNewcastleCourantetc_0002,1803.08.01_TheMorningChronicle_0003
1803.08.06_TheNewcastleCourantetc_0003,1803.08.04_Trewman'sExeterFlyingPost_0003
1803.08.11_TheDerbyMercury_0002,1803.08.06_Jackson'sOxfordJournal_0002
1803.08.11_Trewman'sExeterFlyingPost_0002,1803.08.06_Cobbett'sAnnualRegister_0006
1803.08.11_Trewman'sExeterFlyingPost_0002,1803.08.06_Cobbett'sAnnualRegister_0007
1803.08.11_Trewman'sExeterFlyingPost_0002,1803.08.06_Jackson'sOxfordJournal_0002
1803.08.11_Trewman'sExeterFlyingPost_0002,1803.08.11_TheDerbyMercury_0002
1803.08.11_Trewman'sExeterFlyingPost_0002,1803.08.11_TheMorningChronicle_0004
1803.08.13_Jackson'sOxfordJournal_0004,1803.08.08_TheMorningChronicle_0003
1803.08.13_TheIpswichJournal_0002,1803.08.11_TheMorningChronicle_0004
1803.08.13_TheIpswichJournal_0002,1803.08.11_Trewman'sExeterFlyingPost_0002
1803.08.13_TheNewcastleCourantetc_0002,1803.08.08_TheMorningChronicle_0002
1803.08.13_TheNewcastleCourantetc_0002,1803.08.11_Trewman'sExeterFlyingPost_0001
1803.08.13_TheNewcastleCourantetc_0003,1803.08.02_TheHullPacket_0002
1803.08.13_TheNewcastleCourantetc_0003,1803.08.06_Jackson'sOxfordJournal_0002
1803.08.13_TheNewcastleCourantetc_0003,1803.08.06_Jackson'sOxfordJournal_0004
1803.08.13_TheNewcastleCourantetc_0003,1803.08.06_TheIpswichJournal_0001
1803.08.13_TheNewcastleCourantetc_0003,1803.08.10_TheMorningChronicle_0001
1803.08.13_TheNewcastleCourantetc_0003,1803.08.11_TheDerbyMercury_0001
1803.08.13_TheNewcastleCourantetc_0003,1803.08.11_Trewman'sExeterFlyingPost_0003
1803.08.13_TheNewcastleCourantetc_0003,1803.08.13_TheIpswichJournal_0001
1803.08.15_HampshireTelegraphandSussexChronicleetc_0001,1803.08.13_TheNewcastleCourantetc_0003
1803.08.15_HampshireTelegraphandSussexChronicleetc_0003,1803.08.13_Cobbett'sAnnualRegister_0013
1803.08.15_HampshireTelegraphandSussexChronicleetc_0004,1803.08.06_Cobbett'sAnnualRegister_0007
1803.08.15_HampshireTelegraphandSussexChronicleetc_0004,1803.08.13_Jackson'sOxfordJournal_0004
1803.08.15_HampshireTelegraphandSussexChronicleetc_0004,1803.08.13_TheIpswichJournal_0004
1803.08.16_TheHullPacket_0001,1803.08.13_Jackson'sOxfordJournal_0002
1803.08.18_TheDerbyMercury_0001,1803.08.11_TheMorningChronicle_0004
1803.08.18_TheDerbyMercury_0004,1803.08.11_Trewman'sExeterFlyingPost_0003
