1806.07.03_Trewman'sExeterFlyingPost_0004,1806.07.02_TheMorningChronicle_0003
1806.07.05_CaledonianMercury_0001,1806.07.03_Trewman'sExeterFlyingPost_0003
1806.07.05_CaledonianMercury_0002,1806.07.01_TheMorningChronicle_0002
1806.07.05_CaledonianMercury_0004,1806.07.02_TheAberdeenJournal_0004
1806.07.05_Cobbett'sWeeklyPoliticalRegister_0016,1806.07.03_CaledonianMercury_0002
1806.07.05_Jackson'sOxfordJournal_0001,1806.07.02_TheAberdeenJournal_0002
1806.07.05_Jackson'sOxfordJournal_0001,1806.07.03_TheDerbyMercury_0001
1806.07.05_Jackson'sOxfordJournal_0001,1806.07.03_Trewman'sExeterFlyingPost_0002
1806.07.05_Jackson'sOxfordJournal_0001,1806.07.03_Trewman'sExeterFlyingPost_0003
1806.07.05_Jackson'sOxfordJournal_0004,1806.07.03_CaledonianMercury_0002
1806.07.05_TheNewcastleCourantetc_0002,1806.07.03_CaledonianMercury_0002
1806.07.05_TheNewcastleCourantetc_0004,1806.07.05_CaledonianMercury_0002
1806.07.07_CaledonianMercury_0001,1806.07.02_TheAberdeenJournal_0002
1806.07.07_CaledonianMercury_0002,1806.07.04_TheMorningChronicle_0002
1806.07.07_CaledonianMercury_0003,1806.07.05_TheMorningChronicle_0003
1806.07.07_HampshireTelegraphandSussexChronicleetc_0004,1806.07.05_Jackson'sOxfordJournal_0002
1806.07.09_TheAberdeenJournal_0002,1806.07.03_CaledonianMercury_0003
1806.07.09_TheAberdeenJournal_0002,1806.07.05_CaledonianMercury_0004
1806.07.09_TheAberdeenJournal_0002,1806.07.07_CaledonianMercury_0001
1806.07.09_TheAberdeenJournal_0003,1806.07.03_Trewman'sExeterFlyingPost_0004
1806.07.09_TheAberdeenJournal_0004,1806.07.05_CaledonianMercury_0001
1806.07.10_CaledonianMercury_0002,1806.07.05_TheMorningChronicle_0002
1806.07.10_CaledonianMercury_0002,1806.07.07_TheMorningChronicle_0002
1806.07.10_CaledonianMercury_0003,1806.07.08_TheMorningChronicle_0003
1806.07.10_TheDerbyMercury_0002,1806.07.10_CaledonianMercury_0002
1806.07.10_TheDerbyMercury_0002,1806.07.10_CaledonianMercury_0003
1806.07.10_Trewman'sExeterFlyingPost_0002,1806.07.05_Jackson'sOxfordJournal_0001
1806.07.10_Trewman'sExeterFlyingPost_0003,1806.07.05_CaledonianMercury_0001
1806.07.10_Trewman'sExeterFlyingPost_0003,1806.07.09_TheAberdeenJournal_0004
1806.07.10_Trewman'sExeterFlyingPost_0003,1806.07.10_TheDerbyMercury_0004
1806.07.10_Trewman'sExeterFlyingPost_0004,1806.07.10_CaledonianMercury_0003
1806.07.12_CaledonianMercury_0001,1806.07.03_Trewman'sExeterFlyingPost_0003
1806.07.12_CaledonianMercury_0001,1806.07.09_TheAberdeenJournal_0004
1806.07.12_CaledonianMercury_0001,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.07.12_CaledonianMercury_0003,1806.07.10_Trewman'sExeterFlyingPost_0004
1806.07.12_Jackson'sOxfordJournal_0001,1806.07.10_CaledonianMercury_0003
1806.07.12_Jackson'sOxfordJournal_0001,1806.07.10_Trewman'sExeterFlyingPost_0004
1806.07.12_Jackson'sOxfordJournal_0004,1806.07.07_TheMorningChronicle_0002
1806.07.12_Jackson'sOxfordJournal_0004,1806.07.10_CaledonianMercury_0002
1806.07.12_Jackson'sOxfordJournal_0004,1806.07.10_CaledonianMercury_0003
1806.07.12_Jackson'sOxfordJournal_0004,1806.07.10_TheDerbyMercury_0002
1806.07.12_TheNewcastleCourantetc_0002,1806.07.07_CaledonianMercury_0002
1806.07.12_TheNewcastleCourantetc_0002,1806.07.10_CaledonianMercury_0002
1806.07.12_TheNewcastleCourantetc_0002,1806.07.12_Jackson'sOxfordJournal_0004
1806.07.14_CaledonianMercury_0004,1806.07.05_Jackson'sOxfordJournal_0004
1806.07.14_CaledonianMercury_0004,1806.07.10_TheDerbyMercury_0004
1806.07.14_HampshireTelegraphandSussexChronicleetc_0004,1806.07.12_CaledonianMercury_0002
1806.07.16_TheAberdeenJournal_0002,1806.07.03_Trewman'sExeterFlyingPost_0003
1806.07.16_TheAberdeenJournal_0002,1806.07.05_CaledonianMercury_0001
1806.07.16_TheAberdeenJournal_0002,1806.07.10_CaledonianMercury_0003
1806.07.16_TheAberdeenJournal_0002,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.07.16_TheAberdeenJournal_0002,1806.07.12_CaledonianMercury_0001
1806.07.16_TheAberdeenJournal_0002,1806.07.12_CaledonianMercury_0002
1806.07.16_TheAberdeenJournal_0002,1806.07.12_TheNewcastleCourantetc_0004
1806.07.16_TheAberdeenJournal_0003,1806.07.10_CaledonianMercury_0002
1806.07.16_TheAberdeenJournal_0003,1806.07.10_CaledonianMercury_0003
1806.07.16_TheAberdeenJournal_0003,1806.07.10_CaledonianMercury_0004
1806.07.16_TheAberdeenJournal_0003,1806.07.10_Trewman'sExeterFlyingPost_0004
1806.07.16_TheAberdeenJournal_0003,1806.07.12_CaledonianMercury_0003
1806.07.16_TheAberdeenJournal_0003,1806.07.12_Jackson'sOxfordJournal_0004
1806.07.16_TheAberdeenJournal_0003,1806.07.12_TheNewcastleCourantetc_0004
1806.07.17_Trewman'sExeterFlyingPost_0003,1806.07.05_CaledonianMercury_0001
1806.07.17_Trewman'sExeterFlyingPost_0003,1806.07.12_CaledonianMercury_0001
1806.07.17_Trewman'sExeterFlyingPost_0003,1806.07.16_TheAberdeenJournal_0002
1806.07.19_CaledonianMercury_0001,1806.07.03_Trewman'sExeterFlyingPost_0003
1806.07.19_CaledonianMercury_0001,1806.07.09_TheAberdeenJournal_0004
1806.07.19_CaledonianMercury_0001,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.07.19_CaledonianMercury_0001,1806.07.16_TheAberdeenJournal_0002
1806.07.19_CaledonianMercury_0001,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.07.19_CaledonianMercury_0002,1806.07.16_TheMorningChronicle_0002
1806.07.19_CaledonianMercury_0003,1806.07.15_TheMorningChronicle_0002
1806.07.19_Jackson'sOxfordJournal_0002,1806.07.16_TheMorningChronicle_0002
1806.07.19_Jackson'sOxfordJournal_0002,1806.07.19_CaledonianMercury_0002
1806.07.19_Jackson'sOxfordJournal_0002,1806.07.19_CaledonianMercury_0003
1806.07.19_TheNewcastleCourantetc_0002,1806.07.10_TheMorningChronicle_0002
1806.07.19_TheNewcastleCourantetc_0002,1806.07.14_CaledonianMercury_0002
