1807.05.02_Jackson'sOxfordJournal_0001,1807.05.02_CaledonianMercury_0002
1807.05.02_TheIpswichJournal_0002,1807.05.02_Jackson'sOxfordJournal_0002
1807.05.04_HampshireTelegraphandSussexChronicleetc_0004,1807.05.02_Jackson'sOxfordJournal_0001
1807.05.04_HampshireTelegraphandSussexChronicleetc_0004,1807.05.02_Jackson'sOxfordJournal_0004
1807.05.05_TheHullPacket_0003,1807.05.04_HampshireTelegraphandSussexChronicleetc_0004
1807.05.05_TheHullPacket_0004,1807.05.02_Jackson'sOxfordJournal_0004
1807.05.05_TheHullPacket_0004,1807.05.02_TheLeedsMercury_0004
1807.05.05_TheHullPacket_0004,1807.05.04_HampshireTelegraphandSussexChronicleetc_0004
1807.05.06_TheAberdeenJournal_0002,1807.05.02_TheLeedsMercury_0004
1807.05.06_TheAberdeenJournal_0002,1807.05.05_TheHullPacket_0004
1807.05.06_TheAberdeenJournal_0003,1807.05.05_TheHullPacket_0003
1807.05.07_TheDerbyMercury_0001,1807.05.02_Jackson'sOxfordJournal_0004
1807.05.07_TheDerbyMercury_0001,1807.05.04_CaledonianMercury_0002
1807.05.07_TheDerbyMercury_0004,1807.05.02_Jackson'sOxfordJournal_0004
1807.05.07_TheDerbyMercury_0004,1807.05.05_TheHullPacket_0004
1807.05.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1807.05.02_Jackson'sOxfordJournal_0004
1807.05.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.02_Jackson'sOxfordJournal_0004
1807.05.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.07_TheDerbyMercury_0001
1807.05.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.07_TheDerbyMercury_0004
1807.05.09_Jackson'sOxfordJournal_0002,1807.05.07_TheDerbyMercury_0004
1807.05.09_Jackson'sOxfordJournal_0002,1807.05.09_CaledonianMercury_0002
1807.05.09_Jackson'sOxfordJournal_0004,1807.05.07_TheDerbyMercury_0004
1807.05.09_TheLeedsMercury_0004,1807.05.09_Jackson'sOxfordJournal_0001
1807.05.11_CaledonianMercury_0003,1807.05.08_TheMorningChronicle_0002
1807.05.11_HampshireTelegraphandSussexChronicleetc_0004,1807.05.02_Jackson'sOxfordJournal_0004
1807.05.11_HampshireTelegraphandSussexChronicleetc_0004,1807.05.07_TheDerbyMercury_0001
1807.05.11_HampshireTelegraphandSussexChronicleetc_0004,1807.05.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1807.05.11_HampshireTelegraphandSussexChronicleetc_0004,1807.05.09_CaledonianMercury_0002
1807.05.11_HampshireTelegraphandSussexChronicleetc_0004,1807.05.09_Jackson'sOxfordJournal_0002
1807.05.12_TheHullPacket_0002,1807.05.07_TheDerbyMercury_0002
1807.05.12_TheHullPacket_0004,1807.05.09_CaledonianMercury_0002
1807.05.12_TheHullPacket_0004,1807.05.09_Jackson'sOxfordJournal_0002
1807.05.12_TheHullPacket_0004,1807.05.09_Jackson'sOxfordJournal_0004
1807.05.12_TheHullPacket_0004,1807.05.11_CaledonianMercury_0003
1807.05.12_TheHullPacket_0004,1807.05.11_HampshireTelegraphandSussexChronicleetc_0004
1807.05.13_TheAberdeenJournal_0002,1807.05.09_CaledonianMercury_0002
1807.05.13_TheAberdeenJournal_0002,1807.05.09_Jackson'sOxfordJournal_0002
1807.05.13_TheAberdeenJournal_0002,1807.05.11_HampshireTelegraphandSussexChronicleetc_0004
1807.05.13_TheAberdeenJournal_0002,1807.05.12_TheHullPacket_0004
1807.05.13_TheAberdeenJournal_0003,1807.05.09_CaledonianMercury_0003
1807.05.14_CaledonianMercury_0002,1807.05.11_HampshireTelegraphandSussexChronicleetc_0003
1807.05.14_TheDerbyMercury_0001,1807.05.12_TheHullPacket_0003
1807.05.14_TheDerbyMercury_0002,1807.05.11_HampshireTelegraphandSussexChronicleetc_0003
1807.05.14_TheDerbyMercury_0002,1807.05.14_CaledonianMercury_0002
1807.05.14_TheDerbyMercury_0004,1807.05.08_TheMorningChronicle_0002
1807.05.14_TheDerbyMercury_0004,1807.05.11_CaledonianMercury_0003
1807.05.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1807.05.09_CaledonianMercury_0002
1807.05.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1807.05.09_Jackson'sOxfordJournal_0002
1807.05.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1807.05.11_HampshireTelegraphandSussexChronicleetc_0004
1807.05.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1807.05.13_TheAberdeenJournal_0002
1807.05.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.02_Jackson'sOxfordJournal_0002
1807.05.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.11_HampshireTelegraphandSussexChronicleetc_0003
1807.05.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.14_TheDerbyMercury_0002
1807.05.16_Jackson'sOxfordJournal_0001,1807.05.09_TheLeedsMercury_0004
1807.05.16_Jackson'sOxfordJournal_0003,1807.05.15_TheMorningChronicle_0002
1807.05.16_Jackson'sOxfordJournal_0004,1807.05.11_HampshireTelegraphandSussexChronicleetc_0003
1807.05.16_Jackson'sOxfordJournal_0004,1807.05.14_CaledonianMercury_0002
1807.05.16_Jackson'sOxfordJournal_0004,1807.05.14_TheDerbyMercury_0002
1807.05.16_Jackson'sOxfordJournal_0004,1807.05.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1807.05.16_TheIpswichJournal_0004,1807.05.16_Jackson'sOxfordJournal_0001
1807.05.16_TheNewcastleCourantetc_0002,1807.05.11_HampshireTelegraphandSussexChronicleetc_0003
1807.05.16_TheNewcastleCourantetc_0002,1807.05.14_CaledonianMercury_0002
