1809.05.03_TheAberdeenJournal_0004,1809.05.01_CaledonianMercury_0003
1809.05.04_CaledonianMercury_0002,1809.05.01_TheMorningChronicle_0002
1809.05.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1809.05.01_CaledonianMercury_0002
1809.05.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1809.05.04_CaledonianMercury_0002
1809.05.06_CaledonianMercury_0003,1809.05.04_TheMorningChronicle_0002
1809.05.06_Jackson'sOxfordJournal_0001,1809.05.04_TheMorningChronicle_0002
1809.05.06_Jackson'sOxfordJournal_0004,1809.05.01_TheMorningChronicle_0002
1809.05.06_Jackson'sOxfordJournal_0004,1809.05.04_CaledonianMercury_0002
1809.05.06_Jackson'sOxfordJournal_0004,1809.05.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1809.05.06_Jackson'sOxfordJournal_0004,1809.05.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1809.05.08_CaledonianMercury_0003,1809.05.04_TheMorningChronicle_0003
1809.05.08_CaledonianMercury_0004,1809.05.03_TheAberdeenJournal_0002
