1810.01.04_CaledonianMercury_0002,1810.01.01_TheMorningChronicle_0002
1810.01.04_CaledonianMercury_0003,1810.01.02_TheMorningChronicle_0003
1810.01.06_CaledonianMercury_0002,1810.01.03_TheMorningChronicle_0003
1810.01.06_Cobbett'sWeeklyPoliticalRegister_0008,1810.01.01_CaledonianMercury_0002
1810.01.06_Cobbett'sWeeklyPoliticalRegister_0010,1810.01.02_TheMorningChronicle_0002
1810.01.06_Cobbett'sWeeklyPoliticalRegister_0011,1810.01.02_TheMorningChronicle_0002
1810.01.06_Cobbett'sWeeklyPoliticalRegister_0012,1810.01.02_TheMorningChronicle_0002
1810.01.06_Cobbett'sWeeklyPoliticalRegister_0013,1810.01.02_TheMorningChronicle_0002
1810.01.06_Cobbett'sWeeklyPoliticalRegister_0014,1810.01.02_TheMorningChronicle_0003
1810.01.06_Cobbett'sWeeklyPoliticalRegister_0014,1810.01.04_CaledonianMercury_0003
1810.01.06_Cobbett'sWeeklyPoliticalRegister_0015,1810.01.03_TheMorningChronicle_0002
1810.01.06_Jackson'sOxfordJournal_0004,1810.01.04_TheDerbyMercury_0004
1810.01.07_TheExaminer_0015,1810.01.06_TheMorningChronicle_0003
1810.01.08_CaledonianMercury_0002,1810.01.03_TheMorningChronicle_0002
1810.01.10_TheAberdeenJournal_0002,1810.01.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1810.01.11_CaledonianMercury_0002,1810.01.07_TheExaminer_0004
1810.01.11_CaledonianMercury_0002,1810.01.07_TheExaminer_0005
1810.01.11_CaledonianMercury_0004,1810.01.10_TheAberdeenJournal_0002
1810.01.11_TheDerbyMercury_0002,1810.01.11_CaledonianMercury_0003
1810.01.11_TheDerbyMercury_0004,1810.01.06_Jackson'sOxfordJournal_0004
1810.01.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1810.01.06_TheMorningChronicle_0003
1810.01.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1810.01.07_TheExaminer_0015
1810.01.13_Cobbett'sWeeklyPoliticalRegister_0013,1810.01.03_TheMorningChronicle_0003
1810.01.13_Cobbett'sWeeklyPoliticalRegister_0014,1810.01.06_CaledonianMercury_0002
1810.01.13_Cobbett'sWeeklyPoliticalRegister_0015,1810.01.03_TheMorningChronicle_0003
1810.01.13_Cobbett'sWeeklyPoliticalRegister_0015,1810.01.06_CaledonianMercury_0002
1810.01.13_Cobbett'sWeeklyPoliticalRegister_0016,1810.01.06_CaledonianMercury_0002
1810.01.13_Jackson'sOxfordJournal_0004,1810.01.08_TheMorningChronicle_0003
1810.01.13_Jackson'sOxfordJournal_0004,1810.01.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1810.01.15_CaledonianMercury_0002,1810.01.11_TheMorningChronicle_0003
1810.01.15_CaledonianMercury_0002,1810.01.14_TheExaminer_0002
1810.01.15_CaledonianMercury_0002,1810.01.14_TheExaminer_0003
1810.01.17_TheAberdeenJournal_0003,1810.01.13_CaledonianMercury_0002
1810.01.17_TheAberdeenJournal_0004,1810.01.15_CaledonianMercury_0003
1810.01.18_TheDerbyMercury_0001,1810.01.13_Jackson'sOxfordJournal_0002
1810.01.18_TheDerbyMercury_0002,1810.01.15_CaledonianMercury_0002
1810.01.18_TheDerbyMercury_0004,1810.01.06_Jackson'sOxfordJournal_0001
1810.01.20_Jackson'sOxfordJournal_0002,1810.01.17_TheMorningChronicle_0003
1810.01.20_Jackson'sOxfordJournal_0002,1810.01.20_CaledonianMercury_0002
1810.01.20_Jackson'sOxfordJournal_0002,1810.01.20_Cobbett'sWeeklyPoliticalRegister_0013
1810.01.20_Jackson'sOxfordJournal_0004,1810.01.04_TheDerbyMercury_0002
1810.01.20_Jackson'sOxfordJournal_0004,1810.01.11_TheDerbyMercury_0004
1810.01.20_Jackson'sOxfordJournal_0004,1810.01.15_CaledonianMercury_0001
1810.01.20_Jackson'sOxfordJournal_0004,1810.01.15_TheMorningChronicle_0002
1810.01.20_Jackson'sOxfordJournal_0004,1810.01.18_TheDerbyMercury_0001
1810.01.20_Jackson'sOxfordJournal_0004,1810.01.18_TheDerbyMercury_0002
1810.01.20_Jackson'sOxfordJournal_0004,1810.01.18_TheDerbyMercury_0004
1810.01.20_TheIpswichJournal_0001,1810.01.20_Jackson'sOxfordJournal_0004
1810.01.20_TheLeedsMercury_0004,1810.01.20_Jackson'sOxfordJournal_0004
1810.01.21_TheExaminer_0004,1810.01.17_TheMorningChronicle_0003
1810.01.21_TheExaminer_0004,1810.01.20_CaledonianMercury_0002
1810.01.21_TheExaminer_0004,1810.01.20_Cobbett'sWeeklyPoliticalRegister_0012
1810.01.21_TheExaminer_0004,1810.01.20_Cobbett'sWeeklyPoliticalRegister_0013
1810.01.21_TheExaminer_0004,1810.01.20_Jackson'sOxfordJournal_0002
1810.01.21_TheExaminer_0014,1810.01.18_TheMorningChronicle_0002
1810.01.24_TheAberdeenJournal_0002,1810.01.06_Jackson'sOxfordJournal_0004
1810.01.24_TheAberdeenJournal_0002,1810.01.18_CaledonianMercury_0003
1810.01.24_TheAberdeenJournal_0002,1810.01.20_Jackson'sOxfordJournal_0004
1810.01.24_TheAberdeenJournal_0003,1810.01.18_CaledonianMercury_0002
1810.01.24_TheAberdeenJournal_0003,1810.01.20_Jackson'sOxfordJournal_0001
1810.01.25_CaledonianMercury_0002,1810.01.22_TheMorningChronicle_0002
1810.01.27_Cobbett'sWeeklyPoliticalRegister_0023,1810.01.11_CaledonianMercury_0002
1810.01.27_Cobbett'sWeeklyPoliticalRegister_0027,1810.01.08_TheMorningChronicle_0002
1810.01.27_Cobbett'sWeeklyPoliticalRegister_0027,1810.01.11_CaledonianMercury_0002
1810.01.27_Cobbett'sWeeklyPoliticalRegister_0028,1810.01.08_TheMorningChronicle_0002
1810.01.27_Cobbett'sWeeklyPoliticalRegister_0028,1810.01.11_CaledonianMercury_0002
1810.01.27_Cobbett'sWeeklyPoliticalRegister_0031,1810.01.09_TheMorningChronicle_0004
1810.01.27_Jackson'sOxfordJournal_0001,1810.01.11_TheDerbyMercury_0001
1810.01.27_Jackson'sOxfordJournal_0001,1810.01.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1810.01.27_Jackson'sOxfordJournal_0002,1810.01.27_CaledonianMercury_0002
1810.01.27_TheIpswichJournal_0004,1810.01.25_CaledonianMercury_0002
1810.01.27_TheLeedsMercury_0001,1810.01.20_Jackson'sOxfordJournal_0004
1810.01.27_TheLeedsMercury_0004,1810.01.25_CaledonianMercury_0002
