1811.07.03_TheAberdeenJournal_0004,1811.07.01_CaledonianMercury_0003
1811.07.04_TheDerbyMercury_0004,1811.07.01_CaledonianMercury_0002
1811.07.06_CaledonianMercury_0002,1811.07.03_TheMorningChronicle_0001
1811.07.06_CaledonianMercury_0003,1811.07.04_TheMorningChronicle_0002
1811.07.06_Jackson'sOxfordJournal_0004,1811.07.01_TheMorningChronicle_0003
1811.07.06_TheIpswichJournal_0001,1811.07.01_TheMorningChronicle_0003
1811.07.06_TheIpswichJournal_0001,1811.07.06_Jackson'sOxfordJournal_0004
1811.07.06_TheIpswichJournal_0002,1811.07.06_Jackson'sOxfordJournal_0002
1811.07.08_CaledonianMercury_0003,1811.07.05_TheMorningChronicle_0003
1811.07.08_CaledonianMercury_0003,1811.07.06_Jackson'sOxfordJournal_0002
1811.07.08_CaledonianMercury_0004,1811.07.01_TheMorningChronicle_0003
1811.07.08_CaledonianMercury_0004,1811.07.06_Jackson'sOxfordJournal_0004
1811.07.08_CaledonianMercury_0004,1811.07.06_TheIpswichJournal_0001
