1812.02.01_TheIpswichJournal_0002,1812.02.01_CaledonianMercury_0002
1812.02.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1812.02.06_CaledonianMercury_0002
1812.02.08_CaledonianMercury_0003,1812.02.06_TheMorningChronicle_0002
1812.02.08_TheIpswichJournal_0002,1812.02.08_CaledonianMercury_0002
1812.02.08_TheIpswichJournal_0002,1812.02.08_CaledonianMercury_0003
1812.02.08_TheLeedsMercury_0002,1812.02.08_CaledonianMercury_0003
1812.02.09_TheExaminer_0003,1812.02.04_TheMorningChronicle_0003
1812.02.09_TheExaminer_0007,1812.02.08_CaledonianMercury_0003
1812.02.12_TheAberdeenJournal_0003,1812.02.08_CaledonianMercury_0003
1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1812.02.13_CaledonianMercury_0002
1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1812.02.08_TheIpswichJournal_0002
1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1812.02.08_TheMorningChronicle_0003
1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1812.02.01_TheIpswichJournal_0001
1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1812.02.06_TheMorningChronicle_0002
1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1812.02.08_CaledonianMercury_0003
1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1812.02.08_TheIpswichJournal_0001
1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1812.02.08_TheLeedsMercury_0002
1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1812.02.12_TheAberdeenJournal_0003
1812.02.15_CaledonianMercury_0004,1812.02.11_TheMorningChronicle_0003
1812.02.15_Jackson'sOxfordJournal_0002,1812.02.15_CaledonianMercury_0004
1812.02.15_TheIpswichJournal_0002,1812.02.15_CaledonianMercury_0002
1812.02.15_TheIpswichJournal_0004,1812.02.10_TheMorningChronicle_0003
1812.02.15_TheLeedsMercury_0004,1812.02.08_TheIpswichJournal_0002
1812.02.15_TheLeedsMercury_0004,1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1812.02.16_TheExaminer_0016,1812.02.15_TheMorningChronicle_0003
1812.02.17_CaledonianMercury_0004,1812.02.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
