1816.06.01_Jackson'sOxfordJournal_0001,1816.06.01_CaledonianMercury_0004
1816.06.06_CaledonianMercury_0003,1816.06.04_TheMorningChronicle_0002
1816.06.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.06.01_Jackson'sOxfordJournal_0002
1816.06.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.01_TheIpswichJournal_0004
1816.06.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.03_CaledonianMercury_0003
1816.06.14_LiverpoolMercuryetc_0002,1816.06.07_TheMorningChronicle_0002
1816.06.15_Cobbett'sWeeklyPoliticalRegister_0015,1816.06.06_CaledonianMercury_0002
1816.06.15_Cobbett'sWeeklyPoliticalRegister_0016,1816.06.06_CaledonianMercury_0002
1816.06.16_TheExaminer_0008,1816.06.14_TheMorningChronicle_0003
1816.06.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.06.17_CaledonianMercury_0002
1816.06.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.20_CaledonianMercury_0004
1816.06.21_LiverpoolMercuryetc_0002,1816.06.16_TheExaminer_0005
1816.06.21_LiverpoolMercuryetc_0008,1816.06.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.06.22_Cobbett'sWeeklyPoliticalRegister_0014,1816.06.06_CaledonianMercury_0002
1816.06.22_Cobbett'sWeeklyPoliticalRegister_0015,1816.06.06_CaledonianMercury_0002
1816.06.22_Cobbett'sWeeklyPoliticalRegister_0016,1816.06.06_CaledonianMercury_0002
1816.06.22_Jackson'sOxfordJournal_0001,1816.06.22_CaledonianMercury_0004
1816.06.22_Jackson'sOxfordJournal_0002,1816.06.22_Cobbett'sWeeklyPoliticalRegister_0009
1816.06.22_Jackson'sOxfordJournal_0002,1816.06.22_Cobbett'sWeeklyPoliticalRegister_0010
1816.06.22_Jackson'sOxfordJournal_0004,1816.06.18_TheMorningChronicle_0001
1816.06.22_Jackson'sOxfordJournal_0004,1816.06.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.06.22_Jackson'sOxfordJournal_0004,1816.06.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.06.22_Jackson'sOxfordJournal_0004,1816.06.21_LiverpoolMercuryetc_0008
1816.06.22_Jackson'sOxfordJournal_0004,1816.06.22_CaledonianMercury_0001
1816.06.22_TheIpswichJournal_0004,1816.06.22_Jackson'sOxfordJournal_0002
1816.06.22_TheIpswichJournal_0004,1816.06.22_Jackson'sOxfordJournal_0004
1816.06.23_TheExaminer_0002,1816.06.22_CaledonianMercury_0004
1816.06.23_TheExaminer_0002,1816.06.22_Jackson'sOxfordJournal_0001
1816.06.24_CaledonianMercury_0004,1816.06.15_TheMorningChronicle_0002
1816.06.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.06.24_TheMorningChronicle_0003
1816.06.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.22_Jackson'sOxfordJournal_0004
1816.06.28_LiverpoolMercuryetc_0002,1816.06.14_TheMorningChronicle_0003
1816.06.28_LiverpoolMercuryetc_0005,1816.06.22_Jackson'sOxfordJournal_0001
1816.06.28_LiverpoolMercuryetc_0006,1816.06.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.06.28_LiverpoolMercuryetc_0007,1816.06.20_CaledonianMercury_0004
1816.06.28_LiverpoolMercuryetc_0007,1816.06.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.06.29_Jackson'sOxfordJournal_0004,1816.06.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.06.29_Jackson'sOxfordJournal_0004,1816.06.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.06.29_TheMorningChronicle_0001,1816.06.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.07.01_CaledonianMercury_0001,1816.06.01_Jackson'sOxfordJournal_0004
1816.07.01_CaledonianMercury_0004,1816.06.24_TheMorningChronicle_0003
1816.07.01_CaledonianMercury_0004,1816.06.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.07.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.06.29_CaledonianMercury_0002
1816.07.05_LiverpoolMercuryetc_0002,1816.06.29_TheMorningChronicle_0003
1816.07.05_LiverpoolMercuryetc_0003,1816.06.29_TheMorningChronicle_0003
1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.06.06_CaledonianMercury_0001
1816.07.20_Jackson'sOxfordJournal_0004,1816.06.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.08.24_Jackson'sOxfordJournal_0004,1816.06.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.09.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.06_CaledonianMercury_0001
1816.09.07_Jackson'sOxfordJournal_0004,1816.06.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.09.21_Jackson'sOxfordJournal_0002,1816.06.28_LiverpoolMercuryetc_0005
1816.09.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.22_Jackson'sOxfordJournal_0004
1816.09.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.29_Jackson'sOxfordJournal_0004
1816.10.03_TheDerbyMercury_0001,1816.06.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.10.03_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.01_Jackson'sOxfordJournal_0004
1816.10.03_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.06_CaledonianMercury_0001
1816.10.05_Jackson'sOxfordJournal_0004,1816.06.06_CaledonianMercury_0001
1816.10.05_Jackson'sOxfordJournal_0004,1816.06.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.10.05_Jackson'sOxfordJournal_0004,1816.06.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.10.31_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.06.06_CaledonianMercury_0001
1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.06.29_TheLeedsMercury_0004
1816.12.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.06.22_Jackson'sOxfordJournal_0004
1816.12.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.06.22_Jackson'sOxfordJournal_0004
1816.12.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.06.29_Jackson'sOxfordJournal_0004
