1816.07.04_TheDerbyMercury_0004,1816.07.01_CaledonianMercury_0004
1816.07.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.04_CaledonianMercury_0004
1816.07.05_LiverpoolMercuryetc_0002,1816.07.01_TheMorningChronicle_0003
1816.07.05_LiverpoolMercuryetc_0002,1816.07.04_CaledonianMercury_0002
1816.07.06_CaledonianMercury_0002,1816.07.03_TheMorningChronicle_0002
1816.07.06_CaledonianMercury_0002,1816.07.04_TheMorningChronicle_0002
1816.07.06_CaledonianMercury_0004,1816.07.01_TheMorningChronicle_0003
1816.07.06_CaledonianMercury_0004,1816.07.05_LiverpoolMercuryetc_0002
1816.07.06_Jackson'sOxfordJournal_0002,1816.07.03_TheMorningChronicle_0002
1816.07.06_Jackson'sOxfordJournal_0002,1816.07.06_CaledonianMercury_0002
1816.07.08_CaledonianMercury_0002,1816.07.05_TheMorningChronicle_0002
1816.07.08_CaledonianMercury_0002,1816.07.06_TheMorningChronicle_0002
1816.07.10_TheAberdeenJournal_0002,1816.07.03_TheMorningChronicle_0002
1816.07.10_TheAberdeenJournal_0002,1816.07.06_CaledonianMercury_0002
1816.07.10_TheAberdeenJournal_0002,1816.07.06_Jackson'sOxfordJournal_0002
1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.03_TheMorningChronicle_0002
1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.05_TheMorningChronicle_0003
1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.06_CaledonianMercury_0002
1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.06_Jackson'sOxfordJournal_0001
1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.06_Jackson'sOxfordJournal_0002
1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.06_TheMorningChronicle_0002
1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.08_CaledonianMercury_0002
1816.07.12_LiverpoolMercuryetc_0002,1816.07.04_TheMorningChronicle_0002
1816.07.12_LiverpoolMercuryetc_0006,1816.07.07_TheExaminer_0007
1816.07.12_LiverpoolMercuryetc_0008,1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.07.13_CaledonianMercury_0002,1816.07.09_TheMorningChronicle_0003
1816.07.13_Jackson'sOxfordJournal_0004,1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.07.13_Jackson'sOxfordJournal_0004,1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.07.15_CaledonianMercury_0002,1816.07.11_TheMorningChronicle_0002
1816.07.15_CaledonianMercury_0002,1816.07.12_TheMorningChronicle_0002
1816.07.15_CaledonianMercury_0004,1816.07.10_TheAberdeenJournal_0001
1816.07.18_CaledonianMercury_0002,1816.07.16_TheMorningChronicle_0002
1816.07.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.07_TheExaminer_0007
1816.07.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.12_LiverpoolMercuryetc_0006
1816.07.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.18_CaledonianMercury_0002
1816.07.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.12_TheMorningChronicle_0002
1816.07.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.13_CaledonianMercury_0002
1816.07.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.15_CaledonianMercury_0002
1816.07.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.07.13_CaledonianMercury_0004
1816.07.20_CaledonianMercury_0002,1816.07.17_TheMorningChronicle_0002
1816.07.20_Jackson'sOxfordJournal_0001,1816.07.20_CaledonianMercury_0002
1816.07.20_TheLeedsMercury_0002,1816.07.18_TheMorningChronicle_0002
1816.07.20_TheLeedsMercury_0002,1816.07.20_CaledonianMercury_0002
1816.07.20_TheLeedsMercury_0002,1816.07.20_Jackson'sOxfordJournal_0001
1816.07.20_TheLeedsMercury_0004,1816.07.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1816.07.22_CaledonianMercury_0002,1816.07.20_Jackson'sOxfordJournal_0004
1816.07.22_CaledonianMercury_0002,1816.07.20_TheMorningChronicle_0002
1816.07.22_CaledonianMercury_0003,1816.07.18_TheMorningChronicle_0003
1816.07.22_CaledonianMercury_0004,1816.07.13_TheMorningChronicle_0003
1816.07.24_TheAberdeenJournal_0004,1816.07.15_TheMorningChronicle_0003
1816.07.25_CaledonianMercury_0002,1816.07.23_TheMorningChronicle_0002
1816.07.25_CaledonianMercury_0004,1816.07.18_TheMorningChronicle_0003
1816.07.25_CaledonianMercury_0004,1816.07.20_TheLeedsMercury_0002
1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.07.25_CaledonianMercury_0002
1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.18_TheMorningChronicle_0003
1816.07.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.07.20_Jackson'sOxfordJournal_0001
