1825.02.03_CaledonianMercury_0002,1825.02.02_TheDerbyMercury_0002
1825.02.05_Cobbett'sWeeklyPoliticalRegister_0008,1825.02.01_TheMorningChronicle_0002
1825.02.05_TheIpswichJournal_0002,1825.02.03_CaledonianMercury_0002
1825.02.05_TheIpswichJournal_0002,1825.02.03_TheMorningChronicle_0004
1825.02.05_TheIpswichJournal_0002,1825.02.04_TheMorningChronicle_0001
1825.02.05_TheIpswichJournal_0002,1825.02.04_TheMorningChronicle_0002
1825.02.05_TheIpswichJournal_0002,1825.02.04_TheMorningChronicle_0004
1825.02.05_TheIpswichJournal_0004,1825.02.01_TheMorningChronicle_0003
1825.02.05_TheIpswichJournal_0004,1825.02.02_TheMorningChronicle_0003
1825.02.05_TheIpswichJournal_0004,1825.02.03_CaledonianMercury_0002
1825.02.05_TheIpswichJournal_0004,1825.02.03_CaledonianMercury_0004
1825.02.05_TheIpswichJournal_0004,1825.02.03_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1825.02.05_TheMorningChronicle_0004,1825.02.05_TheIpswichJournal_0004
1825.02.05_TheNewcastleCourantetc_0002,1825.02.03_CaledonianMercury_0004
1825.02.05_TheNewcastleCourantetc_0002,1825.02.05_TheIpswichJournal_0004
1825.02.06_TheExaminer_0003,1825.02.04_TheMorningChronicle_0001
1825.02.06_TheExaminer_0003,1825.02.05_TheIpswichJournal_0002
1825.02.06_TheExaminer_0005,1825.02.04_TheMorningChronicle_0004
1825.02.06_TheExaminer_0011,1825.02.03_TheMorningChronicle_0003
1825.02.06_TheExaminer_0015,1825.02.02_TheMorningChronicle_0004
1825.02.07_CaledonianMercury_0002,1825.02.04_TheMorningChronicle_0001
1825.02.07_CaledonianMercury_0002,1825.02.04_TheMorningChronicle_0002
1825.02.07_CaledonianMercury_0002,1825.02.05_TheIpswichJournal_0002
1825.02.07_CaledonianMercury_0002,1825.02.06_TheExaminer_0003
1825.02.07_CaledonianMercury_0003,1825.02.04_TheMorningChronicle_0004
1825.02.07_HampshireTelegraphandSussexChronicleetc_0002,1825.02.05_TheIpswichJournal_0004
1825.02.07_HampshireTelegraphandSussexChronicleetc_0003,1825.02.04_TheMorningChronicle_0001
1825.02.07_HampshireTelegraphandSussexChronicleetc_0003,1825.02.04_TheMorningChronicle_0004
1825.02.07_HampshireTelegraphandSussexChronicleetc_0003,1825.02.05_TheIpswichJournal_0002
1825.02.07_HampshireTelegraphandSussexChronicleetc_0003,1825.02.06_TheExaminer_0003
1825.02.07_HampshireTelegraphandSussexChronicleetc_0003,1825.02.07_CaledonianMercury_0002
1825.02.07_TheBristolMercury_0001,1825.02.04_TheMorningChronicle_0001
1825.02.07_TheBristolMercury_0001,1825.02.04_TheMorningChronicle_0004
1825.02.07_TheBristolMercury_0001,1825.02.05_TheIpswichJournal_0002
1825.02.07_TheBristolMercury_0001,1825.02.06_TheExaminer_0003
1825.02.07_TheMorningChronicle_0003,1825.02.07_HampshireTelegraphandSussexChronicleetc_0004
1825.02.09_TheAberdeenJournal_0002,1825.02.07_CaledonianMercury_0002
1825.02.09_TheDerbyMercury_0001,1825.02.04_TheMorningChronicle_0001
1825.02.09_TheDerbyMercury_0001,1825.02.04_TheMorningChronicle_0002
1825.02.09_TheDerbyMercury_0001,1825.02.05_TheIpswichJournal_0002
1825.02.09_TheDerbyMercury_0001,1825.02.06_TheExaminer_0003
1825.02.09_TheDerbyMercury_0001,1825.02.07_CaledonianMercury_0002
1825.02.09_TheDerbyMercury_0001,1825.02.07_HampshireTelegraphandSussexChronicleetc_0003
1825.02.09_TheDerbyMercury_0004,1825.02.04_TheMorningChronicle_0004
1825.02.09_TheDerbyMercury_0004,1825.02.06_TheExaminer_0005
1825.02.09_TheDerbyMercury_0004,1825.02.07_CaledonianMercury_0002
1825.02.09_TheDerbyMercury_0004,1825.02.07_CaledonianMercury_0003
1825.02.10_CaledonianMercury_0002,1825.02.05_TheMorningChronicle_0004
1825.02.10_CaledonianMercury_0002,1825.02.09_TheDerbyMercury_0004
1825.02.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.02.04_TheMorningChronicle_0001
1825.02.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.02.05_TheIpswichJournal_0002
1825.02.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.02.06_TheExaminer_0003
1825.02.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.02.07_CaledonianMercury_0002
1825.02.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.02.07_HampshireTelegraphandSussexChronicleetc_0003
1825.02.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.02.09_TheDerbyMercury_0001
1825.02.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.02.09_TheDerbyMercury_0004
1825.02.11_LiverpoolMercuryetc_0002,1825.02.04_TheMorningChronicle_0001
1825.02.11_LiverpoolMercuryetc_0002,1825.02.05_TheIpswichJournal_0002
1825.02.11_LiverpoolMercuryetc_0002,1825.02.06_TheExaminer_0003
1825.02.11_LiverpoolMercuryetc_0002,1825.02.07_CaledonianMercury_0002
1825.02.11_LiverpoolMercuryetc_0002,1825.02.07_HampshireTelegraphandSussexChronicleetc_0003
1825.02.11_LiverpoolMercuryetc_0002,1825.02.07_TheBristolMercury_0001
1825.02.11_LiverpoolMercuryetc_0002,1825.02.09_TheDerbyMercury_0001
1825.02.11_LiverpoolMercuryetc_0002,1825.02.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1825.02.12_TheIpswichJournal_0002,1825.02.09_TheMorningChronicle_0003
1825.02.12_TheIpswichJournal_0002,1825.02.10_TheMorningChronicle_0003
1825.02.12_TheIpswichJournal_0004,1825.02.08_TheMorningChronicle_0002
1825.02.12_TheLeedsMercury_0004,1825.02.06_TheExaminer_0004
