1825.04.01_TheMorningChronicle_0004,1825.04.01_LiverpoolMercuryetc_0008
1825.04.02_TheMorningChronicle_0003,1825.04.02_TheIpswichJournal_0002
1825.04.04_HampshireTelegraphandSussexChronicleetc_0003,1825.04.02_TheIpswichJournal_0002
1825.04.04_HampshireTelegraphandSussexChronicleetc_0003,1825.04.02_TheMorningChronicle_0003
1825.04.04_TheBristolMercury_0002,1825.04.02_TheMorningChronicle_0002
1825.04.04_TheBristolMercury_0004,1825.04.02_TheIpswichJournal_0002
1825.04.04_TheMorningChronicle_0001,1825.04.02_TheNewcastleCourantetc_0001
1825.04.05_TheMorningChronicle_0001,1825.04.02_TheNewcastleCourantetc_0001
1825.04.06_TheAberdeenJournal_0002,1825.04.02_TheIpswichJournal_0004
1825.04.06_TheDerbyMercury_0001,1825.04.02_TheIpswichJournal_0001
1825.04.06_TheDerbyMercury_0002,1825.04.02_TheIpswichJournal_0002
1825.04.06_TheDerbyMercury_0002,1825.04.03_TheExaminer_0006
1825.04.06_TheDerbyMercury_0003,1825.04.03_TheExaminer_0008
1825.04.07_CaledonianMercury_0002,1825.04.06_TheDerbyMercury_0004
1825.04.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1825.04.06_TheDerbyMercury_0001
1825.04.08_LiverpoolMercuryetc_0002,1825.04.03_TheExaminer_0006
1825.04.08_LiverpoolMercuryetc_0002,1825.04.06_TheMorningChronicle_0004
1825.04.09_CaledonianMercury_0002,1825.04.06_TheMorningChronicle_0002
1825.04.09_TheIpswichJournal_0001,1825.04.06_TheDerbyMercury_0001
1825.04.09_TheIpswichJournal_0004,1825.04.05_TheMorningChronicle_0002
1825.04.09_TheIpswichJournal_0004,1825.04.05_TheMorningChronicle_0003
1825.04.09_TheIpswichJournal_0004,1825.04.06_TheMorningChronicle_0004
1825.04.09_TheMorningChronicle_0001,1825.04.02_TheNewcastleCourantetc_0001
1825.04.09_TheMorningChronicle_0002,1825.04.07_CaledonianMercury_0003
1825.04.10_TheExaminer_0005,1825.04.07_TheMorningChronicle_0004
1825.04.10_TheExaminer_0011,1825.04.06_TheMorningChronicle_0004
1825.04.10_TheExaminer_0011,1825.04.09_TheIpswichJournal_0004
1825.04.11_CaledonianMercury_0002,1825.04.07_TheMorningChronicle_0004
1825.04.11_CaledonianMercury_0002,1825.04.09_TheMorningChronicle_0004
1825.04.11_CaledonianMercury_0002,1825.04.10_TheExaminer_0005
1825.04.11_HampshireTelegraphandSussexChronicleetc_0002,1825.04.07_TheMorningChronicle_0004
1825.04.11_HampshireTelegraphandSussexChronicleetc_0002,1825.04.11_CaledonianMercury_0002
1825.04.11_HampshireTelegraphandSussexChronicleetc_0004,1825.04.09_TheMorningChronicle_0002
1825.04.11_TheBristolMercury_0001,1825.04.02_TheIpswichJournal_0002
1825.04.11_TheBristolMercury_0001,1825.04.05_TheMorningChronicle_0002
1825.04.11_TheBristolMercury_0001,1825.04.06_TheDerbyMercury_0001
1825.04.11_TheBristolMercury_0001,1825.04.07_TheMorningChronicle_0004
1825.04.11_TheBristolMercury_0001,1825.04.08_TheMorningChronicle_0003
1825.04.11_TheBristolMercury_0001,1825.04.09_TheIpswichJournal_0001
1825.04.11_TheBristolMercury_0001,1825.04.10_TheExaminer_0005
1825.04.11_TheBristolMercury_0001,1825.04.11_CaledonianMercury_0002
1825.04.11_TheBristolMercury_0004,1825.04.06_TheMorningChronicle_0004
1825.04.11_TheBristolMercury_0004,1825.04.09_TheIpswichJournal_0002
1825.04.11_TheBristolMercury_0004,1825.04.09_TheIpswichJournal_0004
1825.04.12_TheMorningChronicle_0004,1825.04.09_CaledonianMercury_0002
1825.04.13_TheDerbyMercury_0001,1825.04.02_CaledonianMercury_0001
1825.04.13_TheDerbyMercury_0004,1825.04.10_TheExaminer_0008
1825.04.14_CaledonianMercury_0002,1825.04.13_TheDerbyMercury_0004
1825.04.14_CaledonianMercury_0004,1825.04.05_TheMorningChronicle_0003
1825.04.14_CaledonianMercury_0004,1825.04.06_TheMorningChronicle_0004
1825.04.14_CaledonianMercury_0004,1825.04.09_TheIpswichJournal_0004
1825.04.14_TheMorningChronicle_0004,1825.04.02_TheNewcastleCourantetc_0003
1825.04.15_LiverpoolMercuryetc_0001,1825.04.02_TheNewcastleCourantetc_0001
1825.04.15_LiverpoolMercuryetc_0001,1825.04.04_TheMorningChronicle_0001
1825.04.15_LiverpoolMercuryetc_0001,1825.04.05_TheMorningChronicle_0001
1825.04.15_LiverpoolMercuryetc_0001,1825.04.09_TheMorningChronicle_0001
1825.04.15_LiverpoolMercuryetc_0002,1825.04.11_CaledonianMercury_0002
1825.04.16_CaledonianMercury_0002,1825.04.06_TheMorningChronicle_0002
1825.04.16_CaledonianMercury_0002,1825.04.11_TheBristolMercury_0001
