1826.03.03_GlasgowHerald_0002,1826.03.02_CaledonianMercury_0002
1826.03.03_GlasgowHerald_0004,1826.03.01_TheDerbyMercury_0002
1826.03.03_GlasgowHerald_0004,1826.03.02_CaledonianMercury_0004
1826.03.04_TheNewcastleCourantetc_0001,1826.03.04_TheIpswichJournal_0001
1826.03.05_TheExaminer_0005,1826.03.02_TheMorningChronicle_0003
1826.03.06_CaledonianMercury_0002,1826.03.02_TheMorningChronicle_0002
1826.03.06_GlasgowHerald_0002,1826.03.04_CaledonianMercury_0003
1826.03.06_GlasgowHerald_0004,1826.03.02_CaledonianMercury_0004
1826.03.06_GlasgowHerald_0004,1826.03.05_TheExaminer_0006
1826.03.06_HampshireTelegraphandSussexChronicleetc_0001,1826.03.01_TheMorningChronicle_0004
1826.03.06_HampshireTelegraphandSussexChronicleetc_0001,1826.03.04_TheIpswichJournal_0001
1826.03.06_HampshireTelegraphandSussexChronicleetc_0001,1826.03.04_TheNewcastleCourantetc_0001
1826.03.06_HampshireTelegraphandSussexChronicleetc_0002,1826.03.02_TheMorningChronicle_0003
1826.03.06_HampshireTelegraphandSussexChronicleetc_0002,1826.03.06_CaledonianMercury_0004
1826.03.06_TheBristolMercury_0001,1826.03.01_TheMorningChronicle_0001
1826.03.06_TheBristolMercury_0001,1826.03.05_TheExaminer_0005
1826.03.06_TheBristolMercury_0002,1826.03.02_TheMorningChronicle_0003
1826.03.06_TheBristolMercury_0002,1826.03.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1826.03.06_TheBristolMercury_0002,1826.03.05_TheExaminer_0005
1826.03.06_TheBristolMercury_0003,1826.03.01_TheMorningChronicle_0004
1826.03.06_TheBristolMercury_0004,1826.03.01_TheMorningChronicle_0001
1826.03.06_TheBristolMercury_0004,1826.03.02_TheMorningChronicle_0003
1826.03.06_TheBristolMercury_0004,1826.03.04_TheLeedsMercury_0002
