RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1826	12	01	LiverpoolMercuryetc	0007	1826	12	01	GlasgowHerald	0001
1826	12	02	CaledonianMercury	0003	1826	12	01	GlasgowHerald	0002
1826	12	02	CaledonianMercury	0004	1826	12	01	GlasgowHerald	0002
1826	12	02	CaledonianMercury	0004	1826	12	01	LiverpoolMercuryetc	0002
1826	12	02	TheIpswichJournal	0004	1826	12	01	TheMorningChronicle	0004
1826	12	02	TheMorningChronicle	0003	1826	12	02	Cobbett'sWeeklyPoliticalRegister	0005
1826	12	04	CaledonianMercury	0001	1826	12	01	GlasgowHerald	0001
1826	12	04	CaledonianMercury	0002	1826	12	01	TheMorningChronicle	0002
1826	12	04	GlasgowHerald	0001	1826	12	02	CaledonianMercury	0004
1826	12	04	GlasgowHerald	0001	1826	12	04	CaledonianMercury	0004
1826	12	04	GlasgowHerald	0002	1826	12	02	CaledonianMercury	0002
1826	12	04	GlasgowHerald	0002	1826	12	02	CaledonianMercury	0003
1826	12	04	GlasgowHerald	0002	1826	12	04	CaledonianMercury	0003
1826	12	04	GlasgowHerald	0004	1826	12	01	LiverpoolMercuryetc	0008
1826	12	04	GlasgowHerald	0004	1826	12	02	CaledonianMercury	0003
1826	12	04	GlasgowHerald	0004	1826	12	03	TheExaminer	0003
1826	12	04	GlasgowHerald	0004	1826	12	04	CaledonianMercury	0003
