1827.11.02_LiverpoolMercuryetc_0007,1827.11.01_NorthWalesChronicle_0003
1827.11.03_TheNewcastleCourantetc_0002,1827.11.03_TheIpswichJournal_0002
1827.11.03_TheNewcastleCourantetc_0004,1827.11.01_NorthWalesChronicle_0002
1827.11.03_TheNewcastleCourantetc_0004,1827.11.03_TheLeedsMercury_0003
1827.11.04_TheExaminer_0006,1827.11.01_TheMorningChronicle_0002
1827.11.05_CaledonianMercury_0002,1827.11.03_TheIpswichJournal_0004
1827.11.05_TheBristolMercury_0001,1827.11.03_TheIpswichJournal_0002
1827.11.05_TheBristolMercury_0001,1827.11.03_TheNewcastleCourantetc_0002
1827.11.05_TheBristolMercury_0001,1827.11.05_HampshireTelegraphandSussexChronicleetc_0002
1827.11.05_TheBristolMercury_0003,1827.11.03_TheIpswichJournal_0002
1827.11.05_TheBristolMercury_0004,1827.11.03_TheIpswichJournal_0001
1827.11.05_TheBristolMercury_0004,1827.11.03_TheIpswichJournal_0004
1827.11.05_TheMorningChronicle_0003,1827.11.05_HampshireTelegraphandSussexChronicleetc_0004
