1828.02.02_CaledonianMercury_0001,1828.02.01_TheBelfastNews-Letter_0001
1828.02.02_CaledonianMercury_0002,1828.02.01_LiverpoolMercuryetc_0002
1828.02.02_Cobbett'sWeeklyPoliticalRegister_0002,1828.02.02_CaledonianMercury_0002
1828.02.02_TheIpswichJournal_0001,1828.02.02_CaledonianMercury_0002
1828.02.02_TheIpswichJournal_0001,1828.02.02_Cobbett'sWeeklyPoliticalRegister_0002
1828.02.02_TheNewcastleCourantetc_0002,1828.02.01_TheBelfastNews-Letter_0002
1828.02.02_TheNewcastleCourantetc_0002,1828.02.02_TheIpswichJournal_0004
1828.02.02_TheNewcastleCourantetc_0004,1828.02.02_CaledonianMercury_0002
1828.02.03_TheExaminer_0004,1828.02.01_LiverpoolMercuryetc_0002
1828.02.03_TheExaminer_0004,1828.02.02_CaledonianMercury_0002
1828.02.03_TheExaminer_0004,1828.02.02_Cobbett'sWeeklyPoliticalRegister_0002
1828.02.03_TheExaminer_0004,1828.02.02_TheIpswichJournal_0001
1828.02.03_TheExaminer_0004,1828.02.02_TheNewcastleCourantetc_0004
1828.02.03_TheExaminer_0005,1828.02.02_CaledonianMercury_0002
1828.02.04_CaledonianMercury_0002,1828.02.01_TheMorningChronicle_0003
1828.02.04_HampshireTelegraphandSussexChronicleetc_0002,1828.02.02_CaledonianMercury_0002
1828.02.04_HampshireTelegraphandSussexChronicleetc_0002,1828.02.02_TheLeedsMercury_0003
1828.02.04_HampshireTelegraphandSussexChronicleetc_0002,1828.02.03_TheExaminer_0004
1828.02.04_TheBristolMercury_0001,1828.02.02_CaledonianMercury_0002
1828.02.04_TheBristolMercury_0001,1828.02.03_TheExaminer_0004
1828.02.04_TheBristolMercury_0002,1828.02.03_TheExaminer_0016
1828.02.04_TheMorningChronicle_0001,1828.02.04_HampshireTelegraphandSussexChronicleetc_0004
1828.02.04_TheMorningChronicle_0003,1828.02.04_TheBristolMercury_0002
1828.02.05_TheBelfastNews-Letter_0001,1828.02.02_CaledonianMercury_0002
1828.02.05_TheBelfastNews-Letter_0001,1828.02.02_Cobbett'sWeeklyPoliticalRegister_0002
1828.02.05_TheBelfastNews-Letter_0001,1828.02.02_TheIpswichJournal_0001
1828.02.05_TheBelfastNews-Letter_0001,1828.02.02_TheNewcastleCourantetc_0004
1828.02.05_TheBelfastNews-Letter_0001,1828.02.03_TheExaminer_0004
1828.02.05_TheBelfastNews-Letter_0001,1828.02.04_HampshireTelegraphandSussexChronicleetc_0002
1828.02.05_TheBelfastNews-Letter_0002,1828.02.04_CaledonianMercury_0002
1828.02.05_TheBelfastNews-Letter_0004,1828.02.02_TheIpswichJournal_0002
1828.02.05_TheBelfastNews-Letter_0004,1828.02.02_TheIpswichJournal_0003
1828.02.05_TheHullPacketandHumberMercury_0001,1828.02.01_LiverpoolMercuryetc_0002
1828.02.05_TheHullPacketandHumberMercury_0001,1828.02.02_CaledonianMercury_0002
1828.02.05_TheHullPacketandHumberMercury_0001,1828.02.02_Cobbett'sWeeklyPoliticalRegister_0002
1828.02.05_TheHullPacketandHumberMercury_0001,1828.02.02_TheIpswichJournal_0001
1828.02.05_TheHullPacketandHumberMercury_0001,1828.02.02_TheNewcastleCourantetc_0004
1828.02.05_TheHullPacketandHumberMercury_0001,1828.02.03_TheExaminer_0004
1828.02.05_TheHullPacketandHumberMercury_0001,1828.02.04_HampshireTelegraphandSussexChronicleetc_0002
1828.02.05_TheHullPacketandHumberMercury_0001,1828.02.04_TheBristolMercury_0001
1828.02.05_TheHullPacketandHumberMercury_0001,1828.02.05_TheBelfastNews-Letter_0001
1828.02.05_TheHullPacketandHumberMercury_0003,1828.02.02_TheIpswichJournal_0003
1828.02.05_TheHullPacketandHumberMercury_0003,1828.02.02_TheIpswichJournal_0004
1828.02.05_TheHullPacketandHumberMercury_0003,1828.02.02_TheNewcastleCourantetc_0002
1828.02.05_TheHullPacketandHumberMercury_0003,1828.02.05_TheBelfastNews-Letter_0004
1828.02.05_TheHullPacketandHumberMercury_0004,1828.02.01_TheMorningChronicle_0002
1828.02.05_TheHullPacketandHumberMercury_0004,1828.02.02_CaledonianMercury_0002
1828.02.06_TheAberdeenJournal_0004,1828.02.02_CaledonianMercury_0002
1828.02.06_TheAberdeenJournal_0004,1828.02.02_TheIpswichJournal_0002
1828.02.06_TheDerbyMercury_0001,1828.02.02_TheIpswichJournal_0001
1828.02.06_TheDerbyMercury_0001,1828.02.05_TheBelfastNews-Letter_0001
1828.02.06_TheDerbyMercury_0004,1828.02.01_TheMorningChronicle_0003
1828.02.06_TheDerbyMercury_0004,1828.02.03_TheExaminer_0008
1828.02.06_TheDerbyMercury_0004,1828.02.04_CaledonianMercury_0002
1828.02.06_TheMorningChronicle_0004,1828.02.02_TheLeedsMercury_0003
1828.02.07_CaledonianMercury_0002,1828.02.05_TheMorningChronicle_0004
1828.02.07_CaledonianMercury_0004,1828.02.04_HampshireTelegraphandSussexChronicleetc_0004
1828.02.07_CaledonianMercury_0004,1828.02.05_TheMorningChronicle_0004
1828.02.07_NorthWalesChronicle_0002,1828.02.07_CaledonianMercury_0002
1828.02.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1828.02.05_TheBelfastNews-Letter_0001
1828.02.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1828.02.06_TheDerbyMercury_0001
1828.02.08_LiverpoolMercuryetc_0007,1828.02.06_TheDerbyMercury_0004
1828.02.08_TheBelfastNews-Letter_0002,1828.02.04_CaledonianMercury_0003
1828.02.08_TheBelfastNews-Letter_0002,1828.02.05_TheMorningChronicle_0004
1828.02.08_TheBelfastNews-Letter_0002,1828.02.07_CaledonianMercury_0002
1828.02.09_CaledonianMercury_0002,1828.02.07_TheMorningChronicle_0003
1828.02.09_CaledonianMercury_0002,1828.02.08_LiverpoolMercuryetc_0008
