RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE	OPAGE
1828	08	01	TheBelfastNews-Letter	0002	1828	08	01	LiverpoolMercuryetc	0002
1828	08	02	TheIpswichJournal	0004	1828	08	01	TheBelfastNews-Letter	0002
1828	08	02	TheLeedsMercury	0002	1828	08	01	LiverpoolMercuryetc	0002
1828	08	02	TheLeedsMercury	0002	1828	08	01	TheBelfastNews-Letter	0002
1828	08	02	TheLeedsMercury	0002	1828	08	02	TheIpswichJournal	0004
1828	08	02	TheMorningChronicle	0002	1828	08	02	Cobbett'sWeeklyPoliticalRegister	0002
1828	08	02	TheNewcastleCourantetc	0002	1828	08	01	LiverpoolMercuryetc	0002
1828	08	02	TheNewcastleCourantetc	0002	1828	08	01	TheBelfastNews-Letter	0002
1828	08	02	TheNewcastleCourantetc	0002	1828	08	02	TheIpswichJournal	0004
1828	08	02	TheNewcastleCourantetc	0002	1828	08	02	TheLeedsMercury	0002
1828	08	03	TheExaminer	0004	1828	08	01	LiverpoolMercuryetc	0002
1828	08	03	TheExaminer	0004	1828	08	01	TheBelfastNews-Letter	0002
1828	08	03	TheExaminer	0004	1828	08	02	TheIpswichJournal	0004
1828	08	03	TheExaminer	0004	1828	08	02	TheLeedsMercury	0002
1828	08	03	TheExaminer	0004	1828	08	02	TheNewcastleCourantetc	0002
1828	08	03	TheExaminer	0008	1828	08	01	TheMorningChronicle	0003
1828	08	03	TheExaminer	0009	1828	08	01	TheMorningChronicle	0003
1828	08	03	TheExaminer	0014	1828	08	01	TheMorningChronicle	0003
1828	08	04	HampshireTelegraphandSussexChronicleetc	0002	1828	08	02	TheIpswichJournal	0002
1828	08	04	HampshireTelegraphandSussexChronicleetc	0002	1828	08	02	TheIpswichJournal	0004
1828	08	04	TheMorningChronicle	0002	1828	08	03	TheExaminer	0001
1828	08	04	TheMorningChronicle	0002	1828	08	04	HampshireTelegraphandSussexChronicleetc	0004
1828	08	05	TheBristolMercury	0001	1828	08	01	TheBelfastNews-Letter	0002
1828	08	05	TheBristolMercury	0001	1828	08	01	TheMorningChronicle	0002
1828	08	05	TheBristolMercury	0001	1828	08	02	TheLeedsMercury	0002
1828	08	05	TheBristolMercury	0001	1828	08	02	TheNewcastleCourantetc	0002
1828	08	05	TheBristolMercury	0001	1828	08	03	TheExaminer	0004
1828	08	05	TheBristolMercury	0004	1828	08	02	TheIpswichJournal	0004
1828	08	05	TheHullPacketandHumberMercury	0001	1828	08	01	LiverpoolMercuryetc	0002
1828	08	05	TheHullPacketandHumberMercury	0001	1828	08	01	TheBelfastNews-Letter	0002
1828	08	05	TheHullPacketandHumberMercury	0001	1828	08	02	TheIpswichJournal	0004
1828	08	05	TheHullPacketandHumberMercury	0001	1828	08	02	TheLeedsMercury	0002
1828	08	05	TheHullPacketandHumberMercury	0001	1828	08	02	TheNewcastleCourantetc	0002
1828	08	05	TheHullPacketandHumberMercury	0001	1828	08	03	TheExaminer	0004
1828	08	05	TheHullPacketandHumberMercury	0002	1828	08	02	TheMorningChronicle	0002
1828	08	05	TheHullPacketandHumberMercury	0004	1828	08	02	CaledonianMercury	0002
1828	08	06	TheAberdeenJournal	0003	1828	08	02	TheNewcastleCourantetc	0004
1828	08	06	TheAberdeenJournal	0004	1828	08	01	TheBelfastNews-Letter	0002
1828	08	06	TheAberdeenJournal	0004	1828	08	02	TheNewcastleCourantetc	0002
1828	08	06	TheAberdeenJournal	0004	1828	08	03	TheExaminer	0004
1828	08	06	TheAberdeenJournal	0004	1828	08	05	TheHullPacketandHumberMercury	0001
1828	08	06	TheDerbyMercury	0004	1828	08	02	TheIpswichJournal	0002
1828	08	06	TheDerbyMercury	0004	1828	08	02	TheMorningChronicle	0001
1828	08	06	TheDerbyMercury	0004	1828	08	02	TheNewcastleCourantetc	0002
1828	08	06	TheDerbyMercury	0004	1828	08	03	TheExaminer	0008
1828	08	06	TheDerbyMercury	0004	1828	08	05	TheBelfastNews-Letter	0001
1828	08	06	TheDerbyMercury	0004	1828	08	05	TheBristolMercury	0001
1828	08	06	TheMorningChronicle	0004	1828	08	04	CaledonianMercury	0004
1828	08	07	CaledonianMercury	0002	1828	08	02	TheMorningChronicle	0002
1828	08	07	NorthWalesChronicle	0003	1828	08	01	TheMorningChronicle	0003
1828	08	07	NorthWalesChronicle	0004	1828	08	05	TheHullPacketandHumberMercury	0001
1828	08	08	LiverpoolMercuryetc	0007	1828	08	06	TheDerbyMercury	0004
1828	08	08	TheBelfastNews-Letter	0001	1828	08	02	TheMorningChronicle	0001
1828	08	08	TheBelfastNews-Letter	0001	1828	08	03	TheExaminer	0009
1828	08	08	TheBelfastNews-Letter	0001	1828	08	06	TheDerbyMercury	0004
1828	08	08	TheBelfastNews-Letter	0002	1828	08	06	TheDerbyMercury	0002
1828	08	08	TheBelfastNews-Letter	0004	1828	08	04	TheMorningChronicle	0003
1828	08	08	TheBelfastNews-Letter	0004	1828	08	07	NorthWalesChronicle	0003
1828	08	09	CaledonianMercury	0002	1828	08	06	TheMorningChronicle	0001
1828	08	09	Cobbett'sWeeklyPoliticalRegister	0002	1828	08	01	TheBelfastNews-Letter	0002
1828	08	09	Cobbett'sWeeklyPoliticalRegister	0002	1828	08	02	TheIpswichJournal	0004
1828	08	09	Cobbett'sWeeklyPoliticalRegister	0002	1828	08	02	TheLeedsMercury	0002
1828	08	09	Cobbett'sWeeklyPoliticalRegister	0002	1828	08	02	TheNewcastleCourantetc	0002
1828	08	09	Cobbett'sWeeklyPoliticalRegister	0002	1828	08	03	TheExaminer	0004
1828	08	09	Cobbett'sWeeklyPoliticalRegister	0002	1828	08	05	TheHullPacketandHumberMercury	0001
1828	08	09	Cobbett'sWeeklyPoliticalRegister	0002	1828	08	06	TheAberdeenJournal	0004
1828	08	09	TheNewcastleCourantetc	0001	1828	08	09	TheIpswichJournal	0001
1828	08	09	TheNewcastleCourantetc	0002	1828	08	04	TheMorningChronicle	0002
1828	08	10	TheExaminer	0006	1828	08	05	TheMorningChronicle	0002
1828	08	10	TheExaminer	0007	1828	08	05	TheMorningChronicle	0003
1828	08	10	TheExaminer	0007	1828	08	07	TheMorningChronicle	0003
1828	08	10	TheExaminer	0008	1828	08	07	TheMorningChronicle	0002
1828	08	10	TheExaminer	0010	1828	08	07	NorthWalesChronicle	0003
1828	08	10	TheExaminer	0010	1828	08	08	TheBelfastNews-Letter	0004
1828	08	10	TheExaminer	0012	1828	08	08	TheMorningChronicle	0003
1828	08	10	TheExaminer	0012	1828	08	09	TheMorningChronicle	0002
1828	08	11	TheMorningChronicle	0002	1828	08	10	TheExaminer	0001
1828	08	12	TheBristolMercury	0002	1828	08	07	TheMorningChronicle	0003
1828	08	12	TheHullPacketandHumberMercury	0001	1828	08	06	TheMorningChronicle	0002
1828	08	12	TheHullPacketandHumberMercury	0001	1828	08	11	CaledonianMercury	0002
