RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1829	10	03	TheNewcastleCourantetc	0002	1829	10	02	LiverpoolMercuryetc	0002
1829	10	04	TheExaminer	0004	1829	10	03	TheMorningChronicle	0002
1829	10	04	TheExaminer	0009	1829	10	03	TheMorningChronicle	0004
1829	10	05	HampshireTelegraphandSussexChronicleetc	0002	1829	10	02	LiverpoolMercuryetc	0002
1829	10	05	HampshireTelegraphandSussexChronicleetc	0002	1829	10	03	CaledonianMercury	0002
1829	10	05	HampshireTelegraphandSussexChronicleetc	0003	1829	10	01	TheMorningChronicle	0004
1829	10	05	TheMorningChronicle	0003	1829	10	03	TheLeedsMercury	0002
1829	10	05	TheMorningChronicle	0003	1829	10	05	HampshireTelegraphandSussexChronicleetc	0004
1829	10	06	TheBristolMercury	0001	1829	10	02	LiverpoolMercuryetc	0002
1829	10	06	TheBristolMercury	0001	1829	10	03	TheNewcastleCourantetc	0002
1829	10	06	TheHullPacketandHumberMercury	0002	1829	10	02	LiverpoolMercuryetc	0002
1829	10	06	TheHullPacketandHumberMercury	0002	1829	10	05	HampshireTelegraphandSussexChronicleetc	0002
1829	10	06	TheHullPacketandHumberMercury	0002	1829	10	06	TheBelfastNews-Letter	0002
1829	10	06	TheHullPacketandHumberMercury	0003	1829	10	05	TheMorningChronicle	0003
1829	10	06	TheMorningChronicle	0002	1829	10	04	TheExaminer	0001
1829	10	07	TheAberdeenJournal	0002	1829	10	03	TheNewcastleCourantetc	0004
1829	10	07	TheAberdeenJournal	0004	1829	10	02	LiverpoolMercuryetc	0007
1829	10	07	TheAberdeenJournal	0004	1829	10	03	TheNewcastleCourantetc	0003
1829	10	07	TheAberdeenJournal	0004	1829	10	06	TheBelfastNews-Letter	0001
1829	10	07	TheAberdeenJournal	0004	1829	10	06	TheBristolMercury	0003
1829	10	07	TheDerbyMercury	0001	1829	10	03	TheNewcastleCourantetc	0001
1829	10	08	CaledonianMercury	0004	1829	10	05	TheMorningChronicle	0003
1829	10	09	LiverpoolMercuryetc	0002	1829	10	02	TheMorningChronicle	0002
1829	10	09	TheBelfastNews-Letter	0002	1829	10	06	TheMorningChronicle	0004
1829	10	09	TheMorningChronicle	0003	1829	10	09	LiverpoolMercuryetc	0007
1829	10	10	CaledonianMercury	0002	1829	10	06	TheMorningChronicle	0003
1829	10	10	CaledonianMercury	0002	1829	10	07	TheMorningChronicle	0001
1829	10	10	CaledonianMercury	0002	1829	10	07	TheMorningChronicle	0003
1829	10	10	CaledonianMercury	0004	1829	10	09	TheMorningChronicle	0004
1829	10	10	Cobbett'sWeeklyPoliticalRegister	0009	1829	10	06	TheMorningChronicle	0003
1829	10	10	TheManchesterTimesandGazette	0002	1829	10	05	TheMorningChronicle	0003
1829	10	10	TheManchesterTimesandGazette	0002	1829	10	06	TheMorningChronicle	0003
1829	10	10	TheManchesterTimesandGazette	0003	1829	10	04	TheExaminer	0003
