1831.07.02_PrestonChronicle_0001,1831.07.01_LiverpoolMercuryetc_0004
1831.07.02_PrestonChronicle_0002,1831.07.01_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.02_PrestonChronicle_0004,1831.07.01_LiverpoolMercuryetc_0007
1831.07.02_TheManchesterTimesandGazette_0003,1831.07.02_Freeman'sJournalandDailyCommercialAdvertiser_0003
1831.07.02_TheManchesterTimesandGazette_0004,1831.07.02_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.02_TheManchesterTimesandGazette_0005,1831.07.02_PrestonChronicle_0003
1831.07.02_TheNewcastleCourantetc_0004,1831.07.01_LiverpoolMercuryetc_0003
1831.07.04_Freeman'sJournalandDailyCommercialAdvertiser_0003,1831.07.03_TheExaminer_0007
1831.07.05_Freeman'sJournalandDailyCommercialAdvertiser_0002,1831.07.03_TheExaminer_0002
1831.07.05_TheBelfastNews-Letter_0002,1831.07.02_TheNewcastleCourantetc_0004
1831.07.05_TheBelfastNews-Letter_0003,1831.07.04_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.05_TheBelfastNews-Letter_0004,1831.07.04_HampshireTelegraphandSussexChronicleetc_0003
1831.07.05_TheBristolMercury_0001,1831.07.02_TheNewcastleCourantetc_0004
1831.07.05_TheBristolMercury_0001,1831.07.03_TheExaminer_0013
1831.07.05_TheBristolMercury_0001,1831.07.05_TheBelfastNews-Letter_0002
1831.07.05_TheBristolMercury_0002,1831.07.04_HampshireTelegraphandSussexChronicleetc_0003
1831.07.05_TheBristolMercury_0002,1831.07.05_TheBelfastNews-Letter_0004
1831.07.05_TheHullPacketandHumberMercury_0004,1831.07.02_TheManchesterTimesandGazette_0004
1831.07.05_TheHullPacketandHumberMercury_0004,1831.07.05_TheBristolMercury_0001
1831.07.06_Freeman'sJournalandDailyCommercialAdvertiser_0001,1831.07.05_TheBelfastNews-Letter_0003
1831.07.06_TheDerbyMercury_0001,1831.07.04_HampshireTelegraphandSussexChronicleetc_0003
1831.07.06_TheDerbyMercury_0001,1831.07.05_TheBelfastNews-Letter_0004
1831.07.06_TheDerbyMercury_0001,1831.07.05_TheBristolMercury_0002
1831.07.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1831.07.03_TheExaminer_0013
1831.07.08_LiverpoolMercuryetc_0007,1831.07.02_PrestonChronicle_0004
1831.07.08_TheBelfastNews-Letter_0001,1831.07.07_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.08_TheBelfastNews-Letter_0004,1831.07.02_PrestonChronicle_0004
1831.07.08_TheBelfastNews-Letter_0004,1831.07.05_Freeman'sJournalandDailyCommercialAdvertiser_0001
1831.07.09_PrestonChronicle_0001,1831.07.06_TheDerbyMercury_0001
1831.07.09_PrestonChronicle_0002,1831.07.08_LiverpoolMercuryetc_0003
1831.07.09_PrestonChronicle_0004,1831.07.04_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.09_PrestonChronicle_0004,1831.07.07_Freeman'sJournalandDailyCommercialAdvertiser_0004
1831.07.09_PrestonChronicle_0004,1831.07.08_LiverpoolMercuryetc_0007
1831.07.09_PrestonChronicle_0004,1831.07.08_TheBelfastNews-Letter_0004
1831.07.09_TheManchesterTimesandGazette_0002,1831.07.03_TheExaminer_0008
1831.07.09_TheManchesterTimesandGazette_0004,1831.07.02_PrestonChronicle_0001
