1832.06.01_TheMorningChronicle_0002,1832.06.01_TheBelfastNews-Letter_0004
1832.06.02_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.06.02_CaledonianMercury_0002
1832.06.02_PrestonChronicle_0001,1832.06.01_LiverpoolMercuryetc_0002
1832.06.02_PrestonChronicle_0002,1832.06.02_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.02_PrestonChronicle_0003,1832.06.01_LiverpoolMercuryetc_0007
1832.06.02_PrestonChronicle_0004,1832.06.01_LiverpoolMercuryetc_0006
1832.06.02_TheBristolMercury_0001,1832.06.02_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.02_TheBristolMercury_0001,1832.06.02_PrestonChronicle_0001
1832.06.02_TheBristolMercury_0002,1832.06.01_LiverpoolMercuryetc_0002
1832.06.02_TheBristolMercury_0004,1832.06.01_LiverpoolMercuryetc_0006
1832.06.02_TheNewcastleCourantetc_0002,1832.06.01_LiverpoolMercuryetc_0002
1832.06.02_TheNewcastleCourantetc_0004,1832.06.01_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.06.03_TheExaminer_0002,1832.06.02_ThePoorMan'sGuardian_0005
1832.06.03_TheExaminer_0003,1832.06.01_TheMorningChronicle_0001
1832.06.03_TheExaminer_0007,1832.06.01_TheMorningChronicle_0001
1832.06.03_TheExaminer_0008,1832.06.01_TheMorningChronicle_0001
1832.06.03_TheExaminer_0008,1832.06.01_TheMorningChronicle_0002
1832.06.03_TheExaminer_0013,1832.06.01_TheMorningChronicle_0003
1832.06.03_TheExaminer_0014,1832.06.02_TheBristolMercury_0002
1832.06.04_CaledonianMercury_0002,1832.06.02_TheBristolMercury_0002
1832.06.04_CaledonianMercury_0002,1832.06.02_TheLeedsMercury_0002
1832.06.04_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.06.01_TheMorningChronicle_0002
1832.06.04_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.01_TheMorningChronicle_0002
1832.06.04_HampshireTelegraphandSussexChronicleetc_0003,1832.06.02_TheBristolMercury_0002
1832.06.04_TheMorningChronicle_0002,1832.06.03_TheExaminer_0003
1832.06.05_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.06.02_TheMorningChronicle_0001
1832.06.05_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.02_TheMorningChronicle_0002
1832.06.05_NorthWalesChronicle_0002,1832.06.02_TheMorningChronicle_0001
1832.06.05_TheBelfastNews-Letter_0001,1832.06.02_CaledonianMercury_0002
1832.06.05_TheBelfastNews-Letter_0001,1832.06.02_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.06.05_TheBelfastNews-Letter_0001,1832.06.02_TheBristolMercury_0001
1832.06.05_TheBelfastNews-Letter_0001,1832.06.02_TheBristolMercury_0002
1832.06.05_TheBelfastNews-Letter_0001,1832.06.02_TheLeedsMercury_0002
1832.06.05_TheBelfastNews-Letter_0001,1832.06.02_ThePoorMan'sGuardian_0005
1832.06.05_TheBelfastNews-Letter_0001,1832.06.04_CaledonianMercury_0002
1832.06.05_TheBelfastNews-Letter_0001,1832.06.04_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.06.05_TheBelfastNews-Letter_0001,1832.06.04_HampshireTelegraphandSussexChronicleetc_0002
1832.06.05_TheBelfastNews-Letter_0001,1832.06.04_HampshireTelegraphandSussexChronicleetc_0003
1832.06.05_TheBelfastNews-Letter_0002,1832.06.02_TheMorningChronicle_0004
1832.06.05_TheBelfastNews-Letter_0002,1832.06.04_TheMorningChronicle_0004
1832.06.05_TheBelfastNews-Letter_0004,1832.06.01_LiverpoolMercuryetc_0008
1832.06.05_TheBelfastNews-Letter_0004,1832.06.04_CaledonianMercury_0004
1832.06.05_TheHullPacketandHumberMercury_0001,1832.06.02_CaledonianMercury_0001
1832.06.05_TheHullPacketandHumberMercury_0001,1832.06.02_Cobbett'sWeeklyPoliticalRegister_0021
1832.06.05_TheHullPacketandHumberMercury_0002,1832.06.02_PrestonChronicle_0001
1832.06.05_TheHullPacketandHumberMercury_0002,1832.06.02_TheBristolMercury_0001
1832.06.05_TheHullPacketandHumberMercury_0002,1832.06.04_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.06.05_TheHullPacketandHumberMercury_0002,1832.06.04_HampshireTelegraphandSussexChronicleetc_0003
1832.06.05_TheHullPacketandHumberMercury_0002,1832.06.05_NorthWalesChronicle_0002
1832.06.05_TheMorningChronicle_0003,1832.06.02_CaledonianMercury_0003
1832.06.06_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.06.04_TheMorningChronicle_0004
1832.06.06_TheAberdeenJournal_0002,1832.06.02_CaledonianMercury_0003
1832.06.06_TheAberdeenJournal_0002,1832.06.05_TheMorningChronicle_0003
1832.06.06_TheAberdeenJournal_0004,1832.06.02_CaledonianMercury_0002
1832.06.06_TheDerbyMercury_0001,1832.06.02_PrestonChronicle_0001
1832.06.06_TheDerbyMercury_0001,1832.06.02_TheBristolMercury_0001
1832.06.06_TheDerbyMercury_0001,1832.06.02_TheBristolMercury_0002
