1832.10.01_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.10.01_CaledonianMercury_0002
1832.10.02_Freeman'sJournalandDailyCommercialAdvertiser_0001,1832.10.01_TheMorningChronicle_0001
1832.10.02_TheBelfastNews-Letter_0004,1832.10.01_TheMorningChronicle_0003
1832.10.02_TheHullPacketandHumberMercury_0004,1832.10.02_NorthWalesChronicle_0001
1832.10.03_TheAberdeenJournal_0002,1832.10.01_TheMorningChronicle_0001
1832.10.03_TheAberdeenJournal_0002,1832.10.02_TheBelfastNews-Letter_0004
1832.10.03_TheAberdeenJournal_0004,1832.10.01_CaledonianMercury_0004
1832.10.03_TheDerbyMercury_0001,1832.10.01_HampshireTelegraphandSussexChronicleetc_0002
1832.10.03_TheDerbyMercury_0002,1832.10.01_TheMorningChronicle_0004
1832.10.03_TheDerbyMercury_0002,1832.10.02_TheMorningChronicle_0004
1832.10.03_TheDerbyMercury_0004,1832.10.01_TheMorningChronicle_0001
1832.10.03_TheDerbyMercury_0004,1832.10.02_Freeman'sJournalandDailyCommercialAdvertiser_0001
1832.10.03_TheDerbyMercury_0004,1832.10.03_TheAberdeenJournal_0002
1832.10.03_TheMorningChronicle_0003,1832.10.02_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.10.04_CaledonianMercury_0002,1832.10.01_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.10.04_CaledonianMercury_0002,1832.10.03_TheMorningChronicle_0002
1832.10.04_TheMorningChronicle_0004,1832.10.02_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.10.05_LiverpoolMercuryetc_0002,1832.10.01_TheMorningChronicle_0001
1832.10.05_LiverpoolMercuryetc_0002,1832.10.02_Freeman'sJournalandDailyCommercialAdvertiser_0001
1832.10.05_LiverpoolMercuryetc_0002,1832.10.03_TheDerbyMercury_0004
1832.10.05_LiverpoolMercuryetc_0006,1832.10.03_TheMorningChronicle_0004
1832.10.05_TheBelfastNews-Letter_0004,1832.10.01_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.10.05_TheBelfastNews-Letter_0004,1832.10.01_TheMorningChronicle_0004
1832.10.05_TheBelfastNews-Letter_0004,1832.10.03_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.10.05_TheMorningChronicle_0004,1832.10.03_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.10.06_CaledonianMercury_0001,1832.10.01_TheMorningChronicle_0004
1832.10.06_Freeman'sJournalandDailyCommercialAdvertiser_0001,1832.10.04_TheMorningChronicle_0001
1832.10.06_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.10.03_TheMorningChronicle_0003
1832.10.06_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.10.03_TheMorningChronicle_0003
1832.10.06_PrestonChronicle_0002,1832.10.01_TheMorningChronicle_0004
1832.10.06_PrestonChronicle_0002,1832.10.02_TheMorningChronicle_0004
1832.10.06_PrestonChronicle_0002,1832.10.03_TheDerbyMercury_0002
1832.10.06_PrestonChronicle_0002,1832.10.03_TheMorningChronicle_0002
1832.10.06_PrestonChronicle_0002,1832.10.04_TheMorningChronicle_0002
1832.10.06_PrestonChronicle_0002,1832.10.06_CaledonianMercury_0001
1832.10.06_PrestonChronicle_0003,1832.10.05_LiverpoolMercuryetc_0007
1832.10.06_PrestonChronicle_0004,1832.10.01_HampshireTelegraphandSussexChronicleetc_0002
1832.10.06_PrestonChronicle_0004,1832.10.01_TheMorningChronicle_0001
1832.10.06_PrestonChronicle_0004,1832.10.02_Freeman'sJournalandDailyCommercialAdvertiser_0001
1832.10.06_PrestonChronicle_0004,1832.10.02_TheMorningChronicle_0004
1832.10.06_PrestonChronicle_0004,1832.10.03_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.10.06_PrestonChronicle_0004,1832.10.03_TheAberdeenJournal_0002
1832.10.06_PrestonChronicle_0004,1832.10.03_TheDerbyMercury_0001
1832.10.06_PrestonChronicle_0004,1832.10.03_TheDerbyMercury_0004
1832.10.06_PrestonChronicle_0004,1832.10.03_TheMorningChronicle_0004
1832.10.06_PrestonChronicle_0004,1832.10.05_LiverpoolMercuryetc_0002
1832.10.06_PrestonChronicle_0004,1832.10.05_TheBelfastNews-Letter_0004
1832.10.06_TheBristolMercury_0001,1832.10.02_TheMorningChronicle_0004
1832.10.06_TheBristolMercury_0001,1832.10.03_TheDerbyMercury_0001
1832.10.06_TheBristolMercury_0001,1832.10.03_TheMorningChronicle_0004
1832.10.06_TheBristolMercury_0001,1832.10.06_PrestonChronicle_0004
1832.10.06_TheBristolMercury_0002,1832.10.05_TheMorningChronicle_0004
1832.10.06_TheBristolMercury_0002,1832.10.06_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.10.06_TheBristolMercury_0002,1832.10.06_PrestonChronicle_0002
1832.10.06_TheBristolMercury_0003,1832.10.05_TheMorningChronicle_0004
1832.10.06_TheLeedsMercury_0004,1832.10.06_TheBristolMercury_0002
1832.10.06_TheLeedsMercury_0006,1832.10.05_LiverpoolMercuryetc_0007
1832.10.06_TheLeedsMercury_0007,1832.10.01_TheMorningChronicle_0004
1832.10.06_TheManchesterTimesandGazette_0004,1832.10.01_TheMorningChronicle_0004
1832.10.06_TheManchesterTimesandGazette_0004,1832.10.02_TheMorningChronicle_0004
1832.10.06_TheManchesterTimesandGazette_0004,1832.10.03_TheDerbyMercury_0004
1832.10.06_TheManchesterTimesandGazette_0004,1832.10.06_PrestonChronicle_0004
1832.10.06_TheMorningChronicle_0003,1832.10.06_Cobbett'sWeeklyPoliticalRegister_0004
1832.10.06_TheMorningChronicle_0003,1832.10.06_Cobbett'sWeeklyPoliticalRegister_0005
1832.10.07_TheExaminer_0003,1832.10.03_TheMorningChronicle_0002
1832.10.07_TheExaminer_0004,1832.10.05_TheBelfastNews-Letter_0004
1832.10.07_TheExaminer_0005,1832.10.04_TheMorningChronicle_0004
1832.10.07_TheExaminer_0010,1832.10.03_TheMorningChronicle_0001
1832.10.07_TheExaminer_0010,1832.10.05_TheMorningChronicle_0003
1832.10.07_TheExaminer_0015,1832.10.05_TheMorningChronicle_0001
1832.10.08_CaledonianMercury_0001,1832.10.05_TheMorningChronicle_0002
1832.10.08_CaledonianMercury_0002,1832.10.03_TheMorningChronicle_0004
1832.10.08_CaledonianMercury_0002,1832.10.04_TheMorningChronicle_0001
1832.10.08_CaledonianMercury_0002,1832.10.06_Freeman'sJournalandDailyCommercialAdvertiser_0001
1832.10.08_CaledonianMercury_0004,1832.10.05_TheMorningChronicle_0004
1832.10.08_TheMorningChronicle_0001,1832.10.08_HampshireTelegraphandSussexChronicleetc_0004
1832.10.08_TheMorningChronicle_0003,1832.10.06_TheLeedsMercury_0005
1832.10.08_TheMorningChronicle_0004,1832.10.04_CaledonianMercury_0003
1832.10.08_TheMorningChronicle_0004,1832.10.05_LiverpoolMercuryetc_0006
1832.10.09_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.10.08_TheMorningChronicle_0001
1832.10.09_NorthWalesChronicle_0003,1832.10.04_TheMorningChronicle_0004
1832.10.09_TheBelfastNews-Letter_0001,1832.10.05_TheMorningChronicle_0004
1832.10.09_TheHullPacketandHumberMercury_0004,1832.10.01_TheMorningChronicle_0004
1832.10.09_TheHullPacketandHumberMercury_0004,1832.10.03_TheMorningChronicle_0004
1832.10.09_TheHullPacketandHumberMercury_0004,1832.10.06_PrestonChronicle_0004
1832.10.09_TheHullPacketandHumberMercury_0004,1832.10.06_TheBristolMercury_0001
1832.10.09_TheMorningChronicle_0001,1832.10.06_CaledonianMercury_0003
1832.10.09_TheMorningChronicle_0004,1832.10.09_TheHullPacketandHumberMercury_0004
1832.10.10_TheAberdeenJournal_0004,1832.10.05_TheBelfastNews-Letter_0004
1832.10.10_TheAberdeenJournal_0004,1832.10.06_CaledonianMercury_0004
1832.10.10_TheAberdeenJournal_0004,1832.10.07_TheExaminer_0002
1832.10.10_TheDerbyMercury_0004,1832.10.06_TheMorningChronicle_0003
1832.10.11_CaledonianMercury_0002,1832.10.08_TheMorningChronicle_0001
1832.10.11_CaledonianMercury_0002,1832.10.09_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.10.11_CaledonianMercury_0004,1832.10.03_TheDerbyMercury_0001
1832.10.11_CaledonianMercury_0004,1832.10.10_TheMorningChronicle_0001
1832.10.11_CaledonianMercury_0004,1832.10.10_TheMorningChronicle_0004
1832.10.11_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.10.08_TheMorningChronicle_0003
1832.10.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1832.10.09_TheHullPacketandHumberMercury_0001
1832.10.12_Freeman'sJournalandDailyCommercialAdvertiser_0001,1832.10.08_TheMorningChronicle_0003
1832.10.12_LiverpoolMercuryetc_0002,1832.10.07_TheExaminer_0009
1832.10.12_LiverpoolMercuryetc_0003,1832.10.09_TheHullPacketandHumberMercury_0001
1832.10.12_LiverpoolMercuryetc_0003,1832.10.10_TheDerbyMercury_0001
1832.10.12_LiverpoolMercuryetc_0007,1832.10.04_TheMorningChronicle_0004
1832.10.12_LiverpoolMercuryetc_0007,1832.10.06_TheLeedsMercury_0006
1832.10.12_LiverpoolMercuryetc_0008,1832.10.10_TheDerbyMercury_0002
1832.10.12_TheBelfastNews-Letter_0001,1832.10.06_TheMorningChronicle_0003
1832.10.12_TheBelfastNews-Letter_0001,1832.10.08_TheMorningChronicle_0001
1832.10.12_TheBelfastNews-Letter_0001,1832.10.09_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.10.12_TheBelfastNews-Letter_0001,1832.10.10_TheAberdeenJournal_0004
1832.10.12_TheBelfastNews-Letter_0001,1832.10.10_TheDerbyMercury_0004
1832.10.12_TheBelfastNews-Letter_0001,1832.10.11_CaledonianMercury_0002
1832.10.12_TheBelfastNews-Letter_0004,1832.10.01_TheMorningChronicle_0004
1832.10.12_TheBelfastNews-Letter_0004,1832.10.06_TheLeedsMercury_0007
1832.10.12_TheBelfastNews-Letter_0004,1832.10.06_TheManchesterTimesandGazette_0004
1832.10.13_CaledonianMercury_0002,1832.10.10_TheMorningChronicle_0002
1832.10.13_CaledonianMercury_0004,1832.10.12_LiverpoolMercuryetc_0006
1832.10.13_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.10.12_LiverpoolMercuryetc_0006
1832.10.13_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.10.13_CaledonianMercury_0004
1832.10.13_PrestonChronicle_0001,1832.10.08_TheMorningChronicle_0001
1832.10.13_PrestonChronicle_0001,1832.10.09_TheHullPacketandHumberMercury_0001
1832.10.13_PrestonChronicle_0001,1832.10.12_LiverpoolMercuryetc_0003
1832.10.13_PrestonChronicle_0002,1832.10.05_TheMorningChronicle_0002
1832.10.13_PrestonChronicle_0002,1832.10.08_TheMorningChronicle_0001
1832.10.13_PrestonChronicle_0002,1832.10.09_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.10.13_PrestonChronicle_0002,1832.10.12_LiverpoolMercuryetc_0006
1832.10.13_PrestonChronicle_0003,1832.10.12_LiverpoolMercuryetc_0006
1832.10.13_PrestonChronicle_0003,1832.10.13_CaledonianMercury_0004
1832.10.13_PrestonChronicle_0003,1832.10.13_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.10.13_PrestonChronicle_0004,1832.10.02_TheMorningChronicle_0003
1832.10.13_PrestonChronicle_0004,1832.10.05_TheMorningChronicle_0004
1832.10.13_PrestonChronicle_0004,1832.10.08_TheMorningChronicle_0003
1832.10.13_PrestonChronicle_0004,1832.10.09_TheMorningChronicle_0002
1832.10.13_PrestonChronicle_0004,1832.10.12_TheBelfastNews-Letter_0001
1832.10.13_PrestonChronicle_0004,1832.10.12_TheBelfastNews-Letter_0004
1832.10.13_TheBristolMercury_0001,1832.10.03_TheMorningChronicle_0004
1832.10.13_TheBristolMercury_0001,1832.10.06_TheMorningChronicle_0003
1832.10.13_TheBristolMercury_0001,1832.10.10_TheDerbyMercury_0001
1832.10.13_TheBristolMercury_0001,1832.10.10_TheDerbyMercury_0004
1832.10.13_TheBristolMercury_0001,1832.10.12_TheBelfastNews-Letter_0001
1832.10.13_TheBristolMercury_0004,1832.10.08_TheMorningChronicle_0003
1832.10.13_TheManchesterTimesandGazette_0001,1832.10.05_LiverpoolMercuryetc_0001
1832.10.13_TheManchesterTimesandGazette_0001,1832.10.12_LiverpoolMercuryetc_0001
1832.10.13_TheManchesterTimesandGazette_0004,1832.10.07_TheExaminer_0011
1832.10.13_TheManchesterTimesandGazette_0004,1832.10.08_TheMorningChronicle_0002
1832.10.13_TheManchesterTimesandGazette_0004,1832.10.09_TheMorningChronicle_0001
1832.10.13_TheNewcastleCourantetc_0004,1832.10.10_TheMorningChronicle_0002
1832.10.13_ThePoorMan'sGuardian_0002,1832.10.05_TheMorningChronicle_0003
1832.10.13_ThePoorMan'sGuardian_0006,1832.10.09_TheMorningChronicle_0002
1832.10.13_ThePoorMan'sGuardian_0006,1832.10.09_TheMorningChronicle_0004
1832.10.14_TheExaminer_0001,1832.10.10_TheMorningChronicle_0002
