1832.12.01_PrestonChronicle_0001,1832.12.01_CaledonianMercury_0001
1832.12.01_PrestonChronicle_0002,1832.12.01_CaledonianMercury_0002
1832.12.01_TheBristolMercury_0001,1832.12.01_PrestonChronicle_0002
1832.12.01_TheNewcastleCourantetc_0002,1832.12.01_PrestonChronicle_0002
1832.12.02_TheExaminer_0009,1832.12.01_TheMorningChronicle_0001
1832.12.02_TheExaminer_0009,1832.12.01_TheMorningChronicle_0002
1832.12.03_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.12.03_CaledonianMercury_0001
1832.12.03_TheMorningChronicle_0003,1832.12.01_CaledonianMercury_0004
1832.12.04_TheBelfastNews-Letter_0001,1832.12.01_PrestonChronicle_0002
1832.12.04_TheBelfastNews-Letter_0001,1832.12.01_TheNewcastleCourantetc_0002
1832.12.04_TheBelfastNews-Letter_0002,1832.12.01_TheNewcastleCourantetc_0002
1832.12.04_TheBelfastNews-Letter_0002,1832.12.03_CaledonianMercury_0001
1832.12.04_TheHullPacketandHumberMercury_0002,1832.12.01_PrestonChronicle_0002
1832.12.04_TheHullPacketandHumberMercury_0002,1832.12.04_NorthWalesChronicle_0004
1832.12.04_TheHullPacketandHumberMercury_0004,1832.12.01_PrestonChronicle_0004
1832.12.05_TheDerbyMercury_0002,1832.12.01_TheManchesterTimesandGazette_0001
1832.12.05_TheDerbyMercury_0002,1832.12.04_TheMorningChronicle_0001
1832.12.05_TheDerbyMercury_0004,1832.12.01_TheBristolMercury_0001
1832.12.05_TheDerbyMercury_0004,1832.12.03_TheMorningChronicle_0001
1832.12.05_TheDerbyMercury_0004,1832.12.04_TheHullPacketandHumberMercury_0002
1832.12.06_CaledonianMercury_0001,1832.12.05_TheAberdeenJournal_0001
1832.12.06_CaledonianMercury_0002,1832.12.04_TheMorningChronicle_0001
1832.12.06_CaledonianMercury_0002,1832.12.04_TheMorningChronicle_0002
1832.12.06_CaledonianMercury_0002,1832.12.05_TheDerbyMercury_0002
1832.12.06_CaledonianMercury_0004,1832.12.01_PrestonChronicle_0004
1832.12.06_TheMorningChronicle_0003,1832.12.03_CaledonianMercury_0002
1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1832.12.04_TheMorningChronicle_0001
1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1832.12.04_TheMorningChronicle_0002
1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1832.12.05_TheDerbyMercury_0002
1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1832.12.06_CaledonianMercury_0002
1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1832.12.04_TheHullPacketandHumberMercury_0002
1832.12.07_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.12.04_TheBelfastNews-Letter_0002
1832.12.07_LiverpoolMercuryetc_0002,1832.12.02_TheExaminer_0008
1832.12.07_LiverpoolMercuryetc_0002,1832.12.06_CaledonianMercury_0002
1832.12.07_LiverpoolMercuryetc_0003,1832.12.01_PrestonChronicle_0003
1832.12.07_TheBelfastNews-Letter_0002,1832.12.04_TheMorningChronicle_0001
1832.12.07_TheBelfastNews-Letter_0002,1832.12.04_TheMorningChronicle_0002
1832.12.07_TheBelfastNews-Letter_0002,1832.12.05_TheDerbyMercury_0002
1832.12.07_TheBelfastNews-Letter_0002,1832.12.06_CaledonianMercury_0002
1832.12.07_TheBelfastNews-Letter_0002,1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1832.12.07_TheBelfastNews-Letter_0004,1832.12.04_NorthWalesChronicle_0004
1832.12.07_TheBelfastNews-Letter_0004,1832.12.04_TheHullPacketandHumberMercury_0002
1832.12.07_TheBelfastNews-Letter_0004,1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1832.12.07_TheBelfastNews-Letter_0004,1832.12.07_LiverpoolMercuryetc_0003
1832.12.08_CaledonianMercury_0002,1832.12.06_TheMorningChronicle_0001
1832.12.08_CaledonianMercury_0002,1832.12.06_TheMorningChronicle_0002
1832.12.08_CaledonianMercury_0004,1832.12.02_TheExaminer_0001
1832.12.08_CaledonianMercury_0004,1832.12.02_TheExaminer_0003
1832.12.08_Cobbett'sWeeklyPoliticalRegister_0008,1832.12.03_TheMorningChronicle_0002
1832.12.08_Cobbett'sWeeklyPoliticalRegister_0009,1832.12.03_TheMorningChronicle_0002
1832.12.08_Cobbett'sWeeklyPoliticalRegister_0010,1832.12.03_TheMorningChronicle_0002
1832.12.08_Cobbett'sWeeklyPoliticalRegister_0012,1832.12.03_TheMorningChronicle_0002
1832.12.08_Cobbett'sWeeklyPoliticalRegister_0013,1832.12.03_TheMorningChronicle_0002
1832.12.08_Cobbett'sWeeklyPoliticalRegister_0014,1832.12.04_TheMorningChronicle_0002
1832.12.08_Cobbett'sWeeklyPoliticalRegister_0016,1832.12.05_TheMorningChronicle_0003
1832.12.08_PrestonChronicle_0001,1832.12.04_TheMorningChronicle_0002
1832.12.08_PrestonChronicle_0001,1832.12.05_TheDerbyMercury_0002
1832.12.08_PrestonChronicle_0001,1832.12.05_TheMorningChronicle_0002
1832.12.08_PrestonChronicle_0001,1832.12.06_CaledonianMercury_0002
1832.12.08_PrestonChronicle_0001,1832.12.06_TheMorningChronicle_0001
1832.12.08_PrestonChronicle_0001,1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1832.12.08_PrestonChronicle_0001,1832.12.07_TheBelfastNews-Letter_0002
1832.12.08_PrestonChronicle_0001,1832.12.08_CaledonianMercury_0002
1832.12.08_PrestonChronicle_0002,1832.12.03_CaledonianMercury_0002
1832.12.08_PrestonChronicle_0002,1832.12.04_TheMorningChronicle_0001
1832.12.08_PrestonChronicle_0002,1832.12.06_CaledonianMercury_0002
1832.12.08_PrestonChronicle_0002,1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1832.12.08_PrestonChronicle_0002,1832.12.07_TheBelfastNews-Letter_0002
1832.12.08_PrestonChronicle_0003,1832.12.07_LiverpoolMercuryetc_0003
1832.12.08_PrestonChronicle_0004,1832.12.03_TheMorningChronicle_0003
1832.12.08_PrestonChronicle_0004,1832.12.06_CaledonianMercury_0002
1832.12.08_TheBristolMercury_0002,1832.12.05_TheMorningChronicle_0004
1832.12.08_TheBristolMercury_0002,1832.12.08_PrestonChronicle_0001
1832.12.08_TheLeedsMercury_0003,1832.12.02_TheExaminer_0003
1832.12.08_TheManchesterTimesandGazette_0004,1832.12.02_TheExaminer_0001
1832.12.08_TheManchesterTimesandGazette_0004,1832.12.03_TheMorningChronicle_0001
1832.12.08_TheNewcastleCourantetc_0002,1832.12.03_TheMorningChronicle_0002
1832.12.08_TheNewcastleCourantetc_0002,1832.12.05_TheDerbyMercury_0004
1832.12.08_TheNewcastleCourantetc_0002,1832.12.06_CaledonianMercury_0002
1832.12.08_TheNewcastleCourantetc_0002,1832.12.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1832.12.08_TheNewcastleCourantetc_0002,1832.12.07_TheBelfastNews-Letter_0002
1832.12.08_TheNewcastleCourantetc_0002,1832.12.08_CaledonianMercury_0003
1832.12.08_TheNewcastleCourantetc_0002,1832.12.08_PrestonChronicle_0001
1832.12.09_TheExaminer_0007,1832.12.06_TheMorningChronicle_0001
1832.12.09_TheExaminer_0007,1832.12.08_CaledonianMercury_0002
1832.12.09_TheExaminer_0007,1832.12.08_TheMorningChronicle_0001
1832.12.09_TheExaminer_0011,1832.12.06_TheMorningChronicle_0004
1832.12.09_TheExaminer_0015,1832.12.07_TheMorningChronicle_0001
1832.12.10_CaledonianMercury_0002,1832.12.02_TheExaminer_0011
1832.12.10_CaledonianMercury_0002,1832.12.06_TheMorningChronicle_0004
1832.12.10_CaledonianMercury_0004,1832.12.07_TheBelfastNews-Letter_0002
1832.12.10_HampshireTelegraphandSussexChronicleetc_0001,1832.12.04_TheMorningChronicle_0001
1832.12.10_HampshireTelegraphandSussexChronicleetc_0001,1832.12.05_TheDerbyMercury_0002
1832.12.10_HampshireTelegraphandSussexChronicleetc_0001,1832.12.06_CaledonianMercury_0002
1832.12.10_HampshireTelegraphandSussexChronicleetc_0001,1832.12.07_TheBelfastNews-Letter_0002
1832.12.10_HampshireTelegraphandSussexChronicleetc_0001,1832.12.08_TheNewcastleCourantetc_0004
1832.12.10_HampshireTelegraphandSussexChronicleetc_0002,1832.12.08_PrestonChronicle_0001
