Perfect_Match	Left_Match	Right_Match	Target_Year	Target_Month	Target_Day	Target	Target_Page	Source_Year	Source_Month	Source_Day	Source	Source_Page
586	990	1014	1806	1	2	Trewman'sExeterFlyingPost	3	1806	1	2	Trewman'sExeterFlyingPost	2
492	759	781	1806	1	4	CaledonianMercury	1	1806	1	2	CaledonianMercury	1
641	995	991	1806	1	4	CaledonianMercury	2	1806	1	1	TheMorningChronicle	2
736	1224	1172	1806	1	4	CaledonianMercury	2	1806	1	3	TheMorningChronicle	1
1024	1532	1472	1806	1	4	CaledonianMercury	3	1806	1	1	TheMorningChronicle	3
574	880	837	1806	1	4	CaledonianMercury	4	1806	1	2	CaledonianMercury	4
304	447	461	1806	1	4	Cobbett'sWeeklyPoliticalRegister	15	1806	1	2	CaledonianMercury	2
219	363	366	1806	1	4	Jackson'sOxfordJournal	1	1806	1	1	TheMorningChronicle	2
292	453	467	1806	1	4	Jackson'sOxfordJournal	1	1806	1	2	TheDerbyMercury	4
220	369	376	1806	1	4	Jackson'sOxfordJournal	1	1806	1	2	Trewman'sExeterFlyingPost	3
245	379	380	1806	1	4	Jackson'sOxfordJournal	1	1806	1	4	CaledonianMercury	2
450	673	678	1806	1	4	Jackson'sOxfordJournal	2	1806	1	1	TheMorningChronicle	3
244	358	365	1806	1	4	Jackson'sOxfordJournal	2	1806	1	4	CaledonianMercury	2
678	914	943	1806	1	4	Jackson'sOxfordJournal	2	1806	1	4	CaledonianMercury	3
232	366	372	1806	1	4	TheIpswichJournal	1	1806	1	2	TheDerbyMercury	4
235	411	402	1806	1	4	TheIpswichJournal	1	1806	1	4	Jackson'sOxfordJournal	1
261	412	427	1806	1	4	TheIpswichJournal	2	1806	1	4	CaledonianMercury	3
287	447	454	1806	1	4	TheIpswichJournal	4	1806	1	1	TheMorningChronicle	2
222	368	384	1806	1	4	TheIpswichJournal	4	1806	1	2	TheDerbyMercury	4
284	461	467	1806	1	4	TheIpswichJournal	4	1806	1	4	CaledonianMercury	2
357	584	585	1806	1	4	TheIpswichJournal	4	1806	1	4	Jackson'sOxfordJournal	1
239	347	360	1806	1	6	CaledonianMercury	1	1806	1	2	CaledonianMercury	1
553	730	727	1806	1	6	CaledonianMercury	1	1806	1	4	CaledonianMercury	1
217	300	309	1806	1	6	CaledonianMercury	1	1806	1	4	CaledonianMercury	4
499	646	636	1806	1	6	CaledonianMercury	3	1806	1	4	Jackson'sOxfordJournal	2
203	299	284	1806	1	6	CaledonianMercury	4	1806	1	2	CaledonianMercury	4
245	378	367	1806	1	6	CaledonianMercury	4	1806	1	4	CaledonianMercury	4
259	457	437	1806	1	6	HampshireTelegraphandSussexChronicleetc	2	1806	1	1	TheMorningChronicle	3
285	430	428	1806	1	6	HampshireTelegraphandSussexChronicleetc	2	1806	1	4	CaledonianMercury	3
396	567	572	1806	1	6	HampshireTelegraphandSussexChronicleetc	3	1806	1	4	CaledonianMercury	2
232	407	401	1806	1	6	HampshireTelegraphandSussexChronicleetc	4	1806	1	1	TheMorningChronicle	3
287	466	479	1806	1	6	HampshireTelegraphandSussexChronicleetc	4	1806	1	4	CaledonianMercury	3
264	453	449	1806	1	6	HampshireTelegraphandSussexChronicleetc	4	1806	1	4	Jackson'sOxfordJournal	2
807	1324	1386	1806	1	6	HampshireTelegraphandSussexChronicleetc	4	1806	1	6	CaledonianMercury	2
563	874	891	1806	1	8	TheAberdeenJournal	1	1806	1	1	TheAberdeenJournal	1
413	658	664	1806	1	8	TheAberdeenJournal	1	1806	1	1	TheAberdeenJournal	4
212	332	331	1806	1	8	TheAberdeenJournal	2	1806	1	1	TheAberdeenJournal	2
675	1016	1000	1806	1	8	TheAberdeenJournal	2	1806	1	2	CaledonianMercury	2
291	443	433	1806	1	8	TheAberdeenJournal	3	1806	1	2	CaledonianMercury	3
269	412	397	1806	1	8	TheAberdeenJournal	3	1806	1	4	TheIpswichJournal	4
201	341	347	1806	1	8	TheMorningChronicle	4	1806	1	4	TheMorningChronicle	4
397	586	589	1806	1	9	CaledonianMercury	1	1806	1	2	CaledonianMercury	1
582	826	820	1806	1	9	CaledonianMercury	1	1806	1	4	CaledonianMercury	1
729	995	1017	1806	1	9	CaledonianMercury	1	1806	1	6	CaledonianMercury	1
281	432	447	1806	1	9	CaledonianMercury	2	1806	1	2	Trewman'sExeterFlyingPost	4
222	299	298	1806	1	9	CaledonianMercury	3	1806	1	6	CaledonianMercury	1
805	1201	1206	1806	1	9	CaledonianMercury	4	1806	1	2	CaledonianMercury	4
569	767	778	1806	1	9	CaledonianMercury	4	1806	1	4	CaledonianMercury	4
302	389	405	1806	1	9	CaledonianMercury	4	1806	1	6	CaledonianMercury	4
401	632	647	1806	1	9	TheDerbyMercury	1	1806	1	2	TheDerbyMercury	1
220	324	331	1806	1	9	TheDerbyMercury	1	1806	1	6	CaledonianMercury	3
260	383	386	1806	1	9	TheDerbyMercury	2	1806	1	2	Trewman'sExeterFlyingPost	4
397	613	621	1806	1	9	TheDerbyMercury	4	1806	1	2	TheDerbyMercury	4
202	306	310	1806	1	9	TheDerbyMercury	4	1806	1	2	Trewman'sExeterFlyingPost	3
202	313	298	1806	1	9	TheDerbyMercury	4	1806	1	9	CaledonianMercury	1
594	890	903	1806	1	9	TheDerbyMercury	4	1806	1	9	CaledonianMercury	2
281	469	448	1806	1	9	TheMorningChronicle	1	1806	1	7	TheMorningChronicle	1
313	452	469	1806	1	9	Trewman'sExeterFlyingPost	1	1806	1	9	CaledonianMercury	2
306	519	519	1806	1	9	Trewman'sExeterFlyingPost	2	1806	1	1	TheMorningChronicle	3
447	690	708	1806	1	9	Trewman'sExeterFlyingPost	2	1806	1	4	CaledonianMercury	3
692	1044	1034	1806	1	9	Trewman'sExeterFlyingPost	2	1806	1	4	Jackson'sOxfordJournal	2
319	441	450	1806	1	9	Trewman'sExeterFlyingPost	2	1806	1	6	CaledonianMercury	3
593	886	892	1806	1	9	Trewman'sExeterFlyingPost	2	1806	1	9	CaledonianMercury	2
663	1035	1039	1806	1	9	Trewman'sExeterFlyingPost	2	1806	1	9	TheDerbyMercury	4
562	843	836	1806	1	11	CaledonianMercury	1	1806	1	4	CaledonianMercury	1
768	1050	1023	1806	1	11	CaledonianMercury	1	1806	1	6	CaledonianMercury	1
635	931	901	1806	1	11	CaledonianMercury	1	1806	1	9	CaledonianMercury	1
327	531	523	1806	1	11	CaledonianMercury	2	1806	1	7	TheMorningChronicle	3
222	308	307	1806	1	11	CaledonianMercury	4	1806	1	2	CaledonianMercury	4
1213	1682	1703	1806	1	11	CaledonianMercury	4	1806	1	4	CaledonianMercury	4
490	711	740	1806	1	11	CaledonianMercury	4	1806	1	6	CaledonianMercury	4
476	627	630	1806	1	11	CaledonianMercury	4	1806	1	9	CaledonianMercury	4
382	572	575	1806	1	11	Cobbett'sWeeklyPoliticalRegister	14	1806	1	1	TheMorningChronicle	2
200	326	326	1806	1	11	Cobbett'sWeeklyPoliticalRegister	16	1806	1	1	TheMorningChronicle	2
525	833	821	1806	1	11	Jackson'sOxfordJournal	1	1806	1	4	Jackson'sOxfordJournal	1
375	598	589	1806	1	11	Jackson'sOxfordJournal	1	1806	1	4	Jackson'sOxfordJournal	2
263	444	440	1806	1	11	Jackson'sOxfordJournal	1	1806	1	9	Trewman'sExeterFlyingPost	1
217	351	351	1806	1	11	Jackson'sOxfordJournal	2	1806	1	7	TheMorningChronicle	3
210	304	314	1806	1	11	Jackson'sOxfordJournal	2	1806	1	9	CaledonianMercury	3
1020	1365	1386	1806	1	11	Jackson'sOxfordJournal	2	1806	1	11	CaledonianMercury	2
